modality,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,estimable,,13.57957,0.94,999,0,0.0,0.0,[],1.0
wsi,estimable,,2.398721,0.996,999,0,0.0,0.0,[],1.0
rna,estimable,,1.853594,1.0,999,0,0.0,0.0,[],1.0
wxs,estimable,,2.335741,0.845,999,0,0.0,0.0,[],1.0
cnv,estimable,,4.888887,0.972,999,0,0.0,0.0,[],1.0
fused,estimable,,15364.951724,1.0,999,0,0.0,0.0,[],1.0
