core_id,CORE01,CORE02,CORE03,CORE04,CORE05,CORE06
CORE01,,0.98357622,0.97581167,0.98187602,0.98456321,0.97562177
CORE02,0.98357622,,0.97524337,0.97841996,0.9793028,0.9749281
CORE03,0.97581167,0.97524337,,0.98099658,0.97530382,0.9593099
CORE04,0.98187602,0.97841996,0.98099658,,0.97089549,0.9603502
CORE05,0.98456321,0.9793028,0.97530382,0.97089549,,0.95603948
CORE06,0.97562177,0.9749281,0.9593099,0.9603502,0.95603948,
