core_id,CORE01,CORE02,CORE03,CORE04,CORE05,CORE06
CORE01,,0.97695925,0.96558441,0.98183278,0.97166405,0.97277784
CORE02,0.97695925,,0.97248876,0.97730097,0.97708741,0.97612114
CORE03,0.96558441,0.97248876,,0.97535321,0.96718664,0.9621177
CORE04,0.98183278,0.97730097,0.97535321,,0.9751292,0.97367328
CORE05,0.97166405,0.97708741,0.96718664,0.9751292,,0.95910012
CORE06,0.97277784,0.97612114,0.9621177,0.97367328,0.95910012,
