core_id,core_size,main_set_id,main_set_size,main_decision,intersection_n,core_fraction_in_main,main_fraction_captured,jaccard,overlap_coefficient
CORE01,17,C0001,30,accept,0,0.0,0.0,0.0,0.0
CORE01,17,C0002,27,accept,0,0.0,0.0,0.0,0.0
CORE01,17,C0003,22,accept,17,1.0,0.7727272727272727,0.7727272727272727,1.0
CORE01,17,C0004,24,accept,0,0.0,0.0,0.0,0.0
CORE02,14,C0001,30,accept,0,0.0,0.0,0.0,0.0
CORE02,14,C0002,27,accept,0,0.0,0.0,0.0,0.0
CORE02,14,C0003,22,accept,0,0.0,0.0,0.0,0.0
CORE02,14,C0004,24,accept,14,1.0,0.5833333333333334,0.5833333333333334,1.0
CORE03,14,C0001,30,accept,14,1.0,0.4666666666666667,0.4666666666666667,1.0
CORE03,14,C0002,27,accept,0,0.0,0.0,0.0,0.0
CORE03,14,C0003,22,accept,0,0.0,0.0,0.0,0.0
CORE03,14,C0004,24,accept,0,0.0,0.0,0.0,0.0
CORE04,10,C0001,30,accept,0,0.0,0.0,0.0,0.0
CORE04,10,C0002,27,accept,10,1.0,0.37037037037037035,0.37037037037037035,1.0
CORE04,10,C0003,22,accept,0,0.0,0.0,0.0,0.0
CORE04,10,C0004,24,accept,0,0.0,0.0,0.0,0.0
CORE05,9,C0001,30,accept,0,0.0,0.0,0.0,0.0
CORE05,9,C0002,27,accept,9,1.0,0.3333333333333333,0.3333333333333333,1.0
CORE05,9,C0003,22,accept,0,0.0,0.0,0.0,0.0
CORE05,9,C0004,24,accept,0,0.0,0.0,0.0,0.0
CORE06,5,C0001,30,accept,0,0.0,0.0,0.0,0.0
CORE06,5,C0002,27,accept,5,1.0,0.18518518518518517,0.18518518518518517,1.0
CORE06,5,C0003,22,accept,0,0.0,0.0,0.0,0.0
CORE06,5,C0004,24,accept,0,0.0,0.0,0.0,0.0
