core_a,core_b,feature,effect_size,smd_a_vs_b,p_value,q_value,feature_family,medical_imaging_domain,interpretation
CORE01,CORE02,log-sigma-1-0-mm-3D_firstorder_10Percentile,-1.10504116,-1.10504116,0.00352822,0.04479958,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
CORE01,CORE02,log-sigma-1-0-mm-3D_firstorder_90Percentile,0.89807362,0.89807362,0.03716508,0.13547271,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
CORE01,CORE02,log-sigma-1-0-mm-3D_firstorder_Energy,0.20277018,0.20277018,0.59204714,0.71705602,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
CORE01,CORE02,log-sigma-1-0-mm-3D_firstorder_Entropy,1.17702615,1.17702615,0.00272729,0.04479958,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
CORE01,CORE02,log-sigma-1-0-mm-3D_firstorder_InterquartileRange,1.0206484,1.0206484,0.00932317,0.06020104,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
CORE01,CORE02,log-sigma-1-0-mm-3D_firstorder_Kurtosis,-0.53841141,-0.53841141,0.35091605,0.51298207,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
CORE01,CORE02,log-sigma-1-0-mm-3D_firstorder_Maximum,0.63132214,0.63132214,0.14738265,0.2906499,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
CORE01,CORE02,log-sigma-1-0-mm-3D_firstorder_Mean,-0.40233576,-0.40233576,0.10791942,0.23140217,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
CORE01,CORE02,log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,1.09850893,1.09850893,0.00352822,0.04479958,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
CORE01,CORE02,log-sigma-1-0-mm-3D_firstorder_Median,-0.24931827,-0.24931827,0.33079782,0.49641638,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
