modality,core_id,silhouette,available_n
ct,CORE01,-0.004613,17
ct,CORE02,0.0039715,14
ct,CORE03,-0.0093255,14
ct,CORE04,-0.009237,10
ct,CORE05,-0.006356,9
ct,CORE06,-0.003398,5
wsi,CORE01,0.035968,17
wsi,CORE02,-0.030219,14
wsi,CORE03,-0.0111105,14
wsi,CORE04,-0.021537,10
wsi,CORE05,-0.015089,9
wsi,CORE06,-0.046765,5
rna,CORE01,0.033879,17
rna,CORE02,-0.0043805,14
rna,CORE03,0.0282575,14
rna,CORE04,0.011274,10
rna,CORE05,0.009256,9
rna,CORE06,-0.014648,5
wxs,CORE01,-0.020723,17
wxs,CORE02,0.134125,14
wxs,CORE03,0.0791135,14
wxs,CORE04,0.029561,10
wxs,CORE05,0.030245,9
wxs,CORE06,-0.024079,5
cnv,CORE01,0.033177,17
cnv,CORE02,-0.0049285,14
cnv,CORE03,-0.0023005,14
cnv,CORE04,0.0064835,10
cnv,CORE05,0.002191,9
cnv,CORE06,-0.002359,5
fused,CORE01,0.000603,17
fused,CORE02,0.000608,14
fused,CORE03,0.000504,14
fused,CORE04,0.0004655,10
fused,CORE05,0.000399,9
fused,CORE06,-6.2e-05,5
