core_a,core_b,clinical_variable,n_core_a,n_core_b,median_core_a,median_core_b,smd_a_vs_b,effect_size,p_value,q_value,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
CORE02,CORE03,t_stage,,,,,,,1.0,1.0,T1B,5,14,4,14,0.35714285714285715,0.2857142857142857,0.07142857142857145,1.35087719,0.29428974,6.20092691,,,,,,
CORE02,CORE03,t_stage,,,,,,,0.48148148,0.91481481,T2,0,14,2,14,0.0,0.14285714285714285,-0.14285714285714285,0.17241379,0.00754333,3.94077011,,,,,,
CORE02,CORE03,t_stage,,,,,,,1.0,1.0,T2B,0,14,1,14,0.0,0.07142857142857142,-0.07142857142857142,0.31034483,0.011615,8.29220337,,,,,,
CORE02,CORE03,t_stage,,,,,,,0.20869565,0.91481481,T3A,2,14,6,14,0.14285714285714285,0.42857142857142855,-0.2857142857142857,0.26153846,0.04782185,1.43035799,,,,,,
CORE02,CORE03,t_stage,,,,,,,0.48148148,0.91481481,T3B,2,14,0,14,0.14285714285714285,0.0,0.14285714285714285,5.8,0.25375751,132.56750642,,,,,,
CORE02,CORE03,t_stage,,,,,,,1.0,1.0,T4,1,14,0,14,0.07142857142857142,0.0,0.07142857142857142,3.22222222,0.12059521,86.09559299,,,,,,
CORE02,CORE03,m_stage,,,,,,,0.31677019,0.91481481,M0,11,12,8,12,0.9166666666666666,0.6666666666666666,0.25,4.05882353,0.52273399,31.51516599,,,,,,
CORE02,CORE03,m_stage,,,,,,,0.31677019,0.91481481,M1,1,12,4,12,0.08333333333333333,0.3333333333333333,-0.25,0.24637681,0.03173075,1.9130189,,,,,,
CORE02,CORE03,grade,,,,,,,0.44007119,0.91481481,G2,7,14,4,14,0.5,0.2857142857142857,0.2142857142857143,2.33333333,0.52168315,10.43630499,,,,,,
CORE02,CORE03,grade,,,,,,,0.44007119,0.91481481,G3,4,14,7,14,0.2857142857142857,0.5,-0.2142857142857143,0.42857143,0.09581935,1.91687234,,,,,,
CORE02,CORE03,grade,,,,,,,1.0,1.0,G4,3,14,3,14,0.21428571428571427,0.21428571428571427,0.0,1.0,0.18412689,5.43103716,,,,,,
CORE02,CORE03,overall_survival,,,,,,,0.91316941,0.9703412,,,,,,,,,,,,14,14,3,4,521.0,1221.5
CORE02,CORE04,age,14,10,58.5,55.0,-0.06839048,-0.06839048,0.95324639,1.0,,,,,,,,,,,,,,,,,
CORE02,CORE04,gender,,,,,,,0.67845605,1.0,FEMALE,6,14,3,10,0.42857142857142855,0.3,0.12857142857142856,1.63865546,0.32146708,8.35292921,,,,,,
CORE02,CORE04,gender,,,,,,,0.67845605,1.0,MALE,8,14,7,10,0.5714285714285714,0.7,-0.12857142857142856,0.61025641,0.11971848,3.11073848,,,,,,
CORE02,CORE04,stage_group,,,,,,,0.40809665,1.0,I,9,14,4,10,0.6428571428571429,0.4,0.24285714285714288,2.49494949,0.50568668,12.30954507,,,,,,
CORE02,CORE04,stage_group,,,,,,,0.41666667,1.0,II,0,14,1,10,0.0,0.1,-0.1,0.2183908,0.00802623,5.94233523,,,,,,
CORE02,CORE04,stage_group,,,,,,,0.39263921,1.0,III,3,14,4,10,0.21428571428571427,0.4,-0.18571428571428575,0.43961353,0.08063345,2.39677278,,,,,,
CORE02,CORE04,stage_group,,,,,,,1.0,1.0,IV,2,14,1,10,0.14285714285714285,0.1,0.042857142857142844,1.26666667,0.14133126,11.35236747,,,,,,
CORE02,CORE04,t_stage,,,,,,,1.0,1.0,T1A,4,14,3,10,0.2857142857142857,0.3,-0.01428571428571429,0.91836735,0.17080536,4.9377758,,,,,,
CORE02,CORE04,t_stage,,,,,,,0.34080508,1.0,T1B,5,14,1,10,0.35714285714285715,0.1,0.2571428571428571,3.66666667,0.48786377,27.55778406,,,,,,
CORE02,CORE04,t_stage,,,,,,,0.16304348,1.0,T2,0,14,2,10,0.0,0.2,-0.2,0.11724138,0.00501271,2.74213732,,,,,,
CORE02,CORE04,t_stage,,,,,,,0.19206366,1.0,T3A,2,14,4,10,0.14285714285714285,0.4,-0.2571428571428572,0.28888889,0.04711411,1.77137582,,,,,,
CORE02,CORE04,t_stage,,,,,,,0.49275362,1.0,T3B,2,14,0,10,0.14285714285714285,0.0,0.14285714285714285,4.2,0.1808233,97.55379905,,,,,,
CORE02,CORE04,t_stage,,,,,,,1.0,1.0,T4,1,14,0,10,0.07142857142857142,0.0,0.07142857142857142,2.33333333,0.08599951,63.30785061,,,,,,
CORE02,CORE04,m_stage,,,,,,,1.0,1.0,M0,11,12,9,10,0.9166666666666666,0.9,0.016666666666666607,1.21052632,0.1075494,13.62512491,,,,,,
CORE02,CORE04,m_stage,,,,,,,1.0,1.0,M1,1,12,1,10,0.08333333333333333,0.1,-0.016666666666666677,0.82608696,0.07339382,9.29805311,,,,,,
CORE02,CORE04,grade,,,,,,,0.42122089,1.0,G2,7,14,3,10,0.5,0.3,0.2,2.14285714,0.42278388,10.860955,,,,,,
CORE02,CORE04,grade,,,,,,,0.67335218,1.0,G3,4,14,4,10,0.2857142857142857,0.4,-0.11428571428571432,0.61904762,0.12101641,3.16667764,,,,,,
CORE02,CORE04,grade,,,,,,,0.66533181,1.0,G4,3,14,3,10,0.21428571428571427,0.3,-0.08571428571428572,0.65217391,0.11401517,3.73047576,,,,,,
CORE02,CORE04,overall_survival,,,,,,,0.40308163,0.69090233,,,,,,,,,,,,14,10,3,3,521.0,1911.5
CORE02,CORE05,age,14,9,58.5,58.0,0.13255601,0.13255601,0.75248821,1.0,,,,,,,,,,,,,,,,,
CORE02,CORE05,gender,,,,,,,1.0,1.0,FEMALE,6,14,4,9,0.42857142857142855,0.4444444444444444,-0.015873015873015872,0.93464052,0.1866474,4.68023073,,,,,,
CORE02,CORE05,gender,,,,,,,1.0,1.0,MALE,8,14,5,9,0.5714285714285714,0.5555555555555556,0.015873015873015817,1.06993007,0.21366468,5.35769579,,,,,,
CORE02,CORE05,stage_group,,,,,,,0.08937946,0.54940714,I,9,14,2,9,0.6428571428571429,0.2222222222222222,0.4206349206349207,5.18181818,0.8779653,30.5834862,,,,,,
CORE02,CORE05,stage_group,,,,,,,0.04743083,0.45059288,II,0,14,3,9,0.0,0.3333333333333333,-0.3333333333333333,0.06403941,0.00287251,1.42768668,,,,,,
CORE02,CORE05,stage_group,,,,,,,1.0,1.0,III,3,14,2,9,0.21428571428571427,0.2222222222222222,-0.007936507936507936,0.91304348,0.14134055,5.89815457,,,,,,
CORE02,CORE05,stage_group,,,,,,,1.0,1.0,IV,2,14,2,9,0.14285714285714285,0.2222222222222222,-0.07936507936507936,0.6,0.08342152,4.31543347,,,,,,
CORE02,CORE05,t_stage,,,,,,,0.39130435,0.92934783,T1,0,14,1,9,0.0,0.1111111111111111,-0.1111111111111111,0.1954023,0.0071299,5.3552057,,,,,,
CORE02,CORE05,t_stage,,,,,,,0.61056792,0.96673254,T1A,4,14,1,9,0.2857142857142857,0.1111111111111111,0.1746031746031746,2.42857143,0.310361,19.00354467,,,,,,
