core_a,core_b,run_id,K,dominant_set_a,dominant_fraction_a,dominant_set_b,dominant_fraction_b,valid_assignment,same_parent_set
CORE01,CORE02,run1_K2,2,C0002,1.0,C0001,1.0,1,0
CORE01,CORE03,run1_K2,2,C0002,1.0,C0001,1.0,1,0
CORE01,CORE04,run1_K2,2,C0002,1.0,C0001,0.7,1,0
CORE01,CORE05,run1_K2,2,C0002,1.0,C0001,0.88888889,1,0
CORE01,CORE06,run1_K2,2,C0002,1.0,C0001,0.6,1,0
CORE02,CORE03,run1_K2,2,C0001,1.0,C0001,1.0,1,1
CORE02,CORE04,run1_K2,2,C0001,1.0,C0001,0.7,1,1
CORE02,CORE05,run1_K2,2,C0001,1.0,C0001,0.88888889,1,1
CORE02,CORE06,run1_K2,2,C0001,1.0,C0001,0.6,1,1
CORE03,CORE04,run1_K2,2,C0001,1.0,C0001,0.7,1,1
CORE03,CORE05,run1_K2,2,C0001,1.0,C0001,0.88888889,1,1
CORE03,CORE06,run1_K2,2,C0001,1.0,C0001,0.6,1,1
CORE04,CORE05,run1_K2,2,C0001,0.7,C0001,0.88888889,1,1
CORE04,CORE06,run1_K2,2,C0001,0.7,C0001,0.6,1,1
CORE05,CORE06,run1_K2,2,C0001,0.88888889,C0001,0.6,1,1
CORE01,CORE02,run1_K3,3,C0002,1.0,C0002,0.0,0,
CORE01,CORE03,run1_K3,3,C0002,1.0,C0001,1.0,1,0
CORE01,CORE04,run1_K3,3,C0002,1.0,C0001,1.0,1,0
CORE01,CORE05,run1_K3,3,C0002,1.0,C0001,1.0,1,0
CORE01,CORE06,run1_K3,3,C0002,1.0,C0001,1.0,1,0
CORE02,CORE03,run1_K3,3,C0002,0.0,C0001,1.0,0,
CORE02,CORE04,run1_K3,3,C0002,0.0,C0001,1.0,0,
CORE02,CORE05,run1_K3,3,C0002,0.0,C0001,1.0,0,
CORE02,CORE06,run1_K3,3,C0002,0.0,C0001,1.0,0,
CORE03,CORE04,run1_K3,3,C0001,1.0,C0001,1.0,1,1
CORE03,CORE05,run1_K3,3,C0001,1.0,C0001,1.0,1,1
CORE03,CORE06,run1_K3,3,C0001,1.0,C0001,1.0,1,1
CORE04,CORE05,run1_K3,3,C0001,1.0,C0001,1.0,1,1
CORE04,CORE06,run1_K3,3,C0001,1.0,C0001,1.0,1,1
CORE05,CORE06,run1_K3,3,C0001,1.0,C0001,1.0,1,1
CORE01,CORE02,run1_K4,4,C0003,1.0,C0004,1.0,1,0
CORE01,CORE03,run1_K4,4,C0003,1.0,C0001,1.0,1,0
CORE01,CORE04,run1_K4,4,C0003,1.0,C0002,1.0,1,0
