core_id,clinical_variable,set_n,rest_n,set_events,rest_events,set_median_time,rest_median_time,p_value,q_value
CORE01,overall_survival,17,86,0,24,1126.0,1158.5,0.01354809,0.08128854
CORE02,overall_survival,14,89,3,21,521.0,1218.0,0.49429582,0.68352906
CORE03,overall_survival,14,89,4,20,1221.5,1133.0,0.68352906,0.68352906
CORE04,overall_survival,10,93,3,21,1911.5,1018.0,0.61748768,0.68352906
CORE05,overall_survival,9,94,3,21,1218.0,1129.5,0.53289313,0.68352906
CORE06,overall_survival,5,98,2,22,1525.0,1129.5,0.51682233,0.68352906
