core_a,core_b,conditional_same_parent_fraction,unconditional_same_parent_fraction,same_parent_run_count,k_with_any_same_parent,k_with_majority_same_parent,rna_hallmark_profile_pearson,rna_hallmark_profile_spearman,mutation_frequency_pearson,cnv_effect_profile_pearson,ct_mean_between_core_distance,wsi_mean_between_core_distance,rna_mean_between_core_distance,genomic_mean_between_core_distance,fused_mean_between_core_distance,cnv_pairwise_fdr_feature_count,wxs_pairwise_fdr_gene_count,rna_pairwise_fdr_pathway_count
CORE01,CORE02,0.0,0.0,0,0,0,-0.04444219,-0.02751501,-0.07673864,-0.18509473,0.96887079,0.98357622,0.97178129,,0.9911118,13,2,1
CORE01,CORE03,0.0,0.0,0,0,0,-0.75927776,-0.77527011,0.12503613,-0.19650308,0.96776377,0.97581167,0.98343361,,0.99107004,2,2,16
CORE01,CORE04,0.0,0.0,0,0,0,-0.12404912,-0.1962545,0.84858537,-0.42713314,0.96925878,0.98187602,0.9583127,,0.99087586,22,0,13
CORE01,CORE05,0.0,0.0,0,0,0,-0.28579755,-0.19145258,0.68122521,-0.13187686,0.97087523,0.98456321,0.97094662,,0.99102728,0,0,0
CORE01,CORE06,0.45,0.42857143,9,3,3,0.49823366,0.5295078,0.88939288,-0.1641371,0.97253054,0.97562177,0.94795649,,0.99068909,0,0,0
CORE02,CORE03,0.1875,0.14285714,3,1,1,-0.27147841,-0.28893157,-0.06110161,-0.15752239,0.97076975,0.97524337,0.96156034,,0.99096666,0,1,0
CORE02,CORE04,0.2,0.14285714,3,1,1,0.27922619,0.34328932,-0.1663604,-0.44760159,0.96890296,0.97841996,0.96866147,,0.99105535,11,2,1
CORE02,CORE05,0.1875,0.14285714,3,1,1,-0.32057387,-0.26684274,-0.260678,-0.25085457,0.96766811,0.9793028,0.96191259,,0.99100813,0,1,0
CORE02,CORE06,0.1875,0.14285714,3,1,1,-0.35116088,-0.34415366,-0.18002057,-0.115299,0.97215096,0.9749281,0.96841967,,0.99111319,0,2,0
CORE03,CORE04,0.3,0.28571429,6,2,2,0.07147174,0.12345738,0.11254291,0.03287125,0.96327589,0.98099658,0.96347869,,0.99092748,0,2,1
CORE03,CORE05,0.28571429,0.28571429,6,2,2,-0.03072431,-0.03346939,0.22862686,-0.14625235,0.96757746,0.97530382,0.96754,,0.9908758,0,0,0
CORE03,CORE06,0.28571429,0.28571429,6,2,2,-0.43440252,-0.42943577,0.04749011,-0.18740182,0.96490714,0.9593099,0.97382918,,0.99091181,0,1,0
CORE04,CORE05,0.6,0.57142857,12,4,4,-0.40143453,-0.35222089,0.57675612,0.00157268,0.96006855,0.97089549,0.96552114,,0.99079672,0,0,0
CORE04,CORE06,0.6,0.57142857,12,4,4,-0.40323582,-0.41656663,0.69536368,0.23765526,0.9658217,0.9603502,0.95894348,,0.99074093,0,0,1
CORE05,CORE06,0.57142857,0.57142857,12,4,4,0.27267923,0.28268908,0.53035415,0.12993571,0.96716221,0.95603948,0.95857788,,0.99069311,0,0,0
