core_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
CORE01,chr21q,17,86,0.01478253,0.02065,0.01713923,0.01416117,0.02030511,0.73567483,0.8582873,-0.05266758,lower_in_core
CORE01,chr22p,17,86,0.0,0.0,0.0,0.0,,,,0.0,
CORE01,chr22q,17,86,0.0179,0.02526656,0.02132834,0.01589552,0.05823178,0.50522515,0.66908196,-0.10328317,lower_in_core
CORE01,locus::VHL,17,86,-0.4106,-0.3379,-0.43920588,-0.33253605,-0.52334193,0.02017262,0.06271755,-0.35841313,lower_in_core
CORE01,locus::SETD2,17,86,-0.3967,-0.3376,-0.43804706,-0.34417674,-0.47638546,0.02268475,0.06271755,-0.35157319,lower_in_core
CORE01,locus::PBRM1,17,86,-0.3967,-0.3376,-0.43816471,-0.3499533,-0.40832906,0.02431905,0.06271755,-0.34746922,lower_in_core
CORE01,locus::BAP1,17,86,-0.3967,-0.3376,-0.43816471,-0.34028837,-0.48214384,0.02321858,0.06271755,-0.3502052,lower_in_core
CORE01,locus::JAK2,17,86,0.0127,-0.0162,0.04025882,-0.08288041,0.68196576,0.01178269,0.06271755,0.38850889,higher_in_core
CORE01,locus::CDKN2A,17,86,0.0121,-0.0182,0.01462353,-0.11769535,0.65783924,0.01148897,0.06271755,0.38987688,higher_in_core
CORE01,locus::PTEN,17,86,0.0019,-0.0073,0.00404706,-0.04992551,0.42822274,0.33732625,0.47225675,0.14842681,higher_in_core
CORE01,fga,17,86,0.07639483,0.14712762,0.09266265,0.18406831,-0.60952124,0.00613156,0.05007441,-0.42270862,lower_in_core
CORE01,gain_burden,17,86,0.03204254,0.05034427,0.03844045,0.08109585,-0.49143134,0.15515707,0.30410786,-0.21956224,lower_in_core
CORE01,loss_burden,17,86,0.03775997,0.07647456,0.0542222,0.10297246,-0.5986679,0.01548453,0.06271755,-0.37346101,lower_in_core
CORE02,chr1p,14,89,-0.00305,0.00554206,-0.07173366,-0.01216926,-0.5270843,0.23465255,0.459919,-0.19903692,lower_in_core
CORE02,chr1q,14,89,0.01005,0.0268,-0.06219587,0.04508167,-1.04143046,0.09886626,0.24222234,-0.27608347,lower_in_core
CORE02,chr2p,14,89,0.03281666,0.0301,-0.0123207,0.05273166,-0.68451744,0.50055138,0.7945382,-0.11316212,lower_in_core
CORE02,chr2q,14,89,0.00015711,0.02527194,-0.06281138,0.04412077,-1.16701788,0.00963552,0.04292186,-0.43258427,lower_in_core
CORE02,chr3p,14,89,-0.15483261,-0.3417213,-0.11610697,-0.33485369,1.34799178,0.00056083,0.00549613,0.57624398,higher_in_core
CORE02,chr3q,14,89,0.0353,0.0159,0.01432061,-0.01004426,0.16452981,0.54754453,0.7945382,0.1011236,higher_in_core
CORE02,chr4p,14,89,0.02585,0.00996984,0.03243888,-0.00976662,0.40935398,0.19890162,0.40609081,0.21508828,higher_in_core
CORE02,chr4q,14,89,0.02803816,0.0108,0.02739784,-0.00352553,0.33792327,0.25016023,0.47145582,0.19261637,higher_in_core
CORE02,chr5p,14,89,0.04796353,0.04900197,0.10836122,0.1241759,-0.10109757,0.8511507,0.8727213,0.03210273,higher_in_core
CORE02,chr5q,14,89,0.05033742,0.16843184,0.07077231,0.19502996,-0.87292052,0.008734,0.0427966,-0.43820225,lower_in_core
CORE02,chr6p,14,89,0.00513614,0.00846108,-0.08162053,-0.02406958,-0.48199518,0.55396749,0.7945382,-0.09951846,lower_in_core
CORE02,chr6q,14,89,0.01085886,-0.0027,-0.05760504,-0.0542667,-0.02367692,0.56043368,0.7945382,0.09791332,higher_in_core
CORE02,chr7p,14,89,0.12954776,0.0319,0.14902973,0.09066149,0.44249327,0.0437953,0.12623351,0.33707865,higher_in_core
