core_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,event,set_altered_n,set_total_n,rest_altered_n,rest_total_n,alteration_frequency,rest_alteration_frequency,delta_alteration_frequency
CORE01,chr1p::loss,1.0,1.0,1.12587413,0.17654569,7.17996866,-0.01094391244870041,loss,1,17,6,86,0.058823529411764705,0.06976744186046512,-0.01094391244870041
CORE01,chr1p::gain,1.0,1.0,4.94285714,0.09483869,257.61467112,0.0,gain,0,17,0,86,0.0,0.0,0.0
CORE01,chr1q::loss,1.0,1.0,0.68163265,0.0336758,13.79694083,-0.03488372093023256,loss,0,17,3,86,0.0,0.03488372093023256,-0.03488372093023256
CORE01,chr1q::gain,1.0,0.58593479,0.35384615,0.01903511,6.57769305,-0.06976744186046512,gain,0,17,6,86,0.0,0.06976744186046512,-0.06976744186046512
CORE01,chr2p::loss,1.0,1.0,0.96571429,0.04439488,21.00702023,-0.023255813953488372,loss,0,17,2,86,0.0,0.023255813953488372,-0.023255813953488372
CORE01,chr2p::gain,1.0,0.58593479,0.35384615,0.01903511,6.57769305,-0.06976744186046512,gain,0,17,6,86,0.0,0.06976744186046512,-0.06976744186046512
CORE01,chr2q::loss,1.0,1.0,0.96571429,0.04439488,21.00702023,-0.023255813953488372,loss,0,17,2,86,0.0,0.023255813953488372,-0.023255813953488372
CORE01,chr2q::gain,1.0,0.58761799,0.42337662,0.02236412,8.01496962,-0.05813953488372093,gain,0,17,5,86,0.0,0.05813953488372093,-0.05813953488372093
CORE01,chr3p::loss,0.65068526,0.06506587,4.312,0.76021445,24.45802481,0.2202462380300958,loss,16,17,62,86,0.9411764705882353,0.7209302325581395,0.2202462380300958
CORE01,chr3p::gain,1.0,1.0,0.96571429,0.04439488,21.00702023,-0.023255813953488372,gain,0,17,2,86,0.0,0.023255813953488372,-0.023255813953488372
CORE01,chr3q::loss,0.68921128,0.08108368,3.53333333,0.95970091,13.00868254,0.1538987688098495,loss,4,17,7,86,0.23529411764705882,0.08139534883720931,0.1538987688098495
CORE01,chr3q::gain,1.0,0.58593479,0.35384615,0.01903511,6.57769305,-0.06976744186046512,gain,0,17,6,86,0.0,0.06976744186046512,-0.06976744186046512
CORE01,chr4p::loss,1.0,0.58593479,0.35384615,0.01903511,6.57769305,-0.06976744186046512,loss,0,17,6,86,0.0,0.06976744186046512,-0.06976744186046512
CORE01,chr4p::gain,1.0,1.0,0.68163265,0.0336758,13.79694083,-0.03488372093023256,gain,0,17,3,86,0.0,0.03488372093023256,-0.03488372093023256
CORE01,chr4q::loss,1.0,1.0,0.52380952,0.02695443,10.17927114,-0.046511627906976744,loss,0,17,4,86,0.0,0.046511627906976744,-0.046511627906976744
CORE01,chr4q::gain,1.0,1.0,0.96571429,0.04439488,21.00702023,-0.023255813953488372,gain,0,17,2,86,0.0,0.023255813953488372,-0.023255813953488372
CORE01,chr5p::loss,1.0,1.0,4.94285714,0.09483869,257.61467112,0.0,loss,0,17,0,86,0.0,0.0,0.0
CORE01,chr5p::gain,1.0,0.37391136,1.72194135,0.58584922,5.06116918,0.10875512995896036,gain,6,17,21,86,0.35294117647058826,0.2441860465116279,0.10875512995896036
CORE01,chr5q::loss,1.0,1.0,1.62857143,0.06367189,41.65487634,-0.011627906976744186,loss,0,17,1,86,0.0,0.011627906976744186,-0.011627906976744186
CORE01,chr5q::gain,0.82354572,0.10496171,2.46666667,0.87706035,6.93731556,0.22777017783857734,gain,10,17,31,86,0.5882352941176471,0.36046511627906974,0.22777017783857734
CORE01,chr6p::loss,1.0,0.20374064,0.18757764,0.01054197,3.33764741,-0.12790697674418605,loss,0,17,11,86,0.0,0.12790697674418605,-0.12790697674418605
CORE01,chr6p::gain,1.0,1.0,4.94285714,0.09483869,257.61467112,0.0,gain,0,17,0,86,0.0,0.0,0.0
CORE01,chr6q::loss,0.65068526,0.0671828,0.12207792,0.00697851,2.13555804,-0.18604651162790697,loss,0,17,16,86,0.0,0.18604651162790697,-0.18604651162790697
CORE01,chr6q::gain,1.0,1.0,4.94285714,0.09483869,257.61467112,0.0,gain,0,17,0,86,0.0,0.0,0.0
CORE01,chr7p::loss,1.0,1.0,4.94285714,0.09483869,257.61467112,0.0,loss,0,17,0,86,0.0,0.0,0.0
CORE01,chr7p::gain,1.0,0.18282112,0.31468531,0.05491441,1.80329452,-0.16210670314637482,gain,1,17,19,86,0.058823529411764705,0.22093023255813954,-0.16210670314637482
CORE01,chr7q::loss,1.0,1.0,4.94285714,0.09483869,257.61467112,0.0,loss,0,17,0,86,0.0,0.0,0.0
CORE01,chr7q::gain,1.0,0.18282112,0.31468531,0.05491441,1.80329452,-0.16210670314637482,gain,1,17,19,86,0.058823529411764705,0.22093023255813954,-0.16210670314637482
CORE01,chr8p::loss,1.0,0.22670373,0.4114549,0.09993437,1.69406322,-0.16142270861833105,loss,2,17,24,86,0.11764705882352941,0.27906976744186046,-0.16142270861833105
CORE01,chr8p::gain,1.0,1.0,0.96571429,0.04439488,21.00702023,-0.023255813953488372,gain,0,17,2,86,0.0,0.023255813953488372,-0.023255813953488372
CORE01,chr8q::loss,1.0,1.0,0.83957219,0.13669323,5.15666714,-0.03419972640218878,loss,1,17,8,86,0.058823529411764705,0.09302325581395349,-0.03419972640218878
