core_a,core_b,pathway,smd_a_vs_b,p_value,q_value,median_a,median_b
CORE01,CORE02,HALLMARK_ADIPOGENESIS,0.36264697,0.6197691,0.93904409,0.48138652,0.47707024
CORE01,CORE02,HALLMARK_ALLOGRAFT_REJECTION,-0.13012491,0.56490854,0.91114281,0.18520238,0.21256586
CORE01,CORE02,HALLMARK_ANDROGEN_RESPONSE,0.98024597,0.01818618,0.14447821,0.43819807,0.39752623
CORE01,CORE02,HALLMARK_ANGIOGENESIS,1.0289043,0.02022695,0.14447821,0.50365283,0.40978665
CORE01,CORE02,HALLMARK_APICAL_JUNCTION,0.70262872,0.22602061,0.53814431,0.29746782,0.27587548
CORE01,CORE02,HALLMARK_APICAL_SURFACE,0.15020652,0.6197691,0.93904409,0.09400952,0.09148766
CORE01,CORE02,HALLMARK_APOPTOSIS,0.26093554,0.82718123,1.0,0.43919843,0.44583644
CORE01,CORE02,HALLMARK_BILE_ACID_METABOLISM,0.36429937,0.48727551,0.87013484,0.1908734,0.17728649
CORE01,CORE02,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0801288,0.98416534,1.0,0.32429587,0.31887702
CORE01,CORE02,HALLMARK_COAGULATION,0.42299002,0.6768326,0.99534206,0.36417888,0.34975737
CORE01,CORE02,HALLMARK_COMPLEMENT,0.35415707,0.85823299,1.0,0.29401321,0.28538421
CORE01,CORE02,HALLMARK_DNA_REPAIR,-0.88129241,0.04943005,0.20595854,0.2865297,0.30431801
CORE01,CORE02,HALLMARK_E2F_TARGETS,-0.49896387,0.7358148,1.0,0.09062181,0.09578689
CORE01,CORE02,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.33466264,0.43890886,0.81279419,0.40758138,0.31100926
CORE01,CORE02,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.05833581,0.02022695,0.14447821,0.25079637,0.21458853
CORE01,CORE02,HALLMARK_ESTROGEN_RESPONSE_LATE,0.21789673,0.82718123,1.0,0.24578742,0.24872287
CORE01,CORE02,HALLMARK_FATTY_ACID_METABOLISM,0.23057354,0.95252096,1.0,0.43032431,0.4381949
