core_a,core_b,feature,fisher_p,q_value,odds_ratio,ci_low,ci_high,core_a_frequency,core_b_frequency,frequency_difference
CORE01,CORE02,mutation::ARID1A,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
CORE01,CORE02,mutation::ATM,0.48817204,1.0,4.67741935,0.20660042,105.89645363,0.11764705882352941,0.0,0.11764705882352941
CORE01,CORE02,mutation::BAP1,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
CORE01,CORE02,mutation::CDKN2A,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
CORE01,CORE02,mutation::DST,1.0,1.0,2.63636364,0.09944974,69.88870187,0.058823529411764705,0.0,0.058823529411764705
CORE01,CORE02,mutation::ELOC,0.4516129,1.0,0.25714286,0.00969068,6.82330589,0.0,0.07142857142857142,-0.07142857142857142
CORE01,CORE02,mutation::FLG,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
CORE01,CORE02,mutation::KDM5C,0.23225806,1.0,7.0,0.33106854,148.00560726,0.17647058823529413,0.0,0.17647058823529413
CORE01,CORE02,mutation::KMT2C,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
CORE01,CORE02,mutation::LYST,1.0,1.0,2.63636364,0.09944974,69.88870187,0.058823529411764705,0.0,0.058823529411764705
CORE01,CORE02,mutation::MTOR,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
CORE01,CORE02,mutation::MUC16,0.663824,1.0,1.66666667,0.2963883,9.37208994,0.23529411764705882,0.14285714285714285,0.09243697478991597
CORE01,CORE02,mutation::PBRM1,0.00015046,0.00165506,51.30769231,2.60921149,1008.91755887,0.6470588235294118,0.0,0.6470588235294118
CORE01,CORE02,mutation::PIK3CA,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
CORE01,CORE02,mutation::PTEN,1.0,1.0,2.63636364,0.09944974,69.88870187,0.058823529411764705,0.0,0.058823529411764705
CORE01,CORE02,mutation::SETD2,1.0,1.0,2.63636364,0.09944974,69.88870187,0.058823529411764705,0.0,0.058823529411764705
CORE01,CORE02,mutation::SPTA1,0.4516129,1.0,0.25714286,0.00969068,6.82330589,0.0,0.07142857142857142,-0.07142857142857142
CORE01,CORE02,mutation::TP53,0.08097887,0.59384505,0.09387755,0.00442279,1.99263221,0.0,0.21428571428571427,-0.21428571428571427
CORE01,CORE02,mutation::TSC1,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
CORE01,CORE02,mutation::TSC2,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
CORE01,CORE02,mutation::TTN,1.0,1.0,0.81818182,0.07612046,8.79423836,0.058823529411764705,0.07142857142857142,-0.01260504201680672
CORE01,CORE02,mutation::VHL,0.00015046,0.00165506,51.30769231,2.60921149,1008.91755887,0.6470588235294118,0.0,0.6470588235294118
