core_id,clinical_variable,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,effect_size,direction,p_value,q_value,available_n,missing_n,level,set_count,set_total,rest_count,rest_total,set_fraction,rest_fraction,frequency_difference,odds_ratio,ci_low,ci_high
CORE01,age,17,86,56.0,58.0,58.29411765,59.1744186,-0.07651165,-0.07651165,lower_in_core,0.75571433,1.0,103,0,,,,,,,,,,,
CORE01,gender,,,,,,,,,,0.08462555,0.25387665,103,0,FEMALE,2,17,30,86,0.11764705882352941,0.3488372093023256,-0.23119015047879618,0.29878371,0.07319685,1.21961127
CORE01,gender,,,,,,,,,,0.08462555,0.25387665,103,0,MALE,15,17,56,86,0.8823529411764706,0.6511627906976745,0.2311901504787961,3.34690265,0.81993339,13.66178958
CORE01,stage_group,,,,,,,,,,0.00264012,0.02772126,103,0,I,15,17,41,86,0.8823529411764706,0.47674418604651164,0.4056087551299589,6.79759036,1.67537677,27.58020504
CORE01,stage_group,,,,,,,,,,1.0,1.0,103,0,II,1,17,8,86,0.058823529411764705,0.09302325581395349,-0.03419972640218878,0.83957219,0.13669323,5.15666714
CORE01,stage_group,,,,,,,,,,0.01124731,0.07873117,103,0,III,0,17,23,86,0.0,0.26744186046511625,-0.26744186046511625,0.07720365,0.00446251,1.33566115
CORE01,stage_group,,,,,,,,,,0.45541617,0.86943087,103,0,IV,1,17,14,86,0.058823529411764705,0.16279069767441862,-0.10396716826265391,0.45454545,0.07788737,2.65269678
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T1,0,17,1,86,0.0,0.011627906976744186,-0.011627906976744186,1.62857143,0.06367189,41.65487634
CORE01,t_stage,,,,,,,,,,0.00028766,0.00604086,103,0,T1A,12,17,20,86,0.7058823529411765,0.23255813953488372,0.4733242134062928,7.37250554,2.40919453,22.56100005
CORE01,t_stage,,,,,,,,,,0.55060803,0.96356405,103,0,T1B,3,17,23,86,0.17647058823529413,0.26744186046511625,-0.09097127222982213,0.65223771,0.18509006,2.29841639
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T2,1,17,9,86,0.058823529411764705,0.10465116279069768,-0.045827633378932975,0.74162679,0.1223236,4.49635478
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T2A,0,17,1,86,0.0,0.011627906976744186,-0.011627906976744186,1.62857143,0.06367189,41.65487634
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T2B,0,17,1,86,0.0,0.011627906976744186,-0.011627906976744186,1.62857143,0.06367189,41.65487634
CORE01,t_stage,,,,,,,,,,0.06413909,0.25387665,103,0,T3A,1,17,25,86,0.058823529411764705,0.29069767441860467,-0.23187414500683995,0.21925134,0.03871187,1.24176755
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T3B,0,17,4,86,0.0,0.046511627906976744,-0.046511627906976744,0.52380952,0.02695443,10.17927114
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T4,0,17,2,86,0.0,0.023255813953488372,-0.023255813953488372,0.96571429,0.04439488,21.00702023
CORE01,m_stage,,,,,,,,,,0.45250915,0.86943087,98,5,M0,16,17,68,81,0.9411764705882353,0.8395061728395061,0.10167029774872915,2.16788321,0.36909147,12.73320557
CORE01,m_stage,,,,,,,,,,0.45250915,0.86943087,98,5,M1,1,17,13,81,0.058823529411764705,0.16049382716049382,-0.10167029774872911,0.46127946,0.07853482,2.70935546
CORE01,grade,,,,,,,,,,0.42161251,0.86943087,103,0,G2,8,17,31,86,0.47058823529411764,0.36046511627906974,0.1101231190150479,1.5764411,0.56648351,4.38700597
CORE01,grade,,,,,,,,,,0.59783037,0.96572598,103,0,G3,9,17,38,86,0.5294117647058824,0.4418604651162791,0.08755129958960328,1.407945,0.50896475,3.89478667
CORE01,grade,,,,,,,,,,0.06806983,0.25387665,103,0,G4,0,17,17,86,0.0,0.19767441860465115,-0.19767441860465115,0.11346939,0.00650062,1.98062657
CORE02,age,14,89,58.5,58.0,57.64285714,59.24719101,-0.13954634,-0.13954634,lower_in_core,0.6823799,1.0,103,0,,,,,,,,,,,
CORE02,gender,,,,,,,,,,0.35618769,0.99394045,103,0,FEMALE,6,14,26,89,0.42857142857142855,0.29213483146067415,0.1364365971107544,1.83240844,0.59947479,5.60110402
CORE02,gender,,,,,,,,,,0.35618769,0.99394045,103,0,MALE,8,14,63,89,0.5714285714285714,0.7078651685393258,-0.1364365971107544,0.54572986,0.17853623,1.66812685
CORE02,stage_group,,,,,,,,,,0.56637615,1.0,103,0,I,9,14,47,89,0.6428571428571429,0.5280898876404494,0.11476725521669351,1.54545455,0.49984846,4.77830772
CORE02,stage_group,,,,,,,,,,0.6060288,1.0,103,0,II,0,14,9,89,0.0,0.10112359550561797,-0.10112359550561797,0.29219601,0.01610465,5.30148023
CORE02,stage_group,,,,,,,,,,1.0,1.0,103,0,III,3,14,20,89,0.21428571428571427,0.2247191011235955,-0.010433386837881226,1.03181336,0.28290668,3.76321556
CORE02,stage_group,,,,,,,,,,1.0,1.0,103,0,IV,2,14,13,89,0.14285714285714285,0.14606741573033707,-0.0032102728731942254,1.13333333,0.25900832,4.95908572
CORE02,t_stage,,,,,,,,,,1.0,1.0,103,0,T1,0,14,1,89,0.0,0.011235955056179775,-0.011235955056179775,2.03448276,0.07900557,52.39022903
CORE02,t_stage,,,,,,,,,,1.0,1.0,103,0,T1A,4,14,28,89,0.2857142857142857,0.3146067415730337,-0.028892455858748,0.92481203,0.28126315,3.04084371
CORE02,t_stage,,,,,,,,,,0.33563462,0.99394045,103,0,T1B,5,14,21,89,0.35714285714285715,0.23595505617977527,0.12118780096308188,1.84455324,0.58023918,5.86374859
CORE02,t_stage,,,,,,,,,,0.35036664,0.99394045,103,0,T2,0,14,10,89,0.0,0.11235955056179775,-0.11235955056179775,0.26108374,0.0144844,4.70607724
CORE02,t_stage,,,,,,,,,,1.0,1.0,103,0,T2A,0,14,1,89,0.0,0.011235955056179775,-0.011235955056179775,2.03448276,0.07900557,52.39022903
CORE02,t_stage,,,,,,,,,,1.0,1.0,103,0,T2B,0,14,1,89,0.0,0.011235955056179775,-0.011235955056179775,2.03448276,0.07900557,52.39022903
CORE02,t_stage,,,,,,,,,,0.50920332,1.0,103,0,T3A,2,14,24,89,0.14285714285714285,0.2696629213483146,-0.12680577849117175,0.53469388,0.12731025,2.24567578
CORE02,t_stage,,,,,,,,,,0.08815398,0.99394045,103,0,T3B,2,14,2,89,0.14285714285714285,0.02247191011235955,0.1203852327447833,7.0,1.10006189,44.54294825
CORE02,t_stage,,,,,,,,,,0.25452123,0.99394045,103,0,T4,1,14,1,89,0.07142857142857142,0.011235955056179775,0.06019261637239165,6.55555556,0.6349348,67.68460075
CORE02,m_stage,,,,,,,,,,1.0,1.0,98,5,M0,11,12,73,86,0.9166666666666666,0.8488372093023255,0.0678294573643411,1.40816327,0.23328932,8.49984799
CORE02,m_stage,,,,,,,,,,1.0,1.0,98,5,M1,1,12,13,86,0.08333333333333333,0.1511627906976744,-0.06782945736434108,0.71014493,0.11764916,4.28652279
CORE02,grade,,,,,,,,,,0.37864398,0.99394045,103,0,G2,7,14,32,89,0.5,0.3595505617977528,0.1404494382022472,1.76923077,0.58907566,5.31371049
CORE02,grade,,,,,,,,,,0.24911772,0.99394045,103,0,G3,4,14,43,89,0.2857142857142857,0.48314606741573035,-0.19743178170144465,0.45812808,0.14088744,1.48970938
CORE02,grade,,,,,,,,,,0.69780168,1.0,103,0,G4,3,14,14,89,0.21428571428571427,0.15730337078651685,0.056982343499197424,1.58470765,0.42251938,5.94362871
CORE03,age,14,89,58.0,58.0,59.71428571,58.92134831,0.06890967,0.06890967,higher_in_core,0.85484165,1.0,103,0,,,,,,,,,,,
CORE03,gender,,,,,,,,,,0.75870154,1.0,103,0,FEMALE,5,14,27,89,0.35714285714285715,0.30337078651685395,0.0537720706260032,1.31578947,0.4200017,4.1221308
CORE03,gender,,,,,,,,,,0.75870154,1.0,103,0,MALE,9,14,62,89,0.6428571428571429,0.6966292134831461,-0.0537720706260032,0.76,0.24259298,2.38094275
CORE03,stage_group,,,,,,,,,,0.00968037,0.20328777,103,0,I,3,14,53,89,0.21428571428571427,0.5955056179775281,-0.3812199036918138,0.20763917,0.05840805,0.73815217
CORE03,stage_group,,,,,,,,,,0.35276161,0.82311042,103,0,II,2,14,7,89,0.14285714285714285,0.07865168539325842,0.06420545746388442,2.2,0.46690846,10.36605755
CORE03,stage_group,,,,,,,,,,0.29694774,0.77948782,103,0,III,5,14,18,89,0.35714285714285715,0.20224719101123595,0.1548956661316212,2.23755334,0.6958498,7.19500808
CORE03,stage_group,,,,,,,,,,0.11979356,0.47572816,103,0,IV,4,14,11,89,0.2857142857142857,0.12359550561797752,0.16211878009630817,2.92546584,0.82492479,10.37470379
CORE03,t_stage,,,,,,,,,,1.0,1.0,103,0,T1,0,14,1,89,0.0,0.011235955056179775,-0.011235955056179775,2.03448276,0.07900557,52.39022903
CORE03,t_stage,,,,,,,,,,0.05874497,0.3492509,103,0,T1A,1,14,31,89,0.07142857142857142,0.34831460674157305,-0.2768860353130016,0.20634921,0.03615973,1.17755289
CORE03,t_stage,,,,,,,,,,0.74753645,1.0,103,0,T1B,4,14,22,89,0.2857142857142857,0.24719101123595505,0.03852327447833065,1.28571429,0.38609019,4.28154168
CORE03,t_stage,,,,,,,,,,0.62279354,1.0,103,0,T2,2,14,8,89,0.14285714285714285,0.0898876404494382,0.05296950240770465,1.91764706,0.41494643,8.862277
CORE03,t_stage,,,,,,,,,,1.0,1.0,103,0,T2A,0,14,1,89,0.0,0.011235955056179775,-0.011235955056179775,2.03448276,0.07900557,52.39022903
CORE03,t_stage,,,,,,,,,,0.13592233,0.47572816,103,0,T2B,1,14,0,89,0.07142857142857142,0.0,0.07142857142857142,19.88888889,0.77007919,513.6717197
CORE03,t_stage,,,,,,,,,,0.18141907,0.54425721,103,0,T3A,6,14,20,89,0.42857142857142855,0.2247191011235955,0.20385232744783305,2.59253945,0.83425012,8.05664952
