core_id,pathway,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,direction,p_value,q_value,available_n_core,available_n_rest
CORE01,HALLMARK_ADIPOGENESIS,17,86,0.48138652,0.46707523,0.48028853,0.46331597,0.52500497,up,0.05224409,0.12371861,17,86
CORE01,HALLMARK_ALLOGRAFT_REJECTION,17,86,0.18520238,0.25807079,0.18287662,0.25758423,-0.77218643,down,0.00093554,0.00912817,17,86
CORE01,HALLMARK_ANDROGEN_RESPONSE,17,86,0.43819807,0.39579549,0.43632997,0.38913159,0.94275626,up,0.00018073,0.0037195,17,86
CORE01,HALLMARK_ANGIOGENESIS,17,86,0.50365283,0.45279332,0.49579114,0.44884484,0.57890033,up,0.03563869,0.11137091,17,86
CORE01,HALLMARK_APICAL_JUNCTION,17,86,0.29746782,0.29501196,0.29564098,0.28736635,0.20381329,up,0.66656596,0.81288532,17,86
CORE01,HALLMARK_APICAL_SURFACE,17,86,0.09400952,0.08498376,0.0875009,0.08281562,0.09706522,up,0.6345839,0.79322987,17,86
CORE01,HALLMARK_APOPTOSIS,17,86,0.43919843,0.44074511,0.43429701,0.43602982,-0.04773313,down,0.56064017,0.71876945,17,86
CORE01,HALLMARK_BILE_ACID_METABOLISM,17,86,0.1908734,0.17035962,0.18573529,0.16618631,0.37325334,up,0.21523651,0.32611592,17,86
CORE01,HALLMARK_CHOLESTEROL_HOMEOSTASIS,17,86,0.32429587,0.319847,0.32150445,0.3220388,-0.01836996,down,0.93274128,0.93274128,17,86
CORE01,HALLMARK_COAGULATION,17,86,0.36417888,0.3800833,0.36436076,0.37166675,-0.15029936,down,0.16443188,0.27405313,17,86
CORE01,HALLMARK_COMPLEMENT,17,86,0.29401321,0.31844874,0.29353389,0.30555777,-0.23866866,down,0.10119936,0.18740622,17,86
CORE01,HALLMARK_DNA_REPAIR,17,86,0.2865297,0.30339483,0.28400381,0.30359009,-0.75050318,down,0.00214515,0.01465356,17,86
CORE01,HALLMARK_E2F_TARGETS,17,86,0.09062181,0.10357462,0.08910452,0.11068831,-0.42446923,down,0.17548633,0.27419739,17,86
