core_id,CORE01,CORE02,CORE03,CORE04,CORE05,CORE06
CORE01,,0.97859771,0.98095144,0.92308198,0.97174354,0.90209073
CORE02,0.97859771,,0.96550036,0.98301237,0.97385657,0.97933394
CORE03,0.98095144,0.96550036,,0.98010789,0.96825533,0.98115586
CORE04,0.92308198,0.98301237,0.98010789,,0.97386477,0.93157615
CORE05,0.97174354,0.97385657,0.96825533,0.97386477,,0.97306068
CORE06,0.90209073,0.97933394,0.98115586,0.93157615,0.97306068,
