modality,group_a,group_b,n_a,n_b,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
ct,CORE01,CORE02,21,14,estimable,,35,2,0.032121,1.095166,0.059,9999,0.13425
ct,CORE01,CORE03,21,12,estimable,,33,2,0.034299,1.101047,0.0895,9999,0.13425
ct,CORE01,CORE04,21,9,estimable,,30,2,0.038982,1.135781,0.0239,9999,0.13425
ct,CORE02,CORE03,14,12,estimable,,26,2,0.042826,1.073819,0.1597,9999,0.19164
ct,CORE02,CORE04,14,9,estimable,,23,2,0.045756,1.00695,0.4653,9999,0.4653
ct,CORE03,CORE04,12,9,estimable,,21,2,0.056131,1.129923,0.0719,9999,0.13425
wsi,CORE01,CORE02,21,14,estimable,,35,2,0.05782,2.025144,0.0002,9999,0.0009
wsi,CORE01,CORE03,21,12,estimable,,33,2,0.054939,1.802125,0.0007,9999,0.0014
wsi,CORE01,CORE04,21,9,estimable,,30,2,0.060785,1.81213,0.0003,9999,0.0009
wsi,CORE02,CORE03,14,12,estimable,,26,2,0.045009,1.131119,0.1187,9999,0.15132
wsi,CORE02,CORE04,14,9,estimable,,23,2,0.050433,1.115334,0.1261,9999,0.15132
wsi,CORE03,CORE04,12,9,estimable,,21,2,0.05259,1.054668,0.2805,9999,0.2805
rna,CORE01,CORE02,21,14,estimable,,35,2,0.071058,2.524276,0.0001,9999,0.0003
rna,CORE01,CORE03,21,12,estimable,,33,2,0.07373,2.46757,0.0001,9999,0.0003
rna,CORE01,CORE04,21,9,estimable,,30,2,0.063022,1.883293,0.0006,9999,0.00084
rna,CORE02,CORE03,14,12,estimable,,26,2,0.068863,1.774939,0.0002,9999,0.0004
rna,CORE02,CORE04,14,9,estimable,,23,2,0.074241,1.684089,0.0007,9999,0.00084
rna,CORE03,CORE04,12,9,estimable,,21,2,0.083156,1.723272,0.0013,9999,0.0013
wxs,CORE01,CORE02,21,14,estimable,,35,2,0.05474,1.911044,0.005,9999,0.005
wxs,CORE01,CORE03,21,12,estimable,,33,2,0.082937,2.803564,0.0003,9999,0.00036
wxs,CORE01,CORE04,21,9,estimable,,30,2,0.187092,6.444261,0.0001,9999,0.0003
wxs,CORE02,CORE03,14,12,estimable,,26,2,0.081825,2.138805,0.0002,9999,0.0003
wxs,CORE02,CORE04,14,9,estimable,,23,2,0.209507,5.5657,0.0001,9999,0.0003
wxs,CORE03,CORE04,12,9,estimable,,21,2,0.260738,6.701297,0.0002,9999,0.0003
cnv,CORE01,CORE02,21,14,estimable,,35,2,0.060942,2.141597,0.0001,9999,0.0003
cnv,CORE01,CORE03,21,12,estimable,,33,2,0.054058,1.771567,0.0022,9999,0.00264
cnv,CORE01,CORE04,21,9,estimable,,30,2,0.062893,1.879193,0.0019,9999,0.00264
cnv,CORE02,CORE03,14,12,estimable,,26,2,0.057202,1.456146,0.0001,9999,0.0003
cnv,CORE02,CORE04,14,9,estimable,,23,2,0.056673,1.261643,0.0048,9999,0.0048
cnv,CORE03,CORE04,12,9,estimable,,21,2,0.068854,1.404956,0.0003,9999,0.0006
fused,CORE01,CORE02,21,14,estimable,,35,2,0.030249,1.029359,0.0001,9999,0.0001
fused,CORE01,CORE03,21,12,estimable,,33,2,0.032053,1.026552,0.0001,9999,0.0001
fused,CORE01,CORE04,21,9,estimable,,30,2,0.035444,1.028911,0.0001,9999,0.0001
fused,CORE02,CORE03,14,12,estimable,,26,2,0.040586,1.015257,0.0001,9999,0.0001
fused,CORE02,CORE04,14,9,estimable,,23,2,0.046215,1.01755,0.0001,9999,0.0001
fused,CORE03,CORE04,12,9,estimable,,21,2,0.051018,1.021465,0.0001,9999,0.0001
