feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
HALLMARK_ADIPOGENESIS,CORE01,CORE02,21,14,0.4771946,0.44574175,0.4747024,0.44178729,0.70748299,0.43537415,0.92517007,0.00049209,0.00295254
HALLMARK_ADIPOGENESIS,CORE01,CORE03,21,12,0.4771946,0.46066606,0.4747024,0.46460942,0.20634921,-0.23015873,0.5952381,0.33992497,1.0
HALLMARK_ADIPOGENESIS,CORE01,CORE04,21,9,0.4771946,0.47602294,0.4747024,0.47439635,-0.03703704,-0.56613757,0.51322751,0.89200402,1.0
HALLMARK_ADIPOGENESIS,CORE02,CORE03,14,12,0.44574175,0.46066606,0.44178729,0.46460942,-0.48809524,-0.8452381,-0.07142857,0.03724254,0.1862127
HALLMARK_ADIPOGENESIS,CORE02,CORE04,14,9,0.44574175,0.47602294,0.44178729,0.47439635,-0.52380952,-0.93650794,-0.01587302,0.0406279,0.1862127
HALLMARK_ADIPOGENESIS,CORE03,CORE04,12,9,0.46066606,0.47602294,0.46460942,0.47439635,-0.14814815,-0.64814815,0.38888889,0.59403234,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE02,21,14,0.20197086,0.28289408,0.20198556,0.29665101,-0.63945578,-0.88435374,-0.31955782,0.00164218,0.0082109
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE03,21,12,0.20197086,0.34212422,0.20198556,0.33173293,-0.71428571,-0.96825397,-0.35694444,0.00080971,0.00485826
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE04,21,9,0.20197086,0.18972302,0.20198556,0.17246128,0.15343915,-0.42857143,0.68280423,0.52634977,0.63174896
HALLMARK_ALLOGRAFT_REJECTION,CORE02,CORE03,14,12,0.28289408,0.34212422,0.29665101,0.33173293,-0.23809524,-0.64315476,0.25,0.31587448,0.63174896
HALLMARK_ALLOGRAFT_REJECTION,CORE02,CORE04,14,9,0.28289408,0.18972302,0.29665101,0.17246128,0.50793651,0.0,0.93650794,0.0472209,0.1416627
