modality,group_a,group_b,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,CORE01,CORE02,estimable,,2.061742,0.9569,9999,0,0.0,0.0,[],0.9569
ct,CORE01,CORE03,estimable,,8.630433,0.7184,9999,0,0.0,0.0,[],0.86208
ct,CORE01,CORE04,estimable,,45.997788,0.5513,9999,0,0.0,0.0,[],0.86208
ct,CORE02,CORE03,estimable,,3.236669,0.2165,9999,0,0.0,0.0,[],0.6495
ct,CORE02,CORE04,estimable,,30.974676,0.0311,9999,0,0.0,0.0,[],0.1866
ct,CORE03,CORE04,estimable,,1.09974,0.6796,9999,0,0.0,0.0,[],0.86208
wsi,CORE01,CORE02,estimable,,0.437164,0.6938,9999,0,0.0,0.0,[],0.9879
wsi,CORE01,CORE03,estimable,,0.711744,0.7222,9999,0,0.0,0.0,[],0.9879
wsi,CORE01,CORE04,estimable,,0.101069,0.9727,9999,0,0.0,0.0,[],0.9879
wsi,CORE02,CORE03,estimable,,0.096401,0.7877,9999,0,0.0,0.0,[],0.9879
wsi,CORE02,CORE04,estimable,,0.165524,0.9879,9999,0,0.0,0.0,[],0.9879
wsi,CORE03,CORE04,estimable,,0.769909,0.9716,9999,0,0.0,0.0,[],0.9879
rna,CORE01,CORE02,estimable,,1.463254,0.7107,9999,0,0.0,0.0,[],0.7802
rna,CORE01,CORE03,estimable,,1.941304,0.7802,9999,0,0.0,0.0,[],0.7802
rna,CORE01,CORE04,estimable,,3.047608,0.7175,9999,1,0.0125,0.000953,['Negative PCoA eigenvalues were discarded; PERMDISP is an approximate diagnostic.'],0.7802
rna,CORE02,CORE03,estimable,,0.260555,0.6408,9999,0,0.0,0.0,[],0.7802
rna,CORE02,CORE04,estimable,,1.129895,0.753,9999,0,0.0,0.0,[],0.7802
rna,CORE03,CORE04,estimable,,0.359781,0.6681,9999,0,0.0,0.0,[],0.7802
wxs,CORE01,CORE02,estimable,,0.000302,0.9865,9999,0,0.0,0.0,[],0.9865
wxs,CORE01,CORE03,estimable,,2.426197,0.2896,9999,0,0.0,0.0,[],0.34752
wxs,CORE01,CORE04,estimable,,26.127427,0.0006,9999,0,0.0,0.0,[],0.0018
wxs,CORE02,CORE03,estimable,,2.96481,0.0608,9999,0,0.0,0.0,[],0.0912
wxs,CORE02,CORE04,estimable,,18.788683,0.0001,9999,0,0.0,0.0,[],0.0006
wxs,CORE03,CORE04,estimable,,11.303131,0.0011,9999,0,0.0,0.0,[],0.0022
cnv,CORE01,CORE02,estimable,,0.771647,0.5206,9999,0,0.0,0.0,[],0.9895
cnv,CORE01,CORE03,estimable,,0.05237,0.8789,9999,0,0.0,0.0,[],0.9895
cnv,CORE01,CORE04,estimable,,0.162499,0.896,9999,0,0.0,0.0,[],0.9895
cnv,CORE02,CORE03,estimable,,1.3123,0.393,9999,0,0.0,0.0,[],0.9895
cnv,CORE02,CORE04,estimable,,0.550204,0.9895,9999,0,0.0,0.0,[],0.9895
cnv,CORE03,CORE04,estimable,,0.203646,0.9134,9999,0,0.0,0.0,[],0.9895
fused,CORE01,CORE02,estimable,,6820.541819,0.8028,9999,0,0.0,0.0,[],0.995
fused,CORE01,CORE03,estimable,,6980.069987,0.995,9999,0,0.0,0.0,[],0.995
fused,CORE01,CORE04,estimable,,19758.547336,0.9355,9999,0,0.0,0.0,[],0.995
fused,CORE02,CORE03,estimable,,760.499299,0.9922,9999,0,0.0,0.0,[],0.995
fused,CORE02,CORE04,estimable,,7940.234424,0.9401,9999,0,0.0,0.0,[],0.995
fused,CORE03,CORE04,estimable,,1778.657407,0.9773,9999,0,0.0,0.0,[],0.995
