feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
original_shape_Elongation,4,56,21;14;12;9,estimable,,2.81920575,0.42034806,0.57540979,0.0
original_shape_Flatness,4,56,21;14;12;9,estimable,,1.33008116,0.7220027,0.79991666,0.0
original_shape_LeastAxisLength,4,56,21;14;12;9,estimable,,8.9031209,0.03060707,0.33559749,0.11352156
original_shape_MajorAxisLength,4,56,21;14;12;9,estimable,,3.73730457,0.29126337,0.48398659,0.01417893
original_shape_Maximum2DDiameterColumn,4,56,21;14;12;9,estimable,,3.27319788,0.35139046,0.5202432,0.00525381
original_shape_Maximum2DDiameterRow,4,56,21;14;12;9,estimable,,6.77767335,0.07933201,0.33820342,0.07264756
original_shape_Maximum2DDiameterSlice,4,56,21;14;12;9,estimable,,4.15162907,0.24554957,0.455598,0.02214671
original_shape_MeshVolume,4,56,21;14;12;9,estimable,,6.12568624,0.10565289,0.36563023,0.06010935
original_shape_MinorAxisLength,4,56,21;14;12;9,estimable,,7.41099773,0.05988994,0.33820342,0.08482688
original_shape_Sphericity,4,56,21;14;12;9,estimable,,1.76702172,0.62213754,0.73416997,0.0
original_shape_SurfaceVolumeRatio,4,56,21;14;12;9,estimable,,9.89949576,0.01944006,0.33559749,0.13268261
original_firstorder_10Percentile,4,56,21;14;12;9,estimable,,1.70521542,0.63577491,0.73794134,0.0
original_firstorder_90Percentile,4,56,21;14;12;9,estimable,,7.97598162,0.04651071,0.33559749,0.09569195
original_firstorder_Energy,4,56,21;14;12;9,estimable,,3.93089868,0.26902315,0.46862511,0.0179019
original_firstorder_InterquartileRange,4,56,21;14;12;9,estimable,,5.1169889,0.16342836,0.41630502,0.04071133
original_firstorder_Kurtosis,4,56,21;14;12;9,estimable,,1.28143275,0.73354671,0.80690138,0.0
original_firstorder_Maximum,4,56,21;14;12;9,estimable,,3.11351295,0.37445267,0.54146208,0.00218294
original_firstorder_Mean,4,56,21;14;12;9,estimable,,6.20989975,0.10183293,0.35641525,0.06172884
original_firstorder_Minimum,4,56,21;14;12;9,estimable,,9.26541055,0.02596252,0.33559749,0.12048866
original_firstorder_Range,4,56,21;14;12;9,estimable,,4.70739348,0.19452062,0.42361748,0.03283449
original_firstorder_Skewness,4,56,21;14;12;9,estimable,,4.09919143,0.25095053,0.46007597,0.0211383
original_firstorder_Uniformity,4,56,21;14;12;9,estimable,,6.5267335,0.08861414,0.33820342,0.0678218
original_firstorder_Variance,4,56,21;14;12;9,estimable,,4.82779866,0.18484965,0.42361748,0.03514997
original_glcm_Correlation,4,56,21;14;12;9,estimable,,9.71188388,0.02118089,0.33559749,0.12907469
