core_4v,core_5v,core_4v_n,core_5v_n,intersection_n,union_n,jaccard,dice,overlap_coefficient,four_to_five_coverage,five_to_four_coverage,fisher_p,hypergeometric_p
CORE01,CORE01,18,17,14,21,0.6666666666666666,0.8,0.8235294117647058,0.7777777777777778,0.8235294117647058,2.6554515385837786e-11,2.6554515385837786e-11
CORE01,CORE02,18,14,0,32,0.0,0.0,0.0,0.0,0.0,0.12205156234037465,1.0
CORE01,CORE03,18,14,0,32,0.0,0.0,0.0,0.0,0.0,0.12205156234037465,1.0
CORE01,CORE04,18,10,0,28,0.0,0.0,0.0,0.0,0.0,0.2030157120871296,1.0
CORE01,CORE05,18,9,0,27,0.0,0.0,0.0,0.0,0.0,0.3539390214225496,1.0
CORE01,CORE06,18,5,0,23,0.0,0.0,0.0,0.0,0.0,0.5836690465163021,1.0
CORE02,CORE01,14,17,0,31,0.0,0.0,0.0,0.0,0.0,0.11854746141871286,1.0
CORE02,CORE02,14,14,1,27,0.037037037037037035,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.6860786343900802,0.8890793484150918
CORE02,CORE03,14,14,2,26,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.6030208259066447
CORE02,CORE04,14,10,0,24,0.0,0.0,0.0,0.0,0.0,0.3503666444389886,1.0
CORE02,CORE05,14,9,3,20,0.15,0.2608695652173913,0.3333333333333333,0.21428571428571427,0.3333333333333333,0.10292621335826974,0.10292621335826974
CORE02,CORE06,14,5,1,18,0.05555555555555555,0.10526315789473684,0.2,0.07142857142857142,0.2,0.5258504491225822,0.5258504491225822
CORE03,CORE01,11,17,2,26,0.07692307692307693,0.14285714285714285,0.18181818181818182,0.18181818181818182,0.11764705882352941,1.0,0.5755423492889451
CORE03,CORE02,11,14,4,21,0.19047619047619047,0.32,0.36363636363636365,0.36363636363636365,0.2857142857142857,0.04108180819548242,0.04108180819548242
CORE03,CORE03,11,14,0,25,0.0,0.0,0.0,0.0,0.0,0.35307063343195844,1.0
CORE03,CORE04,11,10,0,21,0.0,0.0,0.0,0.0,0.0,0.5949221073549589,1.0
CORE03,CORE05,11,9,0,20,0.0,0.0,0.0,0.0,0.0,0.5920286938360657,1.0
CORE03,CORE06,11,5,0,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CORE04,CORE01,11,17,0,28,0.0,0.0,0.0,0.0,0.0,0.20374064496827693,1.0
CORE04,CORE02,11,14,1,24,0.041666666666666664,0.08,0.09090909090909091,0.09090909090909091,0.07142857142857142,1.0,0.8169013167617545
CORE04,CORE03,11,14,6,19,0.3157894736842105,0.48,0.5454545454545454,0.5454545454545454,0.42857142857142855,0.0006687075454348383,0.0006687075454348383
CORE04,CORE04,11,10,2,19,0.10526315789473684,0.19047619047619047,0.2,0.18181818181818182,0.2,0.28927242472279135,0.28927242472279135
CORE04,CORE05,11,9,0,20,0.0,0.0,0.0,0.0,0.0,0.5920286938360657,1.0
CORE04,CORE06,11,5,0,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CORE05,CORE01,5,17,0,22,0.0,0.0,0.0,0.0,0.0,0.5876179850994808,1.0
CORE05,CORE02,5,14,1,18,0.05555555555555555,0.10526315789473684,0.2,0.2,0.07142857142857142,0.5258504491225822,0.5258504491225822
CORE05,CORE03,5,14,2,17,0.11764705882352941,0.21052631578947367,0.4,0.4,0.14285714285714285,0.13537434840000276,0.13537434840000276
CORE05,CORE04,5,10,0,15,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CORE05,CORE05,5,9,0,14,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CORE05,CORE06,5,5,0,10,0.0,0.0,0.0,0.0,0.0,1.0,1.0
