core_id,m1,m2,m3,m4
CORE01,62.5,25.0,6.25,6.25
CORE02,0.0,61.5384615385,23.0769230769,15.3846153846
CORE03,66.6666666667,0.0,0.0,33.3333333333
CORE04,12.5,0.0,50.0,37.5
CORE05,0.0,20.0,60.0,20.0
