core_id,ccA,ccB,missing_n,total_n,coverage
CORE01,15,1,2,18,0.8888888888888888
CORE02,2,9,3,14,0.7857142857142857
CORE03,3,6,2,11,0.8181818181818182
CORE04,1,3,7,11,0.36363636363636365
CORE05,0,5,0,5,1.0
