partition,reference,reference_subtype,rest_subtype_n,rest_subtype_fraction,odds_ratio,ci_low,ci_high,fisher_p,bh_q,core_id,core_total_n,core_label_n,core_subtype_n,core_subtype_fraction,rest_label_n
4V-5core,ClearCode34,ccA,6,0.20689655172413793,37.358974359,5.6569013005,246.7239378992,3.1829e-06,1.59145e-05,CORE01,18,16,15,0.9375,29
4V-5core,ClearCode34,ccB,23,0.7931034482758621,0.0267673301,0.004053113,0.176775225,3.1829e-06,1.59145e-05,CORE01,18,16,1,0.0625,29
4V-5core,ClearCode34,ccA,19,0.5588235294117647,0.2091767881,0.0446365866,0.9802480893,0.0402144804,0.0857411323,CORE02,14,11,2,0.18181818181818182,34
4V-5core,ClearCode34,ccB,15,0.4411764705882353,4.7806451613,1.02014991,22.4031467681,0.0402144804,0.0857411323,CORE02,14,11,9,0.8181818181818182,34
4V-5core,ClearCode34,ccA,18,0.5,0.5384615385,0.1262451049,2.2966500658,0.468929709,0.5861621363,CORE03,11,9,3,0.3333333333333333,36
4V-5core,ClearCode34,ccB,18,0.5,1.8571428571,0.4354167903,7.9210992066,0.468929709,0.5861621363,CORE03,11,9,6,0.6666666666666666,36
4V-5core,ClearCode34,ccA,20,0.4878048780487805,0.4494773519,0.0604556348,3.3417875834,0.6109936575,0.6109936575,CORE04,11,4,1,0.25,41
4V-5core,ClearCode34,ccB,21,0.5121951219512195,2.2248062016,0.2992410424,16.5410553128,0.6109936575,0.6109936575,CORE04,11,4,3,0.75,41
4V-5core,ClearCode34,ccA,21,0.525,0.0824524313,0.0042756595,1.5900245164,0.0514446794,0.0857411323,CORE05,5,5,0,0.0,40
4V-5core,ClearCode34,ccB,19,0.475,12.1282051282,0.6289211202,233.8820480161,0.0514446794,0.0857411323,CORE05,5,5,5,1.0,40
