core_id,m1,m2,m3,m4,missing_n,total_n,coverage
CORE01,10,4,1,1,2,18,0.8888888888888888
CORE02,0,8,3,2,1,14,0.9285714285714286
CORE03,4,0,0,2,5,11,0.5454545454545454
CORE04,1,0,4,3,3,11,0.7272727272727273
CORE05,0,1,3,1,0,5,1.0
