partition,reference,core_id,core_total_n,label_n,missing_n,coverage,dominant_reference_subtype,purity,normalized_entropy,m1_n,m2_n,m3_n,m4_n,evidence_status
4V-5core,mRNA,CORE01,18,16,2,0.8888888888888888,m1,0.625,0.7118974703,10,4,1,1,significant_known_enrichment
4V-5core,mRNA,CORE02,14,13,1,0.9285714285714286,m2,0.6153846154,0.6673395705,0,8,3,2,significant_known_enrichment
4V-5core,mRNA,CORE03,11,6,5,0.5454545454545454,m1,0.6666666667,0.459147917,4,0,0,2,no_fdr_supported_enrichment
4V-5core,mRNA,CORE04,11,8,3,0.7272727272727273,m3,0.5,0.7028195311,1,0,4,3,no_fdr_supported_enrichment
4V-5core,mRNA,CORE05,5,5,0,1.0,m3,0.6,0.6854752972,0,1,3,1,no_fdr_supported_enrichment
