excluded_initial_k,macro_k,linkage,actual_cluster_count,silhouette,mean_within_similarity,mean_between_similarity,within_minus_between,state_sizes_in_core_nodes,leave_one_k_ari
2,2,average,2,0.23732658184947825,0.2794063790045933,0.050815132494819996,0.2285912465097733,"[4, 6]",1.0
2,2,complete,1,,0.1574910475327142,,,[10],1.0
2,3,average,3,0.3795514131826441,0.3269417735042735,0.05461024962141033,0.2723315238828632,"[2, 2, 6]",1.0
2,3,complete,3,0.28476609700743694,0.3744256891612662,0.06936134937111499,0.3050643397901512,"[2, 4, 4]",0.7232472324723247
2,4,average,4,0.4365021009644792,0.5064455721747388,0.07025241637220804,0.4361931558025308,"[2, 2, 2, 4]",0.6376811594202898
2,4,complete,4,0.4365021009644792,0.5064455721747388,0.07025241637220804,0.4361931558025308,"[2, 2, 2, 4]",0.6376811594202898
2,5,average,5,0.3752303109751005,0.5889351851851852,0.09111502635541098,0.4978201588297742,"[1, 2, 2, 2, 3]",0.3712574850299401
2,5,complete,5,0.3752303109751005,0.5889351851851852,0.09111502635541098,0.4978201588297742,"[1, 2, 2, 2, 3]",0.6153846153846154
2,6,average,6,0.3211418859309779,0.6345000000000001,0.09786492847430348,0.5366350715256966,"[1, 1, 1, 2, 2, 3]",0.325
2,6,complete,6,0.3211418859309779,0.6345000000000001,0.09786492847430348,0.5366350715256966,"[1, 1, 1, 2, 2, 3]",0.325
3,2,average,2,0.26679823701681443,0.24022965151467307,0.09144328978313354,0.14878636173153953,"[2, 8]",0.3023255813953488
3,2,complete,1,,0.18732783401012568,,,[10],1.0
3,3,average,3,0.35187994617743623,0.3874598771954541,0.10602419146608599,0.2814356857293681,"[2, 4, 4]",0.4052863436123348
3,3,complete,3,0.35187994617743623,0.3874598771954541,0.10602419146608599,0.2814356857293681,"[2, 4, 4]",0.28044280442804426
3,4,average,4,0.3649291341063412,0.48991118064034733,0.11168199735257026,0.3782291832877771,"[2, 2, 2, 4]",0.6376811594202898
3,4,complete,4,0.3649291341063412,0.48991118064034733,0.11168199735257026,0.3782291832877771,"[2, 2, 2, 4]",0.6376811594202898
3,5,average,5,0.3094052042074221,0.512608411553724,0.11699689832502332,0.39561151322870075,"[1, 1, 2, 2, 4]",0.6003552397868561
3,5,complete,5,0.30943428506980086,0.5641335978835978,0.12935771649112995,0.4347758813924679,"[1, 2, 2, 2, 3]",0.6153846153846154
3,6,average,6,0.268705132924573,0.6152936507936507,0.13383210691218503,0.48146154388146567,"[1, 1, 1, 2, 2, 3]",0.325
3,6,complete,6,0.268705132924573,0.6152936507936507,0.13383210691218503,0.48146154388146567,"[1, 1, 1, 2, 2, 3]",0.55
