excluded_initial_k,macro_k,linkage,actual_cluster_count,silhouette,mean_within_similarity,mean_between_similarity,within_minus_between,state_sizes_in_core_nodes,leave_one_k_ari
4,2,average,2,0.1521123137005782,0.28308626228269085,0.13094677566357252,0.15213948661911833,"[4, 6]",-0.07142857142857142
4,2,complete,1,,0.20194520275249442,,,[10],1.0
4,3,average,3,0.27691057738914593,0.36866787592749134,0.13421411677515194,0.2344537591523394,"[2, 4, 4]",0.4052863436123348
4,3,complete,3,0.23862414169492324,0.385011892043142,0.13537549755589529,0.24963639448724673,"[3, 3, 4]",1.0
4,4,average,4,0.292047664918803,0.46276717880884544,0.13673970873840663,0.3260274700704388,"[2, 2, 2, 4]",0.6376811594202898
4,4,complete,4,0.3550627298973065,0.5031130761599512,0.1368278247184497,0.3662852514415015,"[2, 2, 3, 3]",1.0
4,5,average,5,0.2477991281323868,0.4820714094932845,0.14137737426799923,0.34069403522528524,"[1, 1, 2, 2, 4]",0.6003552397868561
4,5,complete,5,0.30841614985251337,0.5309387537066108,0.14134112757673611,0.3895976261298747,"[1, 1, 2, 3, 3]",0.7305389221556886
4,6,average,6,0.19856427114494643,0.5741507936507937,0.15541950389020703,0.41873128976058666,"[1, 1, 1, 2, 2, 3]",0.325
4,6,complete,6,0.2792598322879444,0.5910920329670329,0.15330184897567709,0.43779018399135583,"[1, 1, 1, 2, 2, 3]",0.55
5,2,average,2,0.2681613187743443,0.283862086987087,0.11613028464590966,0.16773180234117732,"[3, 7]",0.07079646017699115
5,2,complete,1,,0.20558724589453756,,,[10],1.0
5,3,average,3,0.32797668675577973,0.4396202177452177,0.12048434703974477,0.31913587070547295,"[3, 3, 4]",0.34782608695652173
5,3,complete,3,0.32797668675577973,0.4396202177452177,0.12048434703974477,0.31913587070547295,"[3, 3, 4]",1.0
5,4,average,4,0.4588203172146888,0.5790731837606837,0.12483352959915457,0.45423965416152917,"[2, 2, 3, 3]",1.0
5,4,complete,4,0.4588203172146888,0.5790731837606837,0.12483352959915457,0.45423965416152917,"[2, 2, 3, 3]",1.0
5,5,average,5,0.38549477556386547,0.5987026862026862,0.13317124373251016,0.465531442470176,"[1, 1, 2, 3, 3]",1.0
5,5,complete,5,0.34087786171173395,0.6165420227920227,0.1423634340641552,0.47417858872786756,"[1, 2, 2, 2, 3]",0.6153846153846154
5,6,average,6,0.27768240468648964,0.651517094017094,0.149846014879218,0.501671079137876,"[1, 1, 1, 2, 2, 3]",0.775
5,6,complete,6,0.27768240468648964,0.651517094017094,0.149846014879218,0.501671079137876,"[1, 1, 1, 2, 2, 3]",0.55
6,2,average,2,0.2589082344526316,0.2862775072150072,0.12073837868480726,0.16553912853019997,"[3, 7]",0.07079646017699115
6,2,complete,1,,0.20902591390091388,,,[10],1.0
6,3,average,3,0.3272489784906115,0.43704365079365076,0.12611037321264593,0.31093327758100486,"[3, 3, 4]",0.34782608695652173
6,3,complete,3,0.3272489784906115,0.43704365079365076,0.12611037321264593,0.31093327758100486,"[3, 3, 4]",1.0
6,4,average,4,0.4528129743798984,0.5752083333333333,0.1298513367263367,0.4453569966069966,"[2, 2, 3, 3]",1.0
6,4,complete,4,0.4528129743798984,0.5752083333333333,0.1298513367263367,0.4453569966069966,"[2, 2, 3, 3]",1.0
6,5,average,5,0.3868939906249861,0.599047619047619,0.13717981032125767,0.46186780872636135,"[1, 1, 2, 3, 3]",1.0
6,5,complete,5,0.3868939906249861,0.599047619047619,0.13717981032125767,0.46186780872636135,"[1, 1, 2, 3, 3]",0.7305389221556886
6,6,average,6,0.30457887420011004,0.6386666666666667,0.1553208198051948,0.4833458468614719,"[1, 1, 1, 2, 2, 3]",1.0
6,6,complete,6,0.27814869411312454,0.6024999999999999,0.1598416531385281,0.4426583468614718,"[1, 1, 1, 2, 2, 3]",1.0
7,2,average,2,0.2772801043488241,0.2999221770706146,0.12692393543956046,0.17299824163105412,"[3, 7]",0.07079646017699115
7,2,complete,1,,0.21918966430945597,,,[10],1.0
7,3,average,3,0.34545064333482534,0.4575989837708587,0.13249536632349132,0.3251036174473674,"[3, 3, 4]",0.34782608695652173
7,3,complete,3,0.34545064333482534,0.4575989837708587,0.13249536632349132,0.3251036174473674,"[3, 3, 4]",1.0
7,4,average,4,0.4831919639770089,0.6060413327991453,0.1355460603116853,0.47049527248746,"[2, 2, 3, 3]",1.0
7,4,complete,4,0.4831919639770089,0.6060413327991453,0.1355460603116853,0.47049527248746,"[2, 2, 3, 3]",1.0
7,5,average,5,0.4000523132177083,0.6247615231990232,0.14447905872453567,0.4802824644744875,"[1, 1, 2, 3, 3]",1.0
7,5,complete,5,0.4000523132177083,0.6247615231990232,0.14447905872453567,0.4802824644744875,"[1, 1, 2, 3, 3]",0.7305389221556886
7,6,average,6,0.3175751159120353,0.669110576923077,0.16294955023275334,0.5061610266903236,"[1, 1, 1, 2, 2, 3]",1.0
7,6,complete,6,0.3175751159120353,0.669110576923077,0.16294955023275334,0.5061610266903236,"[1, 1, 1, 2, 2, 3]",0.55
8,2,average,2,0.21032688539005767,0.3209826152683295,0.13463853565416065,0.18634407961416885,"[4, 6]",1.0
8,2,complete,1,,0.2215991061407728,,,[10],1.0
8,3,average,3,0.32681853142261524,0.4510251322751322,0.13817146027373298,0.31285367200139924,"[3, 3, 4]",0.34782608695652173
8,3,complete,3,0.32681853142261524,0.4510251322751322,0.13817146027373298,0.31285367200139924,"[3, 3, 4]",1.0
8,4,average,4,0.46797502447381534,0.5961805555555555,0.14060852248352249,0.455572033072033,"[2, 2, 3, 3]",1.0
8,4,complete,4,0.46797502447381534,0.5961805555555555,0.14060852248352249,0.455572033072033,"[2, 2, 3, 3]",1.0
8,5,average,5,0.38409356945512235,0.6134920634920634,0.14940829820764032,0.4640837652844231,"[1, 1, 2, 3, 3]",1.0
8,5,complete,5,0.38779113107376234,0.6347222222222222,0.15804170366670364,0.4766805185555185,"[1, 2, 2, 2, 3]",0.6153846153846154
8,6,average,6,0.32534432256312407,0.6666666666666667,0.16596566107503608,0.5007010055916307,"[1, 1, 1, 2, 2, 3]",1.0
8,6,complete,6,0.32534432256312407,0.6666666666666667,0.16596566107503608,0.5007010055916307,"[1, 1, 1, 2, 2, 3]",0.55
