core_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,event,set_altered_n,set_total_n,rest_altered_n,rest_total_n,alteration_frequency,rest_alteration_frequency,delta_alteration_frequency
STATE_A,chr1p::loss,1.0,0.31660818,0.19039451,0.01014752,3.57230904,-0.08333333333333333,loss,0,26,5,60,0.0,0.08333333333333333,-0.08333333333333333
STATE_A,chr1p::gain,1.0,1.0,2.28301887,0.04411297,118.1551744,0.0,gain,0,26,0,60,0.0,0.0,0.0
STATE_A,chr1q::loss,1.0,0.55032245,0.30997305,0.01545176,6.21827512,-0.05,loss,0,26,3,60,0.0,0.05,-0.05
STATE_A,chr1q::gain,1.0,0.63595015,1.67638484,0.3091656,9.0898408,0.026923076923076925,gain,2,26,3,60,0.07692307692307693,0.05,0.026923076923076925
STATE_A,chr2p::loss,1.0,1.0,0.44150943,0.02047678,9.51959075,-0.03333333333333333,loss,0,26,2,60,0.0,0.03333333333333333,-0.03333333333333333
STATE_A,chr2p::gain,1.0,1.0,0.96638655,0.13493261,6.92125503,-0.011538461538461539,gain,1,26,3,60,0.038461538461538464,0.05,-0.011538461538461539
STATE_A,chr2q::loss,1.0,1.0,0.44150943,0.02047678,9.51959075,-0.03333333333333333,loss,0,26,2,60,0.0,0.03333333333333333,-0.03333333333333333
STATE_A,chr2q::gain,1.0,0.63595015,1.67638484,0.3091656,9.0898408,0.026923076923076925,gain,2,26,3,60,0.07692307692307693,0.05,0.026923076923076925
STATE_A,chr3p::loss,0.12113673,0.00237523,9.25316456,1.64293277,52.1147646,0.31153846153846154,loss,25,26,39,60,0.9615384615384616,0.65,0.31153846153846154
STATE_A,chr3p::gain,1.0,1.0,0.44150943,0.02047678,9.51959075,-0.03333333333333333,gain,0,26,2,60,0.0,0.03333333333333333,-0.03333333333333333
STATE_A,chr3q::loss,0.74134431,0.05087657,4.20265781,1.00690842,17.54115103,0.1423076923076923,loss,5,26,3,60,0.19230769230769232,0.05,0.1423076923076923
STATE_A,chr3q::gain,1.0,0.31660818,0.19039451,0.01014752,3.57230904,-0.08333333333333333,gain,0,26,5,60,0.0,0.08333333333333333,-0.08333333333333333
STATE_A,chr4p::loss,1.0,0.66291681,0.59358289,0.09191458,3.83334895,-0.044871794871794865,loss,1,26,5,60,0.038461538461538464,0.08333333333333333,-0.044871794871794865
STATE_A,chr4p::gain,1.0,0.55032245,0.30997305,0.01545176,6.21827512,-0.05,gain,0,26,3,60,0.0,0.05,-0.05
STATE_A,chr4q::loss,1.0,1.0,0.96638655,0.13493261,6.92125503,-0.011538461538461539,loss,1,26,3,60,0.038461538461538464,0.05,-0.011538461538461539
STATE_A,chr4q::gain,1.0,1.0,0.44150943,0.02047678,9.51959075,-0.03333333333333333,gain,0,26,2,60,0.0,0.03333333333333333,-0.03333333333333333
STATE_A,chr5p::loss,1.0,1.0,2.28301887,0.04411297,118.1551744,0.0,loss,0,26,0,60,0.0,0.0,0.0
STATE_A,chr5p::gain,1.0,0.59042532,1.35327635,0.47992369,3.81593351,0.052564102564102544,gain,7,26,13,60,0.2692307692307692,0.21666666666666667,0.052564102564102544
STATE_A,chr5q::loss,1.0,1.0,0.74842767,0.02951036,18.98126739,-0.016666666666666666,loss,0,26,1,60,0.0,0.016666666666666666,-0.016666666666666666
STATE_A,chr5q::gain,1.0,0.46922415,1.46577498,0.57856125,3.71351569,0.08974358974358976,gain,11,26,20,60,0.4230769230769231,0.3333333333333333,0.08974358974358976
STATE_A,chr6p::loss,1.0,0.4257354,0.41960784,0.06829962,2.57791687,-0.0782051282051282,loss,1,26,7,60,0.038461538461538464,0.11666666666666667,-0.0782051282051282
STATE_A,chr6p::gain,1.0,1.0,2.28301887,0.04411297,118.1551744,0.0,gain,0,26,0,60,0.0,0.0,0.0
STATE_A,chr6q::loss,1.0,0.74607488,0.71631206,0.19424525,2.64152128,-0.051282051282051266,loss,3,26,10,60,0.11538461538461539,0.16666666666666666,-0.051282051282051266
