excluded_initial_k,run_id,repeat,initial_k,assigned_patient_n,unassigned_patient_n
,run1/K2,1,2,103,0
,run1/K3,1,3,103,0
,run1/K4,1,4,103,0
,run1/K5,1,5,103,0
,run1/K6,1,6,84,19
,run1/K7,1,7,103,0
,run1/K8,1,8,100,3
,run2/K2,2,2,103,0
,run2/K3,2,3,103,0
,run2/K4,2,4,103,0
,run2/K5,2,5,103,0
,run2/K6,2,6,103,0
,run2/K7,2,7,103,0
,run2/K8,2,8,100,3
,run3/K2,3,2,103,0
,run3/K3,3,3,103,0
,run3/K4,3,4,103,0
,run3/K5,3,5,103,0
,run3/K6,3,6,84,19
,run3/K7,3,7,103,0
,run3/K8,3,8,100,3
2.0,run1/K3,1,3,103,0
2.0,run1/K4,1,4,103,0
2.0,run1/K5,1,5,103,0
2.0,run1/K6,1,6,84,19
2.0,run1/K7,1,7,103,0
2.0,run1/K8,1,8,100,3
2.0,run2/K3,2,3,103,0
2.0,run2/K4,2,4,103,0
2.0,run2/K5,2,5,103,0
2.0,run2/K6,2,6,103,0
2.0,run2/K7,2,7,103,0
2.0,run2/K8,2,8,100,3
2.0,run3/K3,3,3,103,0
2.0,run3/K4,3,4,103,0
2.0,run3/K5,3,5,103,0
2.0,run3/K6,3,6,84,19
2.0,run3/K7,3,7,103,0
2.0,run3/K8,3,8,100,3
3.0,run1/K2,1,2,103,0
3.0,run1/K4,1,4,103,0
3.0,run1/K5,1,5,103,0
3.0,run1/K6,1,6,84,19
3.0,run1/K7,1,7,103,0
3.0,run1/K8,1,8,100,3
3.0,run2/K2,2,2,103,0
3.0,run2/K4,2,4,103,0
3.0,run2/K5,2,5,103,0
3.0,run2/K6,2,6,103,0
3.0,run2/K7,2,7,103,0
3.0,run2/K8,2,8,100,3
3.0,run3/K2,3,2,103,0
3.0,run3/K4,3,4,103,0
3.0,run3/K5,3,5,103,0
3.0,run3/K6,3,6,84,19
3.0,run3/K7,3,7,103,0
3.0,run3/K8,3,8,100,3
4.0,run1/K2,1,2,103,0
4.0,run1/K3,1,3,103,0
4.0,run1/K5,1,5,103,0
4.0,run1/K6,1,6,84,19
4.0,run1/K7,1,7,103,0
4.0,run1/K8,1,8,100,3
4.0,run2/K2,2,2,103,0
4.0,run2/K3,2,3,103,0
4.0,run2/K5,2,5,103,0
4.0,run2/K6,2,6,103,0
4.0,run2/K7,2,7,103,0
4.0,run2/K8,2,8,100,3
4.0,run3/K2,3,2,103,0
4.0,run3/K3,3,3,103,0
4.0,run3/K5,3,5,103,0
4.0,run3/K6,3,6,84,19
4.0,run3/K7,3,7,103,0
4.0,run3/K8,3,8,100,3
5.0,run1/K2,1,2,103,0
5.0,run1/K3,1,3,103,0
5.0,run1/K4,1,4,103,0
5.0,run1/K6,1,6,84,19
5.0,run1/K7,1,7,103,0
5.0,run1/K8,1,8,100,3
5.0,run2/K2,2,2,103,0
5.0,run2/K3,2,3,103,0
5.0,run2/K4,2,4,103,0
5.0,run2/K6,2,6,103,0
5.0,run2/K7,2,7,103,0
5.0,run2/K8,2,8,100,3
5.0,run3/K2,3,2,103,0
5.0,run3/K3,3,3,103,0
5.0,run3/K4,3,4,103,0
5.0,run3/K6,3,6,84,19
5.0,run3/K7,3,7,103,0
5.0,run3/K8,3,8,100,3
6.0,run1/K2,1,2,103,0
6.0,run1/K3,1,3,103,0
6.0,run1/K4,1,4,103,0
6.0,run1/K5,1,5,103,0
6.0,run1/K7,1,7,103,0
6.0,run1/K8,1,8,100,3
6.0,run2/K2,2,2,103,0
6.0,run2/K3,2,3,103,0
6.0,run2/K4,2,4,103,0
6.0,run2/K5,2,5,103,0
6.0,run2/K7,2,7,103,0
6.0,run2/K8,2,8,100,3
6.0,run3/K2,3,2,103,0
6.0,run3/K3,3,3,103,0
6.0,run3/K4,3,4,103,0
6.0,run3/K5,3,5,103,0
6.0,run3/K7,3,7,103,0
6.0,run3/K8,3,8,100,3
7.0,run1/K2,1,2,103,0
7.0,run1/K3,1,3,103,0
7.0,run1/K4,1,4,103,0
7.0,run1/K5,1,5,103,0
7.0,run1/K6,1,6,84,19
7.0,run1/K8,1,8,100,3
7.0,run2/K2,2,2,103,0
7.0,run2/K3,2,3,103,0
7.0,run2/K4,2,4,103,0
7.0,run2/K5,2,5,103,0
7.0,run2/K6,2,6,103,0
7.0,run2/K8,2,8,100,3
7.0,run3/K2,3,2,103,0
7.0,run3/K3,3,3,103,0
7.0,run3/K4,3,4,103,0
7.0,run3/K5,3,5,103,0
7.0,run3/K6,3,6,84,19
7.0,run3/K8,3,8,100,3
8.0,run1/K2,1,2,103,0
8.0,run1/K3,1,3,103,0
8.0,run1/K4,1,4,103,0
8.0,run1/K5,1,5,103,0
8.0,run1/K6,1,6,84,19
8.0,run1/K7,1,7,103,0
8.0,run2/K2,2,2,103,0
8.0,run2/K3,2,3,103,0
8.0,run2/K4,2,4,103,0
8.0,run2/K5,2,5,103,0
8.0,run2/K6,2,6,103,0
8.0,run2/K7,2,7,103,0
8.0,run3/K2,3,2,103,0
8.0,run3/K3,3,3,103,0
8.0,run3/K4,3,4,103,0
8.0,run3/K5,3,5,103,0
8.0,run3/K6,3,6,84,19
8.0,run3/K7,3,7,103,0
