excluded_initial_k,macro_k,linkage,actual_cluster_count,silhouette,mean_within_similarity,mean_between_similarity,within_minus_between,state_sizes_in_core_nodes,candidate_state_ari,leave_one_k_ari
3,6,average,6,0.2875347177037295,0.6152936507936507,0.12926154401154402,0.48603210678210673,"[1, 1, 1, 2, 2, 3]",,0.325
3,6,complete,6,0.2875347177037295,0.6152936507936507,0.12926154401154402,0.48603210678210673,"[1, 1, 1, 2, 2, 3]",,0.55
4,2,average,2,0.19527444301427882,0.2765431526145812,0.12849206349206346,0.14805108912251772,"[4, 6]",,0.2857142857142857
4,2,complete,1,,0.19758257174923846,,,[10],,1.0
4,3,average,3,0.2693925650835961,0.35854090354090357,0.13219324945887445,0.22634765408202911,"[2, 4, 4]",,0.4052863436123348
4,3,complete,3,0.22683468357494765,0.37404100529100526,0.13341586864314137,0.2406251366478639,"[3, 3, 4]",,1.0
4,4,average,4,0.28452965261325314,0.4481393298059964,0.13494338223504887,0.31319594757094754,"[2, 2, 2, 4]",0.6376811594202898,0.6376811594202898
4,4,complete,4,0.3416814716474313,0.486656746031746,0.13508004758004755,0.3515766984516985,"[2, 2, 3, 3]",1.0,1.0
4,5,average,5,0.25913497572624894,0.5298478835978836,0.14646483146483144,0.3833830521330521,"[1, 2, 2, 2, 3]",,0.3712574850299401
4,5,complete,5,0.29503489160263807,0.5121315192743764,0.1396393445735551,0.3724921747008213,"[1, 1, 2, 3, 3]",,0.7305389221556886
4,6,average,6,0.22121396995223766,0.5741507936507937,0.150511544011544,0.4236392496392497,"[1, 1, 1, 2, 2, 3]",,0.325
4,6,complete,6,0.26066035213088024,0.5461507936507937,0.154011544011544,0.3921392496392497,"[1, 1, 1, 2, 2, 3]",,1.0
5,2,average,2,0.25346571695213893,0.27706454425204424,0.11255102040816325,0.164513523843881,"[3, 7]",,0.07079646017699115
5,2,complete,1,,0.2002915664582331,,,[10],,1.0
5,3,average,3,0.31322439604850083,0.4260251322751323,0.11820663343390615,0.30781849884122614,"[3, 3, 4]",,0.34782608695652173
5,3,complete,3,0.31322439604850083,0.4260251322751323,0.11820663343390615,0.30781849884122614,"[3, 3, 4]",,1.0
5,4,average,4,0.44238251947409213,0.5586805555555555,0.12280205530205529,0.4358785002535002,"[2, 2, 3, 3]",1.0,1.0
5,4,complete,4,0.44238251947409213,0.5586805555555555,0.12280205530205529,0.4358785002535002,"[2, 2, 3, 3]",1.0,1.0
5,5,average,5,0.3690569778232689,0.5753968253968254,0.13119322928533453,0.44420359611149085,"[1, 1, 2, 3, 3]",,1.0
5,5,complete,5,0.31849719655985215,0.5893518518518518,0.1404361379361379,0.4489157139157139,"[1, 2, 2, 2, 3]",,0.6153846153846154
5,6,average,6,0.2553017395346079,0.6188888888888889,0.14796690115440114,0.4709219877344878,"[1, 1, 1, 2, 2, 3]",,0.775
5,6,complete,6,0.2553017395346079,0.6188888888888889,0.14796690115440114,0.4709219877344878,"[1, 1, 1, 2, 2, 3]",,0.55
6,2,average,2,0.256478507161254,0.2851663961038961,0.12017006802721089,0.1649963280766852,"[3, 7]",,0.07079646017699115
6,2,complete,1,,0.20816810966810964,,,[10],,1.0
6,3,average,3,0.3247642449189738,0.43482142857142847,0.1257487209759937,0.30907270759543476,"[3, 3, 4]",,0.34782608695652173
6,3,complete,3,0.3247642449189738,0.43482142857142847,0.1257487209759937,0.30907270759543476,"[3, 3, 4]",,1.0
6,4,average,4,0.45005392568599734,0.5718749999999999,0.12952878202878204,0.44234621797121787,"[2, 2, 3, 3]",1.0,1.0
6,4,complete,4,0.45005392568599734,0.5718749999999999,0.12952878202878204,0.44234621797121787,"[2, 2, 3, 3]",1.0,1.0
6,5,average,5,0.38413494193108505,0.5952380952380952,0.13686574390521755,0.4583723513328777,"[1, 1, 2, 3, 3]",,1.0
6,5,complete,5,0.38413494193108505,0.5952380952380952,0.13686574390521755,0.4583723513328777,"[1, 1, 2, 3, 3]",,0.7305389221556886
6,6,average,6,0.30158206676870136,0.6333333333333333,0.1550224567099567,0.47831087662337657,"[1, 1, 1, 2, 2, 3]",,1.0
6,6,complete,6,0.28322684570484624,0.6024999999999999,0.15887662337662337,0.4436233766233766,"[1, 1, 1, 2, 2, 3]",,1.0
7,2,average,2,0.2606136296034561,0.29246858465608466,0.12334467120181407,0.16912391345427058,"[3, 7]",,0.07079646017699115
7,2,complete,1,,0.21354409171075836,,,[10],,1.0
7,3,average,3,0.3284398172585997,0.4426917989417989,0.13021765271765273,0.31247414622414615,"[3, 3, 4]",,0.34782608695652173
7,3,complete,3,0.3284398172585997,0.4426917989417989,0.13021765271765273,0.31247414622414615,"[3, 3, 4]",,1.0
7,4,average,4,0.4643487869031211,0.5836805555555555,0.13351458601458602,0.45016596954096955,"[2, 2, 3, 3]",1.0,1.0
7,4,complete,4,0.4643487869031211,0.5836805555555555,0.13351458601458602,0.45016596954096955,"[2, 2, 3, 3]",1.0,1.0
7,5,average,5,0.38120913614382035,0.5992063492063492,0.14250104427736002,0.4567053049289892,"[1, 1, 2, 3, 3]",,1.0
7,5,complete,5,0.3634406906768822,0.5858796296296296,0.15626170126170125,0.42961792836792834,"[1, 2, 2, 2, 3]",,1.0
7,6,average,6,0.297184736760758,0.6333333333333333,0.16107043650793648,0.4722628968253968,"[1, 1, 1, 2, 2, 3]",,1.0
7,6,complete,6,0.28030103991758143,0.6080555555555555,0.16423015873015873,0.44382539682539673,"[1, 1, 1, 2, 2, 3]",,1.0
8,2,average,2,0.20591215819694667,0.3142365835222977,0.13249939874939876,0.18173718477289896,"[4, 6]",,1.0
8,2,complete,1,,0.21731008497675164,,,[10],,1.0
8,3,average,3,0.314125634529434,0.4399140211640211,0.13636319909047184,0.3035508220735493,"[3, 3, 4]",,0.34782608695652173
8,3,complete,3,0.314125634529434,0.4399140211640211,0.13636319909047184,0.3035508220735493,"[3, 3, 4]",,1.0
8,4,average,4,0.45391765540376283,0.5795138888888889,0.13899574899574899,0.4405181398931399,"[2, 2, 3, 3]",1.0,1.0
8,4,complete,4,0.45391765540376283,0.5795138888888889,0.13899574899574899,0.4405181398931399,"[2, 2, 3, 3]",1.0,1.0
8,5,average,5,0.37003620038506985,0.5944444444444443,0.1478379661274398,0.4466064783170045,"[1, 1, 2, 3, 3]",,1.0
8,5,complete,5,0.3721298506435943,0.6124999999999999,0.1565116365116365,0.45598836348836347,"[1, 2, 2, 2, 3]",,0.6153846153846154
8,6,average,6,0.30968304213295605,0.6399999999999999,0.1644738455988456,0.4755261544011543,"[1, 1, 1, 2, 2, 3]",,1.0
8,6,complete,6,0.34559137254595484,0.6520833333333332,0.17489318269806073,0.4771901506352725,"[1, 1, 2, 2, 2, 2]",,0.6301369863013698
