excluded_initial_k,macro_k,linkage,actual_cluster_count,silhouette,mean_within_similarity,mean_between_similarity,within_minus_between,state_sizes_in_core_nodes,candidate_state_ari,leave_one_k_ari
2,2,average,2,0.23224935003912797,0.27288737717309147,0.050034120971620966,0.2228532562014705,"[4, 6]",,1.0
2,2,complete,1,,0.15403230719897387,,,[10],,1.0
2,3,average,3,0.3745560105697685,0.3188888888888889,0.05394081117295403,0.26494807771593487,"[2, 2, 6]",,1.0
2,3,complete,3,0.27573270565886066,0.36389499389499397,0.06877559072871572,0.29511940316627827,"[2, 4, 4]",,0.7232472324723247
2,4,average,4,0.4273705960977881,0.4912345679012346,0.06973174202340869,0.4215028258778259,"[2, 2, 2, 4]",0.6376811594202898,0.6376811594202898
2,4,complete,4,0.23711360733927797,0.384313492063492,0.08823768295196867,0.29607580911152337,"[1, 2, 3, 4]",0.3076923076923077,0.3076923076923077
2,5,average,5,0.3936981330349575,0.5889351851851852,0.08712417212417213,0.5018110130610131,"[1, 2, 2, 2, 3]",,0.3712574850299401
2,5,complete,5,0.3936981330349575,0.5889351851851852,0.08712417212417213,0.5018110130610131,"[1, 2, 2, 2, 3]",,0.6153846153846154
2,6,average,6,0.33960970799083495,0.6345000000000001,0.0939738455988456,0.5405261544011545,"[1, 1, 1, 2, 2, 3]",,0.325
2,6,complete,6,0.33960970799083495,0.6345000000000001,0.0939738455988456,0.5405261544011545,"[1, 1, 1, 2, 2, 3]",,0.325
3,2,average,2,0.26331483247679294,0.2348303229337712,0.08980316558441559,0.14502715734935562,"[2, 8]",,0.3023255813953488
3,2,complete,1,,0.18326511143177807,,,[10],,1.0
3,3,average,3,0.34353857333143967,0.3769291819291819,0.10458908279220779,0.2723400991369741,"[2, 4, 4]",,0.4052863436123348
3,3,complete,3,0.34353857333143967,0.3769291819291819,0.10458908279220779,0.2723400991369741,"[2, 4, 4]",,0.28044280442804426
3,4,average,4,0.3562930413181137,0.47470017636684303,0.11040634519801186,0.3642938311688312,"[2, 2, 2, 4]",0.6376811594202898,0.6376811594202898
3,4,complete,4,0.3562930413181137,0.47470017636684303,0.11040634519801186,0.3642938311688312,"[2, 2, 2, 4]",0.6376811594202898,0.6376811594202898
3,5,average,5,0.3300828120754176,0.5641335978835978,0.12466995966995967,0.4394636382136382,"[1, 2, 2, 2, 3]",,0.3712574850299401
3,5,complete,5,0.3300828120754176,0.5641335978835978,0.12466995966995967,0.4394636382136382,"[1, 2, 2, 2, 3]",,0.6153846153846154
