state_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,event,set_altered_n,set_total_n,rest_altered_n,rest_total_n,alteration_frequency,rest_alteration_frequency,delta_alteration_frequency
STATE_A,chr9p::loss,1.0,0.14549922,0.28484848,0.06145638,1.32026422,-0.16436781609195403,loss,2,29,7,30,0.06896551724137931,0.23333333333333334,-0.16436781609195403
STATE_A,chr9p::gain,1.0,0.23728814,5.54545455,0.25490268,120.64238099,0.06896551724137931,gain,2,29,0,30,0.06896551724137931,0.0,0.06896551724137931
STATE_A,chr9q::loss,1.0,0.02114525,0.17748918,0.03987407,0.79004738,-0.26436781609195403,loss,2,29,10,30,0.06896551724137931,0.3333333333333333,-0.26436781609195403
STATE_A,chr9q::gain,1.0,1.0,1.03508772,0.10161772,10.54350117,0.0011494252873563218,gain,1,29,1,30,0.034482758620689655,0.03333333333333333,0.0011494252873563218
STATE_A,chr10p::loss,1.0,1.0,1.03636364,0.16629824,6.45857456,0.0022988505747126436,loss,2,29,2,30,0.06896551724137931,0.06666666666666667,0.0022988505747126436
STATE_A,chr10p::gain,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,gain,0,29,0,30,0.0,0.0,0.0
STATE_A,chr10q::loss,1.0,1.0,0.71428571,0.12958635,3.93717456,-0.031034482758620696,loss,2,29,3,30,0.06896551724137931,0.1,-0.031034482758620696
STATE_A,chr10q::gain,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,gain,0,29,0,30,0.0,0.0,0.0
STATE_A,chr11p::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr11p::gain,1.0,0.23728814,5.54545455,0.25490268,120.64238099,0.06896551724137931,gain,2,29,0,30,0.06896551724137931,0.0,0.06896551724137931
STATE_A,chr11q::loss,1.0,1.0,0.33333333,0.01304031,8.52058827,-0.03333333333333333,loss,0,29,1,30,0.0,0.03333333333333333,-0.03333333333333333
STATE_A,chr11q::gain,1.0,0.23728814,5.54545455,0.25490268,120.64238099,0.06896551724137931,gain,2,29,0,30,0.06896551724137931,0.0,0.06896551724137931
STATE_A,chr12p::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr12p::gain,1.0,0.73064232,0.66515837,0.17703282,2.49917306,-0.06206896551724139,gain,4,29,6,30,0.13793103448275862,0.2,-0.06206896551724139
STATE_A,chr12q::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr12q::gain,1.0,1.0,1.04081633,0.28209257,3.84022394,0.00574712643678163,gain,5,29,5,30,0.1724137931034483,0.16666666666666666,0.00574712643678163
STATE_A,chr13p::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr13p::gain,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,gain,0,29,0,30,0.0,0.0,0.0
STATE_A,chr13q::loss,1.0,1.0,0.71428571,0.12958635,3.93717456,-0.031034482758620696,loss,2,29,3,30,0.06896551724137931,0.1,-0.031034482758620696
STATE_A,chr13q::gain,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,gain,0,29,0,30,0.0,0.0,0.0
STATE_A,chr14p::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr14p::gain,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,gain,0,29,0,30,0.0,0.0,0.0
STATE_A,chr14q::loss,1.0,0.05960158,0.33333333,0.11256045,0.98712387,-0.2586206896551724,loss,7,29,15,30,0.2413793103448276,0.5,-0.2586206896551724
STATE_A,chr14q::gain,1.0,0.23728814,5.54545455,0.25490268,120.64238099,0.06896551724137931,gain,2,29,0,30,0.06896551724137931,0.0,0.06896551724137931
STATE_A,chr15p::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr15p::gain,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,gain,0,29,0,30,0.0,0.0,0.0
STATE_A,chr15q::loss,1.0,1.0,0.33333333,0.01304031,8.52058827,-0.03333333333333333,loss,0,29,1,30,0.0,0.03333333333333333,-0.03333333333333333
STATE_A,chr15q::gain,1.0,0.23728814,5.54545455,0.25490268,120.64238099,0.06896551724137931,gain,2,29,0,30,0.06896551724137931,0.0,0.06896551724137931
STATE_A,chr16p::loss,1.0,1.0,0.33333333,0.01304031,8.52058827,-0.03333333333333333,loss,0,29,1,30,0.0,0.03333333333333333,-0.03333333333333333
STATE_A,chr16p::gain,1.0,0.29897938,2.17325228,0.5298929,8.91316999,0.10689655172413792,gain,6,29,3,30,0.20689655172413793,0.1,0.10689655172413792
STATE_A,chr16q::loss,1.0,1.0,0.33333333,0.01304031,8.52058827,-0.03333333333333333,loss,0,29,1,30,0.0,0.03333333333333333,-0.03333333333333333
STATE_A,chr16q::gain,1.0,0.47164456,1.7638484,0.41516765,7.49374654,0.07241379310344828,gain,5,29,3,30,0.1724137931034483,0.1,0.07241379310344828
STATE_A,chr17p::loss,1.0,0.61195361,1.78787879,0.22116274,14.45320557,0.035632183908045977,loss,2,29,1,30,0.06896551724137931,0.03333333333333333,0.035632183908045977
STATE_A,chr17p::gain,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,gain,0,29,0,30,0.0,0.0,0.0
STATE_A,chr17q::loss,1.0,0.23728814,5.54545455,0.25490268,120.64238099,0.06896551724137931,loss,2,29,0,30,0.06896551724137931,0.0,0.06896551724137931
STATE_A,chr17q::gain,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,gain,0,29,0,30,0.0,0.0,0.0
STATE_A,chr18p::loss,1.0,0.67074852,0.53535354,0.10431215,2.74755539,-0.06436781609195402,loss,2,29,4,30,0.06896551724137931,0.13333333333333333,-0.06436781609195402
STATE_A,chr18p::gain,1.0,0.49152542,3.21052632,0.12559297,82.07051198,0.034482758620689655,gain,1,29,0,30,0.034482758620689655,0.0,0.034482758620689655
STATE_A,chr18q::loss,1.0,0.67074852,0.53535354,0.10431215,2.74755539,-0.06436781609195402,loss,2,29,4,30,0.06896551724137931,0.13333333333333333,-0.06436781609195402
STATE_A,chr18q::gain,1.0,1.0,1.03508772,0.10161772,10.54350117,0.0011494252873563218,gain,1,29,1,30,0.034482758620689655,0.03333333333333333,0.0011494252873563218
STATE_A,chr19p::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr19p::gain,1.0,0.49152542,3.21052632,0.12559297,82.07051198,0.034482758620689655,gain,1,29,0,30,0.034482758620689655,0.0,0.034482758620689655
STATE_A,chr19q::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr19q::gain,1.0,0.61195361,1.78787879,0.22116274,14.45320557,0.035632183908045977,gain,2,29,1,30,0.06896551724137931,0.03333333333333333,0.035632183908045977
STATE_A,chr20p::loss,1.0,1.0,1.03508772,0.10161772,10.54350117,0.0011494252873563218,loss,1,29,1,30,0.034482758620689655,0.03333333333333333,0.0011494252873563218
STATE_A,chr20p::gain,1.0,0.25421434,0.34265734,0.0722233,1.62570872,-0.1310344827586207,gain,2,29,6,30,0.06896551724137931,0.2,-0.1310344827586207
STATE_A,chr20q::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr20q::gain,1.0,0.07972201,0.24064171,0.05282875,1.09615387,-0.19770114942528735,gain,2,29,8,30,0.06896551724137931,0.26666666666666666,-0.19770114942528735
STATE_A,chr21p::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr21p::gain,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,gain,0,29,0,30,0.0,0.0,0.0
STATE_A,chr21q::loss,1.0,0.19450977,3.47058824,0.50759159,23.72967351,0.10459770114942529,loss,4,29,1,30,0.13793103448275862,0.03333333333333333,0.10459770114942529
STATE_A,chr21q::gain,1.0,0.61195361,0.41353383,0.05691285,3.00477352,-0.06551724137931035,gain,1,29,3,30,0.034482758620689655,0.1,-0.06551724137931035
STATE_A,chr22p::loss,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,loss,0,29,0,30,0.0,0.0,0.0
STATE_A,chr22p::gain,1.0,1.0,1.03389831,0.01985689,53.83248527,0.0,gain,0,29,0,30,0.0,0.0,0.0
