evidence,five_core_supported_pairs,five_core_total_pairs,five_core_supported_fraction,three_macro_state_supported_pairs,three_macro_state_total_pairs,three_macro_state_supported_fraction,five_core,three_macro_state
RNA pairwise FDR support,7,10,0.7,3,3,1.0,,
WXS pairwise FDR support,0,10,0.0,1,3,0.33333333,,
CNV pairwise FDR support,3,10,0.3,2,3,0.66666667,,
clinical pairwise FDR support,0,10,0.0,2,3,0.66666667,,
fused median group silhouette,,,,,,,0.000631,0.000537
fused PERMANOVA R2,,,,,,,0.07038,0.035443
minimum group n,,,,,,,5,11
