model,group_count,patient_count,median_group_silhouette,permanova_comparison_status,permanova_not_estimable_reason,permanova_available_n,permanova_set_count,permanova_permanova_r2,permanova_pseudo_f,permanova_permanova_p_value,permanova_permutations,permanova_q_value,permdisp_comparison_status,permdisp_not_estimable_reason,permdisp_permdisp_f,permdisp_permdisp_p_value,permdisp_permutations,permdisp_negative_eigenvalue_count,permdisp_negative_eigenvalue_sum,permdisp_negative_eigenvalue_fraction,permdisp_limitations,permdisp_q_value
five_core,5,59,0.000631,estimable,,59,5,0.07038,1.02207,0.001,999,0.001,estimable,,13062.561589,1.0,999,0,0.0,0.0,[],1.0
three_macro_state,3,59,0.000537,estimable,,59,3,0.035443,1.028866,0.001,999,0.001,estimable,,14199.888484,0.99,999,0,0.0,0.0,[],0.99
