core_a,core_b,feature,cliffs_delta,p_value,q_value,direction
STATE_A,STATE_B,chr1p,0.03085299,0.86606211,0.90106676,lower_in_core_a
STATE_A,STATE_B,chr1q,-0.02722323,0.88267448,0.90106676,lower_in_core_a
STATE_A,STATE_B,chr2p,-0.17604356,0.31156311,0.41261061,lower_in_core_a
STATE_A,STATE_B,chr2q,-0.03266788,0.85777377,0.90106676,lower_in_core_a
STATE_A,STATE_B,chr3p,-0.29945554,0.08385496,0.15803435,lower_in_core_a
STATE_A,STATE_B,chr3q,-0.01633394,0.93279488,0.93279488,lower_in_core_a
STATE_A,STATE_B,chr4p,0.41560799,0.0162445,0.07686408,higher_in_core_a
STATE_A,STATE_B,chr4q,0.40108893,0.02039251,0.07686408,higher_in_core_a
STATE_A,STATE_B,chr5p,-0.40108893,0.02039251,0.07686408,lower_in_core_a
STATE_A,STATE_B,chr5q,-0.04174229,0.81661207,0.90106676,lower_in_core_a
STATE_A,STATE_B,chr6p,0.38294011,0.02685387,0.09398854,higher_in_core_a
STATE_A,STATE_B,chr6q,0.27041742,0.11873959,0.20779428,higher_in_core_a
STATE_A,STATE_B,chr7p,-0.40471869,0.01927709,0.07686408,lower_in_core_a
STATE_A,STATE_B,chr7q,-0.26315789,0.12903422,0.21802334,lower_in_core_a
STATE_A,STATE_B,chr8p,0.19963702,0.25055048,0.3720295,higher_in_core_a
STATE_A,STATE_B,chr8q,-0.29219601,0.09168427,0.16638997,lower_in_core_a
STATE_A,STATE_B,chr9p,0.51724138,0.00275636,0.03494129,higher_in_core_a
STATE_A,STATE_B,chr9q,0.35753176,0.03882285,0.10320137,higher_in_core_a
STATE_A,STATE_B,chr10p,0.17241379,0.32175133,0.41488987,higher_in_core_a
STATE_A,STATE_B,chr10q,0.49546279,0.00414141,0.04058582,higher_in_core_a
STATE_A,STATE_B,chr11p,-0.02722323,0.88267764,0.90106676,lower_in_core_a
STATE_A,STATE_B,chr11q,0.15063521,0.38738362,0.48671275,higher_in_core_a
STATE_A,STATE_B,chr12p,-0.35934664,0.03783321,0.10320137,lower_in_core_a
STATE_A,STATE_B,chr12q,-0.33756806,0.05115702,0.10898669,lower_in_core_a
STATE_A,STATE_B,chr13p,0.0,,,
STATE_A,STATE_B,chr13q,0.33212341,0.05504967,0.11239308,higher_in_core_a
STATE_A,STATE_B,chr14p,0.0,,,
STATE_A,STATE_B,chr14q,0.21597096,0.21355395,0.32700449,higher_in_core_a
STATE_A,STATE_B,chr15p,0.0,,,
STATE_A,STATE_B,chr15q,0.17967332,0.30158994,0.41049742,higher_in_core_a
STATE_A,STATE_B,chr16p,-0.17967332,0.30158994,0.41049742,higher_in_core_a
STATE_A,STATE_B,chr16q,-0.18693285,0.28228774,0.40682645,higher_in_core_a
STATE_A,STATE_B,chr17p,0.10163339,0.56206476,0.67173593,higher_in_core_a
STATE_A,STATE_B,chr17q,0.06170599,0.7279405,0.84926392,lower_in_core_a
STATE_A,STATE_B,chr18p,0.40108893,0.0203891,0.07686408,higher_in_core_a
STATE_A,STATE_B,chr18q,0.36479129,0.03500666,0.10320137,higher_in_core_a
STATE_A,STATE_B,chr19p,0.25589837,0.14000916,0.22868163,higher_in_core_a
STATE_A,STATE_B,chr19q,-0.12522686,0.47349985,0.58003732,lower_in_core_a
STATE_A,STATE_B,chr20p,-0.36842105,0.03322414,0.10320137,lower_in_core_a
STATE_A,STATE_B,chr20q,-0.54264973,0.00168177,0.03494129,lower_in_core_a
STATE_A,STATE_B,chr21p,0.0,,,
STATE_A,STATE_B,chr21q,-0.04174229,0.81661207,0.90106676,lower_in_core_a
STATE_A,STATE_B,chr22p,0.0,,,
STATE_A,STATE_B,chr22q,0.24682396,0.15469889,0.24452405,higher_in_core_a
STATE_A,STATE_B,locus::VHL,-0.41197822,0.01720519,0.07686408,lower_in_core_a
STATE_A,STATE_B,locus::SETD2,-0.34664247,0.04519737,0.10320137,lower_in_core_a
STATE_A,STATE_B,locus::PBRM1,-0.35027223,0.04298094,0.10320137,lower_in_core_a
STATE_A,STATE_B,locus::BAP1,-0.35027223,0.04298094,0.10320137,lower_in_core_a
STATE_A,STATE_B,locus::JAK2,0.42286751,0.01446354,0.07686408,higher_in_core_a
STATE_A,STATE_B,locus::CDKN2A,0.52087114,0.00257182,0.03494129,higher_in_core_a
STATE_A,STATE_B,locus::PTEN,0.5154265,0.00285235,0.03494129,higher_in_core_a
STATE_A,STATE_B,fga,-0.42649728,0.01363942,0.07686408,lower_in_core_a
STATE_A,STATE_B,gain_burden,-0.34482759,0.04633531,0.10320137,lower_in_core_a
STATE_A,STATE_B,loss_burden,-0.32849365,0.05777494,0.11323888,lower_in_core_a
