core_a,core_b,feature,effect_size,smd_a_vs_b,p_value,q_value,feature_family,medical_imaging_domain,interpretation
STATE_A,STATE_B,log-sigma-1-0-mm-3D_firstorder_Variance,0.36038873,0.36038873,0.22948452,0.62037681,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_Autocorrelation,-0.42464415,-0.42464415,0.21355395,0.61403553,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_ClusterProminence,0.44882297,0.44882297,0.19843722,0.60440447,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_ClusterShade,-0.20294137,-0.20294137,0.80027834,0.99439454,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.41625014,0.41625014,0.21355395,0.61403553,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_Contrast,0.09589667,0.09589667,0.72004541,0.9838589,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_Correlation,0.57227281,0.57227281,0.07313448,0.39166807,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_DifferenceAverage,0.03435748,0.03435748,0.83302585,0.99439454,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,0.13005135,0.13005135,0.54094473,0.85972932,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_DifferenceVariance,0.17246795,0.17246795,0.49990977,0.83441365,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_Id,0.00349258,0.00349258,0.88267764,0.99439454,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_Idm,-0.01127899,-0.01127899,0.86606571,0.99439454,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
