state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
STATE_A,chr20q,29,30,0.0136,0.08685,0.03099983,0.1369419,-0.8369121,0.00047427,0.0231102,-0.53103448,lower_in_core
STATE_A,chr21p,29,30,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr21q,29,30,0.01,0.02065,-0.02343731,0.02284336,-0.29737264,0.3025275,0.41013411,-0.15747126,lower_in_core
STATE_A,chr22p,29,30,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr22q,29,30,0.01843359,0.01908264,0.03443326,-0.02583836,0.60413678,0.45750723,0.54677693,0.1137931,higher_in_core
STATE_A,locus::VHL,29,30,-0.3968,-0.30385,-0.37436552,-0.26648667,-0.48789036,0.00852342,0.05966394,-0.4,lower_in_core
STATE_A,locus::SETD2,29,30,-0.3949,-0.31345,-0.37196552,-0.29200892,-0.37249697,0.01559181,0.06945443,-0.36781609,lower_in_core
STATE_A,locus::PBRM1,29,30,-0.3949,-0.304,-0.37276207,-0.28592667,-0.40027467,0.01433901,0.06945443,-0.37241379,lower_in_core
STATE_A,locus::BAP1,29,30,-0.3949,-0.304,-0.37276207,-0.28592667,-0.40027467,0.01433901,0.06945443,-0.37241379,lower_in_core
STATE_A,locus::JAK2,29,30,0.012,-0.07665,0.01792759,-0.09416051,0.59171179,0.00447096,0.03651284,0.43218391,higher_in_core
STATE_A,locus::CDKN2A,29,30,0.0118,-0.118,0.00187586,-0.18254333,0.86006844,0.00108539,0.0231102,0.49655172,higher_in_core
STATE_A,locus::PTEN,29,30,0.0016,-0.02175,-0.01635862,-0.07985222,0.47997361,0.08947205,0.15117691,0.25862069,higher_in_core
STATE_A,fga,29,30,0.08507995,0.16668258,0.14729876,0.18818407,-0.23209629,0.02633557,0.08602953,-0.33793103,lower_in_core
STATE_A,gain_burden,29,30,0.03728589,0.04798735,0.0689615,0.07738806,-0.08755936,0.36296442,0.4610828,-0.13908046,lower_in_core
STATE_A,loss_burden,29,30,0.06064833,0.09063712,0.07833726,0.11079601,-0.3414052,0.07482584,0.140347,-0.27126437,lower_in_core
STATE_B,chr1p,19,40,0.0001,0.00844306,-0.0407937,-0.03565711,-0.03596734,0.62075361,0.72421254,-0.08157895,lower_in_core
STATE_B,chr1q,19,40,0.00397365,0.01755912,0.0282017,0.00610698,0.18745139,0.44096599,0.56861404,-0.12631579,lower_in_core
STATE_B,chr2p,19,40,0.0257,0.02071831,0.04742123,0.01582346,0.34575109,0.78895693,0.87861113,0.04473684,higher_in_core
STATE_B,chr2q,19,40,0.01188578,0.01267341,0.0213424,0.01490998,0.06739323,0.92245981,0.96843248,-0.01710526,lower_in_core
STATE_B,chr3p,19,40,-0.24832336,-0.34755,-0.23803581,-0.30384815,0.33877608,0.11372747,0.23780709,0.25789474,higher_in_core
STATE_B,chr3q,19,40,0.0123,0.01899039,0.0032537,-0.00590432,0.0591446,0.96765038,0.98058682,-0.00789474,lower_in_core
STATE_B,chr4p,19,40,-0.01157361,0.01855,-0.02748478,0.02220635,-0.58481233,0.01907308,0.11682261,-0.38157895,lower_in_core
STATE_B,chr4q,19,40,-0.00789977,0.01814703,-0.03548535,0.03318016,-0.90594207,0.01061916,0.11682261,-0.41578947,lower_in_core
STATE_B,chr5p,19,40,0.16359192,0.02695,0.205937,0.07879787,0.89008638,0.01277076,0.11682261,0.40526316,higher_in_core
STATE_B,chr5q,19,40,0.137377,0.16845631,0.18648565,0.16912361,0.11385024,0.76409353,0.87071123,0.05,higher_in_core
STATE_B,chr6p,19,40,-0.02410587,0.01119465,-0.07923128,-0.01673114,-0.50275726,0.02265453,0.12334133,-0.37105263,lower_in_core
STATE_B,chr6q,19,40,-0.0209,0.00246832,-0.06571845,-0.04852919,-0.12799573,0.38545751,0.51047076,-0.14210526,lower_in_core
STATE_B,chr7p,19,40,0.11067895,0.02211921,0.14593252,0.06391208,0.64785196,0.04689886,0.13517907,0.32368421,higher_in_core
STATE_B,chr7q,19,40,0.05836683,0.01977,0.14687531,0.06072511,0.60952445,0.21460801,0.33921911,0.20263158,higher_in_core
STATE_B,chr8p,19,40,-0.0216732,0.00412349,-0.11714928,-0.04463537,-0.43554128,0.29916193,0.44421014,-0.16973684,lower_in_core
STATE_B,chr8q,19,40,0.04672001,0.01235,0.0638029,0.00618402,0.48569168,0.16544385,0.27954306,0.22631579,higher_in_core
STATE_B,chr9p,19,40,-0.06506501,0.00875538,-0.08790837,-0.03959178,-0.29358636,0.03426074,0.13441601,-0.34473684,lower_in_core
STATE_B,chr9q,19,40,-0.02665055,0.007,-0.07066735,-0.06056461,-0.06305623,0.31063816,0.44768441,-0.16578947,lower_in_core
STATE_B,chr10p,19,40,-0.0086,0.0061,-0.04847358,-0.00268042,-0.42534108,0.16544385,0.27954306,-0.22631579,lower_in_core
STATE_B,chr10q,19,40,-0.03499243,0.00205275,-0.09006817,-0.0180154,-0.63646082,0.00398394,0.06507102,-0.46842105,lower_in_core
STATE_B,chr11p,19,40,0.00928657,0.02185,0.03625673,0.0348875,0.02411664,0.85200984,0.92774405,-0.03157895,lower_in_core
STATE_B,chr11q,19,40,0.0052,0.01823109,-0.00323086,0.03203837,-0.51973599,0.23313288,0.35698472,-0.19473684,lower_in_core
STATE_B,chr12p,19,40,0.07997394,0.0206622,0.12675805,0.05166357,0.67331362,0.05769366,0.15705496,0.30921053,higher_in_core
STATE_B,chr12q,19,40,0.08866539,0.02360579,0.11430814,0.05728329,0.58339469,0.06678341,0.16361935,0.29868421,higher_in_core
STATE_B,chr13p,19,40,0.0,0.0,0.0,0.0,,,,0.0,
STATE_B,chr13q,19,40,-0.00558825,0.01158598,-0.0620985,-0.0002453,-0.61474511,0.03566139,0.13441601,-0.34210526,lower_in_core
STATE_B,chr14p,19,40,0.0,0.0,0.0,0.0,,,,0.0,
STATE_B,chr14q,19,40,-0.18974277,-0.02468595,-0.16102585,-0.1241997,-0.1812376,0.52166913,0.63904468,-0.10526316,lower_in_core
STATE_B,chr15p,19,40,0.0,0.0,0.0,0.0,,,,0.0,
STATE_B,chr15q,19,40,0.0034,0.02438543,0.00196929,0.03502866,-0.45530725,0.17815503,0.29098655,-0.21973684,lower_in_core
STATE_B,chr16p,19,40,0.0285,0.0309,0.06357236,0.07542262,-0.09876757,0.57570871,0.68804212,0.09210526,higher_in_core
STATE_B,chr16q,19,40,0.03869057,0.0305667,0.06360892,0.06388459,-0.00245049,0.49054576,0.61632672,0.11315789,higher_in_core
STATE_B,chr17p,19,40,0.00660589,0.01125,-0.01179947,0.00260124,-0.15450162,0.35936391,0.48913421,-0.15,lower_in_core
STATE_B,chr17q,19,40,0.00835104,0.01932811,0.01212047,0.01124419,0.01056151,0.3385065,0.4739091,-0.15657895,lower_in_core
STATE_B,chr18p,19,40,-0.0152,0.028,-0.05867902,0.00062428,-0.48510022,0.03425811,0.13441601,-0.34473684,lower_in_core
STATE_B,chr18q,19,40,-0.013,0.028,-0.0347155,0.00073521,-0.26007048,0.06558639,0.16361935,-0.3,lower_in_core
STATE_B,chr19p,19,40,0.0086,0.01942812,-0.00675582,0.03584997,-0.66701709,0.03860965,0.13513378,-0.33684211,lower_in_core
STATE_B,chr19q,19,40,0.02230999,0.01935,0.05370622,0.03950591,0.16968555,0.98058682,0.98058682,-0.00526316,lower_in_core
STATE_B,chr20p,19,40,0.0907,0.01800058,0.10651812,0.03210135,0.53284151,0.04512753,0.13517907,0.32631579,higher_in_core
STATE_B,chr20q,19,40,0.10386858,0.02315,0.18144013,0.03899724,1.18940215,0.00291268,0.06507102,0.48421053,higher_in_core
STATE_B,chr21p,19,40,0.0,0.0,0.0,0.0,,,,0.0,
STATE_B,chr21q,19,40,0.00963328,0.01421918,0.0156062,-0.00727248,0.14570011,0.92890462,0.96843248,-0.01578947,lower_in_core
STATE_B,chr22p,19,40,0.0,0.0,0.0,0.0,,,,0.0,
STATE_B,chr22q,19,40,0.0123,0.0205,-0.04328949,0.02614785,-0.7013096,0.10474734,0.23780709,-0.26447368,lower_in_core
STATE_B,locus::VHL,19,40,-0.2741,-0.38495,-0.25012632,-0.35247,0.45984026,0.04341901,0.13517907,0.32894737,higher_in_core
STATE_B,locus::SETD2,19,40,-0.3073,-0.38175,-0.29249303,-0.3497475,0.26412938,0.13772246,0.24994076,0.24210526,higher_in_core
STATE_B,locus::PBRM1,19,40,-0.2934,-0.38175,-0.28288947,-0.350325,0.30784536,0.11748055,0.23780709,0.25526316,higher_in_core
STATE_B,locus::BAP1,19,40,-0.2934,-0.38175,-0.28288947,-0.350325,0.30784536,0.11748055,0.23780709,0.25526316,higher_in_core
