state_id,clinical_variable,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,effect_size,direction,p_value,q_value,available_n,missing_n,level,set_count,set_total,rest_count,rest_total,set_fraction,rest_fraction,frequency_difference,odds_ratio,ci_low,ci_high
STATE_A,age,29,30,54.0,63.5,54.86206897,63.83333333,-0.79286749,-0.79286749,lower_in_core,0.00522372,0.03308356,59,0,,,,,,,,,,,
STATE_A,gender,,,,,,,,,,1.0,1.0,59,0,FEMALE,8,29,8,30,0.27586206896551724,0.26666666666666666,0.009195402298850575,1.04651163,0.34161989,3.20586308
STATE_A,gender,,,,,,,,,,1.0,1.0,59,0,MALE,21,29,22,30,0.7241379310344828,0.7333333333333333,-0.009195402298850519,0.95555556,0.31192848,2.92723004
STATE_A,stage_group,,,,,,,,,,0.00119316,0.02267004,59,0,I,24,29,12,30,0.8275862068965517,0.4,0.4275862068965517,6.59272727,2.04498057,21.2540175
STATE_A,stage_group,,,,,,,,,,0.35325602,0.55932203,59,0,II,1,29,4,30,0.034482758620689655,0.13333333333333333,-0.09885057471264368,0.30994152,0.04534372,2.11856795
STATE_A,stage_group,,,,,,,,,,0.47164456,0.66707021,59,0,III,3,29,6,30,0.10344827586206896,0.2,-0.09655172413793105,0.49782293,0.12144187,2.04071035
STATE_A,stage_group,,,,,,,,,,0.02569073,0.06973198,59,0,IV,1,29,8,30,0.034482758620689655,0.26666666666666666,-0.232183908045977,0.13931889,0.02253516,0.86130986
STATE_A,t_stage,,,,,,,,,,0.00886958,0.0421305,59,0,T1A,18,29,8,30,0.6206896551724138,0.26666666666666666,0.35402298850574715,4.25831202,1.44744594,12.52773648
STATE_A,t_stage,,,,,,,,,,0.53209247,0.6739838,59,0,T1B,7,29,5,30,0.2413793103448276,0.16666666666666666,0.07471264367816094,1.54545455,0.44822855,5.32859803
STATE_A,t_stage,,,,,,,,,,0.35325602,0.55932203,59,0,T2,1,29,4,30,0.034482758620689655,0.13333333333333333,-0.09885057471264368,0.30994152,0.04534372,2.11856795
STATE_A,t_stage,,,,,,,,,,1.0,1.0,59,0,T2B,0,29,1,30,0.0,0.03333333333333333,-0.03333333333333333,0.33333333,0.01304031,8.52058827
STATE_A,t_stage,,,,,,,,,,0.29897938,0.55932203,59,0,T3A,3,29,7,30,0.10344827586206896,0.23333333333333334,-0.1298850574712644,0.41383648,0.10359212,1.65322062
STATE_A,t_stage,,,,,,,,,,0.23728814,0.50094163,59,0,T3B,0,29,3,30,0.0,0.1,-0.1,0.13317191,0.00657451,2.69750363
STATE_A,t_stage,,,,,,,,,,0.49152542,0.66707021,59,0,T4,0,29,2,30,0.0,0.06666666666666667,-0.06666666666666667,0.19322034,0.00888249,4.20311269
