feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
original_shape_SurfaceVolumeRatio,STATE_A,STATE_B,26,28,-0.16873105,-0.29315659,-0.123314,-0.37589887,0.18131868,-0.14567308,0.47802198,0.2568254,0.5136508
original_shape_SurfaceVolumeRatio,STATE_A,STATE_C,26,17,-0.16873105,0.31658668,-0.123314,0.8621991,-0.54298643,-0.79638009,-0.22624434,0.00299364,0.0149682
original_shape_SurfaceVolumeRatio,STATE_A,STATE_D,26,15,-0.16873105,-0.0,-0.123314,-0.12471618,-0.10769231,-0.48717949,0.26166667,0.57898682,0.57898682
original_shape_SurfaceVolumeRatio,STATE_B,STATE_C,28,17,-0.29315659,0.31658668,-0.37589887,0.8621991,-0.71008403,-0.89915966,-0.45378151,7.992e-05,0.00047952
original_shape_SurfaceVolumeRatio,STATE_B,STATE_D,28,15,-0.29315659,-0.0,-0.37589887,-0.12471618,-0.26190476,-0.6,0.11916667,0.16489704,0.49469112
original_shape_SurfaceVolumeRatio,STATE_C,STATE_D,17,15,0.31658668,-0.0,0.8621991,-0.12471618,0.56078431,0.20764706,0.85882353,0.00733685,0.0293474
original_glrlm_LowGrayLevelRunEmphasis,STATE_A,STATE_B,26,28,-0.02728159,-0.06846834,-0.08151953,-0.20590594,0.06593407,-0.23626374,0.37369505,0.6841339,1.0
original_glrlm_LowGrayLevelRunEmphasis,STATE_A,STATE_C,26,17,-0.02728159,0.15569343,-0.08151953,0.69715098,-0.61085973,-0.84162896,-0.33936652,0.0008348,0.0033392
original_glrlm_LowGrayLevelRunEmphasis,STATE_A,STATE_D,26,15,-0.02728159,-0.01044642,-0.08151953,-0.25096022,0.12820513,-0.25141026,0.48205128,0.50724624,1.0
original_glrlm_LowGrayLevelRunEmphasis,STATE_B,STATE_C,28,17,-0.06846834,0.15569343,-0.20590594,0.69715098,-0.6512605,-0.8572479,-0.38644958,0.00029815,0.0017889
original_glrlm_LowGrayLevelRunEmphasis,STATE_B,STATE_D,28,15,-0.06846834,-0.01044642,-0.20590594,-0.25096022,0.0,-0.37619048,0.3572619,1.0,1.0
original_glrlm_LowGrayLevelRunEmphasis,STATE_C,STATE_D,17,15,0.15569343,-0.01044642,0.69715098,-0.25096022,0.74117647,0.45098039,0.95294118,0.00038567,0.00192835
log-sigma-2-0-mm-3D_glrlm_RunEntropy,STATE_A,STATE_B,26,28,0.1855415,0.38971605,0.17727711,0.3924268,-0.21428571,-0.51373626,0.08248626,0.17970344,0.35940688
log-sigma-2-0-mm-3D_glrlm_RunEntropy,STATE_A,STATE_C,26,17,0.1855415,-0.39625664,0.17727711,-0.94623396,0.56561086,0.28054299,0.80995475,0.00198417,0.00992085
log-sigma-2-0-mm-3D_glrlm_RunEntropy,STATE_A,STATE_D,26,15,0.1855415,0.0,0.17727711,0.16812549,0.15384615,-0.21551282,0.53846154,0.4246009,0.4246009
log-sigma-2-0-mm-3D_glrlm_RunEntropy,STATE_B,STATE_C,28,17,0.38971605,-0.39625664,0.3924268,-0.94623396,0.74789916,0.51260504,0.92436975,3.248e-05,0.00019488
log-sigma-2-0-mm-3D_glrlm_RunEntropy,STATE_B,STATE_D,28,15,0.38971605,0.0,0.3924268,0.16812549,0.36666667,0.00952381,0.69059524,0.05124761,0.15374283
log-sigma-2-0-mm-3D_glrlm_RunEntropy,STATE_C,STATE_D,17,15,-0.39625664,0.0,-0.94623396,0.16812549,-0.51764706,-0.81578431,-0.13323529,0.0133727,0.0534908
log-sigma-3-0-mm-3D_glrlm_RunEntropy,STATE_A,STATE_B,26,28,0.1145597,0.25530837,0.12609296,0.47835335,-0.24175824,-0.5220467,0.08255495,0.12982629,0.25965258
log-sigma-3-0-mm-3D_glrlm_RunEntropy,STATE_A,STATE_C,26,17,0.1145597,-0.3430384,0.12609296,-0.86024827,0.47511312,0.16730769,0.75124434,0.00943739,0.04718695
log-sigma-3-0-mm-3D_glrlm_RunEntropy,STATE_A,STATE_D,26,15,0.1145597,0.0,0.12609296,0.0160192,0.16410256,-0.19487179,0.51807692,0.39388236,0.39388236
log-sigma-3-0-mm-3D_glrlm_RunEntropy,STATE_B,STATE_C,28,17,0.25530837,-0.3430384,0.47835335,-0.86024827,0.75630252,0.5210084,0.92436975,2.644e-05,0.00015864
log-sigma-3-0-mm-3D_glrlm_RunEntropy,STATE_B,STATE_D,28,15,0.25530837,0.0,0.47835335,0.0160192,0.44285714,0.0952381,0.76190476,0.01841738,0.07366952
log-sigma-3-0-mm-3D_glrlm_RunEntropy,STATE_C,STATE_D,17,15,-0.3430384,0.0,-0.86024827,0.0160192,-0.38039216,-0.71784314,0.01960784,0.06989172,0.20967516
