feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
HALLMARK_ADIPOGENESIS,STATE_A,STATE_B,26,28,0.48216619368151575,0.4550470218844775,0.48261823234358103,0.45250839600708365,0.5521978021978022,0.30494505494505497,0.7692307692307693,0.0005184722712677208,0.003110833627606325
HALLMARK_ADIPOGENESIS,STATE_A,STATE_C,26,15,0.48216619368151575,0.4676875119715303,0.48261823234358103,0.4627543808037545,0.31794871794871793,-0.07692307692307693,0.676923076923077,0.09599342724977104,0.3839737089990842
HALLMARK_ADIPOGENESIS,STATE_A,STATE_D,26,17,0.48216619368151575,0.483331922877275,0.48261823234358103,0.4763635889988771,0.08144796380090498,-0.2895927601809955,0.45712669683257856,0.6637790658699048,0.7717909659939011
HALLMARK_ADIPOGENESIS,STATE_B,STATE_C,28,15,0.4550470218844775,0.4676875119715303,0.45250839600708365,0.4627543808037545,-0.16666666666666666,-0.5382142857142856,0.21904761904761905,0.37932461003532403,0.7717909659939011
HALLMARK_ADIPOGENESIS,STATE_B,STATE_D,28,17,0.4550470218844775,0.483331922877275,0.45250839600708365,0.4763635889988771,-0.4411764705882353,-0.7184873949579832,-0.10504201680672269,0.01442974626265631,0.07214873131328155
HALLMARK_ADIPOGENESIS,STATE_C,STATE_D,15,17,0.4676875119715303,0.483331922877275,0.4627543808037545,0.4763635889988771,-0.23921568627450981,-0.615686274509804,0.14529411764705777,0.25726365533130036,0.7717909659939011
HALLMARK_ALLOGRAFT_REJECTION,STATE_A,STATE_B,26,28,0.2006854816498786,0.28890460493174464,0.19633210766864456,0.2977286538332536,-0.6730769230769231,-0.8736263736263736,-0.4340659340659341,2.3085273762016345e-05,0.00013851164257209809
HALLMARK_ALLOGRAFT_REJECTION,STATE_A,STATE_C,26,15,0.2006854816498786,0.2571425172990691,0.19633210766864456,0.2406002434924174,-0.29743589743589743,-0.6666666666666666,0.09743589743589744,0.11962978601210197,0.35888935803630595
HALLMARK_ALLOGRAFT_REJECTION,STATE_A,STATE_D,26,17,0.2006854816498786,0.21607917859502251,0.19633210766864456,0.19673290639613894,-0.09954751131221719,-0.4751131221719457,0.29411764705882354,0.5932986970284675,0.9001920927588112
HALLMARK_ALLOGRAFT_REJECTION,STATE_B,STATE_C,28,15,0.28890460493174464,0.2571425172990691,0.2977286538332536,0.2406002434924174,0.3523809523809524,0.033214285714285724,0.6761904761904762,0.06107481628675527,0.24429926514702108
HALLMARK_ALLOGRAFT_REJECTION,STATE_B,STATE_D,28,17,0.28890460493174464,0.21607917859502251,0.2977286538332536,0.19673290639613894,0.4411764705882353,0.08392857142857144,0.731197478991596,0.01442974626265631,0.07214873131328155
HALLMARK_ALLOGRAFT_REJECTION,STATE_C,STATE_D,15,17,0.2571425172990691,0.21607917859502251,0.2406002434924174,0.19673290639613894,0.1607843137254902,-0.24705882352941178,0.5450980392156862,0.4500960463794056,0.9001920927588112
HALLMARK_ANDROGEN_RESPONSE,STATE_A,STATE_B,26,28,0.43000562483927374,0.3803729816134248,0.41211503197596205,0.36891278482627704,0.49175824175824173,0.21421703296703296,0.739010989010989,0.0020004465998616655,0.012002679599169994
HALLMARK_ANDROGEN_RESPONSE,STATE_A,STATE_C,26,15,0.43000562483927374,0.4156855825645552,0.41211503197596205,0.41168491330926266,0.06666666666666667,-0.29756410256410254,0.43602564102564034,0.7351126527359932,1.0
HALLMARK_ANDROGEN_RESPONSE,STATE_A,STATE_D,26,17,0.43000562483927374,0.41560291041862685,0.41211503197596205,0.40570009434880633,0.13122171945701358,-0.23529411764705882,0.4796380090497738,0.4789809404803861,1.0
HALLMARK_ANDROGEN_RESPONSE,STATE_B,STATE_C,28,15,0.3803729816134248,0.4156855825645552,0.36891278482627704,0.41168491330926266,-0.45714285714285713,-0.7380952380952381,-0.13333333333333333,0.014950936755892104,0.07475468377946051
HALLMARK_ANDROGEN_RESPONSE,STATE_B,STATE_D,28,17,0.3803729816134248,0.41560291041862685,0.36891278482627704,0.40570009434880633,-0.39915966386554624,-0.6848739495798319,-0.07972689075630308,0.026947343066154632,0.10778937226461853
HALLMARK_ANDROGEN_RESPONSE,STATE_C,STATE_D,15,17,0.4156855825645552,0.41560291041862685,0.41168491330926266,0.40570009434880633,0.07450980392156863,-0.34137254901960784,0.4745098039215686,0.7339584133781933,1.0
HALLMARK_DNA_REPAIR,STATE_A,STATE_B,26,28,0.29415709767356624,0.31062118109623127,0.2961810837953297,0.3167962936889346,-0.4368131868131868,-0.6895604395604396,-0.1565934065934066,0.006070868359613061,0.030354341798065305
HALLMARK_DNA_REPAIR,STATE_A,STATE_C,26,15,0.29415709767356624,0.28917097307359396,0.2961810837953297,0.28899413193545237,0.1641025641025641,-0.21025641025641026,0.5487179487179488,0.3938823607803348,1.0
HALLMARK_DNA_REPAIR,STATE_A,STATE_D,26,17,0.29415709767356624,0.2884549347903993,0.2961810837953297,0.2933710870764318,0.08597285067873303,-0.2850678733031674,0.4479638009049774,0.6458452504742075,1.0
HALLMARK_DNA_REPAIR,STATE_B,STATE_C,28,15,0.31062118109623127,0.28917097307359396,0.3167962936889346,0.28899413193545237,0.5428571428571428,0.23809523809523808,0.8142857142857143,0.003824961191685723,0.022949767150114337
HALLMARK_DNA_REPAIR,STATE_B,STATE_D,28,17,0.31062118109623127,0.2884549347903993,0.3167962936889346,0.2933710870764318,0.44537815126050423,0.11764705882352941,0.7185924369747894,0.013519096568649146,0.054076386274596586
HALLMARK_DNA_REPAIR,STATE_C,STATE_D,15,17,0.28917097307359396,0.2884549347903993,0.28899413193545237,0.2933710870764318,-0.11372549019607843,-0.5294117647058824,0.30196078431372547,0.5970285369666561,1.0
HALLMARK_HEME_METABOLISM,STATE_A,STATE_B,26,28,0.32953671665568707,0.3005319060512688,0.32467560241249765,0.29377337462318925,0.7060439560439561,0.47802197802197804,0.8818681318681318,8.97540126014308e-06,5.3852407560858474e-05
HALLMARK_HEME_METABOLISM,STATE_A,STATE_C,26,15,0.32953671665568707,0.31938369059052063,0.32467560241249765,0.3193604321633177,0.16923076923076924,-0.2205128205128205,0.5435897435897435,0.37904111960375053,0.978548769557856
HALLMARK_HEME_METABOLISM,STATE_A,STATE_D,26,17,0.32953671665568707,0.3280238659427708,0.32467560241249765,0.32503504182123844,-0.03167420814479638,-0.38020361990950224,0.34852941176470525,0.8717306569830561,0.978548769557856
HALLMARK_HEME_METABOLISM,STATE_B,STATE_C,28,15,0.3005319060512688,0.31938369059052063,0.29377337462318925,0.3193604321633177,-0.5857142857142857,-0.8428571428571429,-0.24761904761904763,0.001798778389853342,0.007195113559413368
HALLMARK_HEME_METABOLISM,STATE_B,STATE_D,28,17,0.3005319060512688,0.3280238659427708,0.29377337462318925,0.32503504182123844,-0.6386554621848739,-0.8823529411764706,-0.3319327731092437,0.0003901319491484553,0.0019506597457422765
HALLMARK_HEME_METABOLISM,STATE_C,STATE_D,15,17,0.31938369059052063,0.3280238659427708,0.3193604321633177,0.32503504182123844,-0.20784313725490197,-0.592156862745098,0.20784313725490197,0.326182923185952,0.978548769557856
HALLMARK_IL6_JAK_STAT3_SIGNALING,STATE_A,STATE_B,26,28,0.26961018094756445,0.360299196715386,0.2696302408757684,0.34182448402259213,-0.6016483516483516,-0.8351648351648352,-0.34883241758241795,0.0001551736596456094,0.0009310419578736563
HALLMARK_IL6_JAK_STAT3_SIGNALING,STATE_A,STATE_C,26,15,0.26961018094756445,0.3246584861300925,0.2696302408757684,0.3077988312412637,-0.36923076923076925,-0.7282051282051282,-0.005128205128205128,0.052958181869523405,0.21183272747809362
HALLMARK_IL6_JAK_STAT3_SIGNALING,STATE_A,STATE_D,26,17,0.26961018094756445,0.2964089869407294,0.2696302408757684,0.2617622270087787,-0.07239819004524888,-0.45701357466063347,0.34852941176470525,0.7002215740699657,0.7295479329391739
HALLMARK_IL6_JAK_STAT3_SIGNALING,STATE_B,STATE_C,28,15,0.360299196715386,0.3246584861300925,0.34182448402259213,0.3077988312412637,0.319047619047619,-0.04285714285714286,0.6428571428571429,0.09015571005400386,0.27046713016201157
HALLMARK_IL6_JAK_STAT3_SIGNALING,STATE_B,STATE_D,28,17,0.360299196715386,0.2964089869407294,0.34182448402259213,0.2617622270087787,0.4789915966386555,0.16376050420168067,0.7352941176470589,0.007882150592652631,0.03941075296326316
HALLMARK_IL6_JAK_STAT3_SIGNALING,STATE_C,STATE_D,15,17,0.3246584861300925,0.2964089869407294,0.3077988312412637,0.2617622270087787,0.19215686274509805,-0.21568627450980393,0.5686274509803921,0.36477396646958693,0.7295479329391739
HALLMARK_PANCREAS_BETA_CELLS,STATE_A,STATE_B,26,28,0.35320083155353443,0.20689957277586574,0.3468727848292084,0.20504252041149323,0.7692307692307693,0.5905906593406594,0.9176510989010985,1.307152848877097e-06,7.842917093262582e-06
HALLMARK_PANCREAS_BETA_CELLS,STATE_A,STATE_C,26,15,0.35320083155353443,0.27968799555151896,0.3468727848292084,0.2683292095955601,0.4256410256410256,0.06153846153846154,0.7282051282051282,0.025549317416274246,0.10219726966509698
HALLMARK_PANCREAS_BETA_CELLS,STATE_A,STATE_D,26,17,0.35320083155353443,0.2600119527689495,0.3468727848292084,0.25705367415058483,0.579185520361991,0.27601809954751133,0.8191176470588228,0.0015396134530931103,0.007698067265465552
HALLMARK_PANCREAS_BETA_CELLS,STATE_B,STATE_C,28,15,0.20689957277586574,0.27968799555151896,0.20504252041149323,0.2683292095955601,-0.34285714285714286,-0.680952380952381,0.00011904761904696942,0.06845669882557134,0.1369133976511427
HALLMARK_PANCREAS_BETA_CELLS,STATE_B,STATE_D,28,17,0.20689957277586574,0.2600119527689495,0.20504252041149323,0.25705367415058483,-0.37815126050420167,-0.6932773109243697,-0.06302521008403361,0.03615073925253112,0.10845221775759337
HALLMARK_PANCREAS_BETA_CELLS,STATE_C,STATE_D,15,17,0.27968799555151896,0.2600119527689495,0.2683292095955601,0.25705367415058483,0.058823529411764705,-0.3649019607843137,0.4823529411764706,0.7915185421173553,0.7915185421173553
HALLMARK_TGF_BETA_SIGNALING,STATE_A,STATE_B,26,28,0.4955950533996233,0.46014819942103813,0.4875258949215485,0.4466921305909167,0.4230769230769231,0.12912087912087913,0.6868818681318678,0.007875304203972543,0.03937652101986272
HALLMARK_TGF_BETA_SIGNALING,STATE_A,STATE_C,26,15,0.4955950533996233,0.4963989221961859,0.4875258949215485,0.49054727373862744,-0.06153846153846154,-0.441025641025641,0.3076923076923077,0.7555985050171168,1.0
HALLMARK_TGF_BETA_SIGNALING,STATE_A,STATE_D,26,17,0.4955950533996233,0.4608345708058278,0.4875258949215485,0.44986439060031175,0.4072398190045249,0.06776018099547511,0.7195701357466057,0.026203127105348032,0.0938631662124769
HALLMARK_TGF_BETA_SIGNALING,STATE_B,STATE_C,28,15,0.46014819942103813,0.4963989221961859,0.4466921305909167,0.49054727373862744,-0.5238095238095238,-0.8048809523809524,-0.1761904761904762,0.005265623464192284,0.0315937407851537
HALLMARK_TGF_BETA_SIGNALING,STATE_B,STATE_D,28,17,0.46014819942103813,0.4608345708058278,0.4466921305909167,0.44986439060031175,-0.1092436974789916,-0.45388655462184874,0.2689075630252101,0.5505311687959837,1.0
HALLMARK_TGF_BETA_SIGNALING,STATE_C,STATE_D,15,17,0.4963989221961859,0.4608345708058278,0.49054727373862744,0.44986439060031175,0.4745098039215686,0.09803921568627451,0.796078431372549,0.023465791553119224,0.0938631662124769
