feature,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::BAP1,STATE_A,STATE_B,26,28,0,0,0.038461538461538464,0.39285714285714285,-0.35439560439560436,0.08951407,0.0146932,0.5453387,0.00237529,0.01425174
mutation::BAP1,STATE_A,STATE_C,26,17,0,0,0.038461538461538464,0.0,0.038461538461538464,2.05882353,0.0791947,53.5232065,1.0,1.0
mutation::BAP1,STATE_A,STATE_D,26,15,0,0,0.038461538461538464,0.0,0.038461538461538464,1.82352941,0.06983982,47.61265635,1.0,1.0
mutation::BAP1,STATE_B,STATE_C,28,17,0,0,0.39285714285714285,0.0,0.39285714285714285,23.0,1.25548727,421.35034967,0.00307571,0.01537855
mutation::BAP1,STATE_B,STATE_D,28,15,0,0,0.39285714285714285,0.0,0.39285714285714285,20.37142857,1.10660494,375.01649304,0.0077421,0.0309684
mutation::BAP1,STATE_C,STATE_D,17,15,0,0,0.0,0.0,0.0,0.88571429,0.01656394,47.36130444,1.0,1.0
mutation::PBRM1,STATE_A,STATE_B,26,28,0,0,0.8461538461538461,0.35714285714285715,0.489010989010989,8.80952381,2.48863396,31.18486324,0.00031956,0.00127824
mutation::PBRM1,STATE_A,STATE_C,26,17,0,0,0.8461538461538461,0.0,0.8461538461538461,175.0,8.81939143,3472.46181956,1e-08,6e-08
mutation::PBRM1,STATE_A,STATE_D,26,15,0,0,0.8461538461538461,0.06666666666666667,0.7794871794871795,48.33333333,6.79284514,343.90760599,1.12e-06,5.6e-06
mutation::PBRM1,STATE_B,STATE_C,28,17,0,0,0.35714285714285715,0.0,0.35714285714285715,19.86486486,1.08064077,365.16561844,0.0072135,0.0216405
mutation::PBRM1,STATE_B,STATE_D,28,15,0,0,0.35714285714285715,0.06666666666666667,0.2904761904761905,5.48648649,0.86806203,34.67670852,0.06487058,0.12974116
mutation::PBRM1,STATE_C,STATE_D,17,15,0,0,0.0,0.06666666666666667,-0.06666666666666667,0.27619048,0.01043972,7.30682371,0.46875,0.46875
mutation::VHL,STATE_A,STATE_B,26,28,0,0,0.7307692307692307,0.5,0.23076923076923073,2.6,0.85416176,7.91419183,0.1005203,0.1005203
mutation::VHL,STATE_A,STATE_C,26,17,0,0,0.7307692307692307,0.0,0.7307692307692307,91.0,4.83677928,1712.08970158,8.8e-07,4.4e-06
mutation::VHL,STATE_A,STATE_D,26,15,0,0,0.7307692307692307,1.0,-0.2692307692307693,0.08387097,0.00443642,1.58559031,0.03533347,0.07066694
mutation::VHL,STATE_B,STATE_C,28,17,0,0,0.5,0.0,0.5,35.0,1.91832966,638.57637619,0.00025482,0.00101928
mutation::VHL,STATE_B,STATE_D,28,15,0,0,0.5,1.0,-0.5,0.03225806,0.00175945,0.59142466,0.00057111,0.00171333
mutation::VHL,STATE_C,STATE_D,17,15,0,0,0.0,1.0,-1.0,0.00092166,1.724e-05,0.04928336,0.0,0.0
