model,covariate,status,hazard_ratio,ci_low,ci_high,p_value,reference_state,adjustment,available_n,events,analysis_role
state_plus_stage,stage_number,estimable,1.51740623,1.0851845,2.12177898,0.01477312,,"stage_group ordinal I=1, II=2, III=3, IV=4",86,18,secondary_exploratory
state_plus_stage,state_STATE_B,estimable,2.2035296,0.95008783,5.11062509,0.06566896,STATE_A,"stage_group ordinal I=1, II=2, III=3, IV=4",86,18,secondary_exploratory
state_plus_stage,state_STATE_C,estimable,0.85570262,0.24056894,3.04373025,0.80978904,STATE_A,"stage_group ordinal I=1, II=2, III=3, IV=4",86,18,secondary_exploratory
state_plus_stage,state_STATE_D,estimable,0.96612962,0.25143773,3.71227681,0.95998631,STATE_A,"stage_group ordinal I=1, II=2, III=3, IV=4",86,18,secondary_exploratory
