modality,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permdisp_comparison_status,permdisp_not_estimable_reason,permdisp_permdisp_f,permdisp_permdisp_p_value,permdisp_permutations,permdisp_negative_eigenvalue_count,permdisp_negative_eigenvalue_sum,permdisp_negative_eigenvalue_fraction,permdisp_limitations
ct,estimable,,86,4,0.039675,1.129261,0.0373,9999,estimable,,4.254622,0.3375,9999,0,0.0,0.0,[]
wsi,estimable,,86,4,0.045679,1.308317,0.0001,9999,estimable,,4.01671,0.3963,9999,0,0.0,0.0,[]
rna,estimable,,86,4,0.062503,1.822316,0.0001,9999,estimable,,1.310926,0.9978,9999,1,0.012947,0.000329,['Negative PCoA eigenvalues were discarded; PERMDISP is an approximate diagnostic.']
wxs,estimable,,86,4,0.230302,8.178426,0.0001,9999,estimable,,15.91483,0.0001,9999,0,0.0,0.0,[]
