feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
original_glcm_JointEntropy,4,86,26;28;17;15,estimable,,8.90033617,0.03064574,0.07852537,0.07195532
original_glcm_MCC,4,86,26;28;17;15,estimable,,6.0949208,0.10708235,0.19365933,0.03774294
original_glcm_MaximumProbability,4,86,26;28;17;15,estimable,,8.38215065,0.03874002,0.09373923,0.06563598
original_glcm_SumAverage,4,86,26;28;17;15,estimable,,11.92556241,0.00764255,0.02975748,0.10884832
original_glcm_SumEntropy,4,86,26;28;17;15,estimable,,9.63271166,0.02196065,0.06023188,0.08088673
original_glcm_SumSquares,4,86,26;28;17;15,estimable,,9.79222848,0.0204174,0.05732322,0.08283205
original_glrlm_GrayLevelNonUniformity,4,86,26;28;17;15,estimable,,19.25145956,0.00024254,0.00338358,0.19818853
original_glrlm_GrayLevelNonUniformityNormalized,4,86,26;28;17;15,estimable,,10.12352919,0.01754476,0.05149501,0.08687231
original_glrlm_GrayLevelVariance,4,86,26;28;17;15,estimable,,11.74743587,0.00830037,0.03179464,0.10667605
original_glrlm_HighGrayLevelRunEmphasis,4,86,26;28;17;15,estimable,,12.48170974,0.00590267,0.02488812,0.11563061
original_glrlm_LongRunEmphasis,4,86,26;28;17;15,estimable,,1.59732771,0.65999589,0.72548186,0.0
original_glrlm_LongRunHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,2.42891623,0.48827457,0.58140175,0.0
original_glrlm_LongRunLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,7.61238067,0.05474015,0.11804651,0.05624854
original_glrlm_LowGrayLevelRunEmphasis,4,86,26;28;17;15,estimable,,11.26923331,0.01035565,0.03611693,0.10084431
original_glrlm_RunEntropy,4,86,26;28;17;15,estimable,,6.76017377,0.07994768,0.15576014,0.04585578
original_glrlm_RunLengthNonUniformity,4,86,26;28;17;15,estimable,,22.60818454,4.873e-05,0.00296731,0.2391242
original_glrlm_RunLengthNonUniformityNormalized,4,86,26;28;17;15,estimable,,1.37124199,0.71228939,0.76784395,0.0
original_glrlm_RunPercentage,4,86,26;28;17;15,estimable,,1.30203584,0.7286497,0.78058405,0.0
original_glrlm_RunVariance,4,86,26;28;17;15,estimable,,1.44011904,0.69615813,0.75640258,0.0
original_glrlm_ShortRunEmphasis,4,86,26;28;17;15,estimable,,1.64772989,0.64861645,0.71575839,0.0
original_glrlm_ShortRunHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,10.98488865,0.01180787,0.03935957,0.09737669
original_glrlm_ShortRunLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,11.03299335,0.0115488,0.03861197,0.09796333
original_glszm_GrayLevelNonUniformity,4,86,26;28;17;15,estimable,,20.95067659,0.00010779,0.00296731,0.21891069
original_glszm_GrayLevelNonUniformityNormalized,4,86,26;28;17;15,estimable,,11.82803775,0.00799606,0.03094366,0.107659
original_glszm_GrayLevelVariance,4,86,26;28;17;15,estimable,,11.3186856,0.01012173,0.03574236,0.10144739
original_glszm_HighGrayLevelZoneEmphasis,4,86,26;28;17;15,estimable,,7.9185798,0.04772473,0.10678999,0.05998268
original_glszm_LargeAreaEmphasis,4,86,26;28;17;15,estimable,,11.30280615,0.01019627,0.03578194,0.10125373
original_glszm_LargeAreaHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,14.78853963,0.00200657,0.0131065,0.14376268
original_glszm_LargeAreaLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,9.3163715,0.02536728,0.06685648,0.07702892
original_glszm_LowGrayLevelZoneEmphasis,4,86,26;28;17;15,estimable,,9.67463886,0.02154427,0.05937811,0.08139803
original_glszm_SizeZoneNonUniformity,4,86,26;28;17;15,estimable,,21.63307572,7.776e-05,0.00296731,0.22723263
original_glszm_SizeZoneNonUniformityNormalized,4,86,26;28;17;15,estimable,,4.43456871,0.21820139,0.31403668,0.01749474
original_glszm_SmallAreaEmphasis,4,86,26;28;17;15,estimable,,6.28828504,0.09839658,0.18210444,0.04010104
original_glszm_SmallAreaHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,8.69918418,0.03356966,0.08334464,0.06950225
original_glszm_SmallAreaLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,11.34624451,0.00999363,0.03540063,0.10178347
original_glszm_ZoneEntropy,4,86,26;28;17;15,estimable,,1.31666643,0.72517932,0.77820763,0.0
original_glszm_ZonePercentage,4,86,26;28;17;15,estimable,,1.32875307,0.72231696,0.77587278,0.0
original_glszm_ZoneVariance,4,86,26;28;17;15,estimable,,11.30555301,0.01018333,0.03578194,0.10128723
original_gldm_DependenceEntropy,4,86,26;28;17;15,estimable,,7.82204876,0.04983621,0.11042141,0.05880547
original_gldm_DependenceNonUniformity,4,86,26;28;17;15,estimable,,21.42827927,8.577e-05,0.00296731,0.22473511
original_gldm_DependenceNonUniformityNormalized,4,86,26;28;17;15,estimable,,1.68555826,0.64014928,0.70710527,0.0
original_gldm_DependenceVariance,4,86,26;28;17;15,estimable,,1.84969102,0.60418177,0.67730694,0.0
original_gldm_GrayLevelNonUniformity,4,86,26;28;17;15,estimable,,16.99302775,0.00070908,0.00715411,0.17064668
original_gldm_GrayLevelVariance,4,86,26;28;17;15,estimable,,10.7854344,0.01294454,0.04138239,0.09494432
original_gldm_HighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,12.68783266,0.0053627,0.02304126,0.1181443
original_gldm_LargeDependenceEmphasis,4,86,26;28;17;15,estimable,,1.27806467,0.73434831,0.78506489,0.0
original_gldm_LargeDependenceHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,5.22078341,0.15632602,0.24838737,0.02708272
original_gldm_LargeDependenceLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,7.12614197,0.06798405,0.13794768,0.0503188
original_gldm_LowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,10.69020987,0.01352458,0.04245215,0.09378305
original_gldm_SmallDependenceEmphasis,4,86,26;28;17;15,estimable,,1.82300122,0.60994245,0.68106222,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,7.09600759,0.06889983,0.13927873,0.04995131
original_gldm_SmallDependenceLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,10.73296662,0.01326104,0.04174088,0.09430447
original_ngtdm_Busyness,4,86,26;28;17;15,estimable,,18.02650745,0.00043435,0.00516648,0.18325009
original_ngtdm_Coarseness,4,86,26;28;17;15,estimable,,19.59633855,0.00020578,0.0033442,0.20239437
original_ngtdm_Complexity,4,86,26;28;17;15,estimable,,7.53063715,0.05677646,0.12128053,0.05525167
original_ngtdm_Contrast,4,86,26;28;17;15,estimable,,4.34399845,0.22663454,0.32411816,0.01639022
original_ngtdm_Strength,4,86,26;28;17;15,estimable,,18.93214778,0.00028237,0.0037582,0.19429449
log-sigma-1-0-mm-3D_firstorder_10Percentile,4,86,26;28;17;15,estimable,,7.17216636,0.06660807,0.13610691,0.05088008
log-sigma-1-0-mm-3D_firstorder_90Percentile,4,86,26;28;17;15,estimable,,4.20875734,0.23978657,0.34040053,0.01474094
log-sigma-1-0-mm-3D_firstorder_Energy,4,86,26;28;17;15,estimable,,20.12556465,0.00015987,0.00296731,0.20884835
log-sigma-1-0-mm-3D_firstorder_Entropy,4,86,26;28;17;15,estimable,,8.34962457,0.03931252,0.09431666,0.06523932
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,4,86,26;28;17;15,estimable,,5.54732717,0.13583517,0.22539463,0.03106497
log-sigma-1-0-mm-3D_firstorder_Kurtosis,4,86,26;28;17;15,estimable,,0.73495557,0.86495285,0.89834257,0.0
log-sigma-1-0-mm-3D_firstorder_Maximum,4,86,26;28;17;15,estimable,,8.93227094,0.03020507,0.07757211,0.07234477
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,4,86,26;28;17;15,estimable,,6.35611964,0.09551281,0.17810144,0.04092829
log-sigma-1-0-mm-3D_firstorder_Mean,4,86,26;28;17;15,estimable,,11.50122262,0.00930253,0.03390922,0.10367345
log-sigma-1-0-mm-3D_firstorder_Median,4,86,26;28;17;15,estimable,,8.38869971,0.03862574,0.09366328,0.06571585
log-sigma-1-0-mm-3D_firstorder_Minimum,4,86,26;28;17;15,estimable,,3.98922824,0.26262964,0.36245694,0.01206376
log-sigma-1-0-mm-3D_firstorder_Range,4,86,26;28;17;15,estimable,,6.4737983,0.09070158,0.17137299,0.04236339
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,4,86,26;28;17;15,estimable,,6.14206878,0.10489918,0.19057247,0.03831791
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,4,86,26;28;17;15,estimable,,5.87979024,0.11760743,0.20497685,0.03511939
log-sigma-1-0-mm-3D_firstorder_Skewness,4,86,26;28;17;15,estimable,,3.90783517,0.27158979,0.37199571,0.01107116
log-sigma-1-0-mm-3D_firstorder_TotalEnergy,4,86,26;28;17;15,estimable,,20.12556465,0.00015987,0.00296731,0.20884835
log-sigma-1-0-mm-3D_firstorder_Uniformity,4,86,26;28;17;15,estimable,,8.70258337,0.03351806,0.08334464,0.0695437
log-sigma-1-0-mm-3D_firstorder_Variance,4,86,26;28;17;15,estimable,,6.21334231,0.10167963,0.1865227,0.0391871
log-sigma-1-0-mm-3D_glcm_Autocorrelation,4,86,26;28;17;15,estimable,,3.16192868,0.36732646,0.470611,0.00197474
