group_a,group_b,n_a,n_b,events_a,events_b,p_value,p_adjusted_holm
STATE_A,STATE_B,26,28,3,13,0.009226952003631427,0.055361712021788564
STATE_A,STATE_C,26,17,3,1,0.8979228486591684,1.0
STATE_A,STATE_D,26,15,3,1,0.9525913126709836,1.0
STATE_B,STATE_C,28,17,13,1,0.05788820802137227,0.28944104010686134
STATE_B,STATE_D,28,15,13,1,0.09871766465119945,0.3948706586047978
STATE_C,STATE_D,17,15,1,1,0.9623594719970237,1.0
