empty_mutation_distance,full_snf_affinity_correlation_vs_0_5,full_snf_max_absolute_delta_vs_0_5,full_snf_mean_absolute_delta_vs_0_5,patient_count
0.5,1.0,0.0,0.0,102
1.0,0.99758362746215,0.00032826775934088545,1.8887433614734234e-05,102
