case_id,columns,error,exists,file_path,invalid_segment_mean_count,required_columns_present,segment_count,segment_mean_max,segment_mean_median,segment_mean_min
TCGA-B0-5698,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/ffb7c9e0-fc4f-4aba-bd19-3625c8a2b833/BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_A11_777506.nocnv_grch38.seg.v2.txt,0,True,37,0.4305,-0.0005,-2.2251
TCGA-B0-5702,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/3c47f61a-a4f4-4bd2-989a-5132da9d9d1f/SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_H04_748594.nocnv_grch38.seg.v2.txt,0,True,80,0.3141,-0.0081,-4.1339
TCGA-B0-5703,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/16b52adf-d131-4f40-8503-8dbbe69af382/SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_F07_748586.nocnv_grch38.seg.v2.txt,0,True,139,1.6199,0.0548,-4.4057
TCGA-B0-5706,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/6b4dec7d-2599-41e7-980e-660e43758f14/SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_G10_748600.nocnv_grch38.seg.v2.txt,0,True,67,1.4611,0.0258,-2.8546
TCGA-B0-5707,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/397d3fd4-c207-4fc9-a635-f1569d7f81fc/SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_D01_748566.nocnv_grch38.seg.v2.txt,0,True,38,3.3256,-0.06595,-4.1356
TCGA-B0-5709,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/8d1624d9-2ef1-411f-970b-061bdac8167f/SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_G11_748592.nocnv_grch38.seg.v2.txt,0,True,92,1.1079,0.03025,-1.5722
TCGA-B0-5711,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/342695d8-c280-46a1-b45f-728bba05db52/BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_C07_777390.nocnv_grch38.seg.v2.txt,0,True,55,0.5334,0.0161,-3.0032
TCGA-B0-5712,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/5b12a309-812b-4602-beee-b74613ea4b01/BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_A12_777386.nocnv_grch38.seg.v2.txt,0,True,123,1.6376,0.0189,-4.4223
TCGA-B0-5812,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/5ad2a14c-448d-4a36-b56c-d887b58abb57/BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D02_777404.nocnv_grch38.seg.v2.txt,0,True,86,0.3413,-0.0015999999999999999,-2.0125
TCGA-B8-4143,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/db88e366-ec81-4a7e-81c6-ec3a391bcef7/SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_C11_680108.nocnv_grch38.seg.v2.txt,0,True,1832,5.2284,0.20985,-3.8728
TCGA-B8-4146,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/72679072-dcf5-4583-aba3-fc4511226c1d/BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D03_777460.nocnv_grch38.seg.v2.txt,0,True,73,0.4659,0.0205,-3.2083
TCGA-B8-4148,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/62bd4566-a418-4610-8973-24b35928a829/DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H02_729470.nocnv_grch38.seg.v2.txt,0,True,64,0.095,0.03025,-3.4924
TCGA-B8-4151,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/8625aaa4-5c22-41b5-b47f-f2717d3190d0/SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F04_680074.nocnv_grch38.seg.v2.txt,0,True,88,1.9377,0.05475,-2.2306
TCGA-B8-4153,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/560848ec-f983-4d7c-9b21-152022ee83b1/BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_F02_777474.nocnv_grch38.seg.v2.txt,0,True,66,0.0488,0.0114,-2.7512
TCGA-B8-4619,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/0263a846-7a22-4428-8a80-fb5227030a36/DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F05_729400.nocnv_grch38.seg.v2.txt,0,True,113,1.4799,0.0514,-6.0225
TCGA-B8-4620,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/451cc11f-6f50-48f6-919b-eb0bdc036f59/DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H01_729512.nocnv_grch38.seg.v2.txt,0,True,153,1.2815,-0.3731,-5.3681
TCGA-B8-4622,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/ff8dd0cc-5b87-42bd-a820-a73ecb6d35a9/PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D04_697376.nocnv_grch38.seg.v2.txt,0,True,105,3.2229,-0.0087,-4.5335
TCGA-B8-5158,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/95638e99-5bd4-4264-906c-f1201566061b/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E04_730526.nocnv_grch38.seg.v2.txt,0,True,74,0.6641,0.0332,-1.9844
TCGA-B8-5159,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/9a80ba54-e275-4183-a326-54633ccca229/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C05_730652.nocnv_grch38.seg.v2.txt,0,True,138,1.8429,-0.01595,-4.6938
TCGA-B8-5162,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/229c4d1b-767b-42ea-8a67-020a2ee40329/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C08_730700.nocnv_grch38.seg.v2.txt,0,True,55,0.059,0.0389,-3.732
TCGA-B8-5163,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/a293a96e-00a0-4f6c-889d-430699933f07/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F06_730644.nocnv_grch38.seg.v2.txt,0,True,149,1.7487,-0.0032,-3.1316
TCGA-B8-5164,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/52f4d10f-c3ae-4117-a755-56c602ca2a41/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F12_730524.nocnv_grch38.seg.v2.txt,0,True,79,0.0821,0.038,-5.6823
TCGA-B8-5165,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/4e463698-78f2-4108-928e-60ebf5c5f529/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_H08_730696.nocnv_grch38.seg.v2.txt,0,True,49,0.4693,0.0031,-1.8261
TCGA-B8-5545,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/4f0efe0c-f1f0-4a15-9dcc-2c0ec52b20ee/BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_A05_777482.nocnv_grch38.seg.v2.txt,0,True,63,1.0831,0.0122,-2.872
TCGA-B8-5546,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/7eb35875-0a86-4de3-b9b8-1c2fd1ed7e9c/SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A07_748558.nocnv_grch38.seg.v2.txt,0,True,57,1.621,0.0104,-2.8513
TCGA-B8-5549,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/c1286dcb-2b3d-4ed5-bb5c-667a1c81d8df/SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A08_748532.nocnv_grch38.seg.v2.txt,0,True,168,1.3348,0.14275,-2.5298
TCGA-B8-5550,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/ad6ecd08-3949-4a51-995f-1d4dc6e17059/SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_D08_748474.nocnv_grch38.seg.v2.txt,0,True,163,1.0495,-0.0325,-1.7063
