state_id,clinical_variable,set_n,rest_n,set_events,rest_events,set_median_time,rest_median_time,p_value,q_value
STATE_A,overall_survival,17,52,0,15,1126.0,1254.5,0.01514621,0.06058484
STATE_B,overall_survival,14,55,3,12,521.0,1291.0,0.3856243,0.39401568
STATE_C,overall_survival,14,55,4,11,1221.5,1133.0,0.39401568,0.39401568
STATE_D,overall_survival,24,45,8,7,1440.0,967.0,0.33956332,0.39401568
