modality,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,q_value
ct,estimable,,77,4,0.044486,1.132903,0.005,999,0.005
wsi,estimable,,77,4,0.058728,1.518206,0.001,999,0.0012
rna,estimable,,77,4,0.077457,2.043034,0.001,999,0.0012
wxs,estimable,,77,4,0.115847,3.188284,0.001,999,0.0012
cnv,estimable,,77,4,0.063268,1.643516,0.001,999,0.0012
fused,estimable,,77,4,0.040383,1.024018,0.001,999,0.0012
