state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,effect_size,feature_family,medical_imaging_domain,interpretation,significant_fdr
STATE_A,log-sigma-1-0-mm-3D_firstorder_10Percentile,17,52,-22.2585001,-17.89658947,-22.11445195,-17.50975775,-0.8547117,0.00352936,0.06442501,-0.8547117,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_90Percentile,17,52,15.04531536,14.01823339,15.0504063,12.60059871,0.61441038,0.07581201,0.17773355,0.61441038,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Energy,17,52,9923924.91858877,22147700.91700948,25882788.92323961,40864452.95259689,-0.27025335,0.10473095,0.22715158,-0.27025335,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Entropy,17,52,1.4847149,1.31591118,1.46505856,1.30123354,0.78415496,0.00734711,0.06442501,0.78415496,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_InterquartileRange,17,52,18.97925448,15.47835052,18.72675274,15.29943575,0.75484284,0.00734711,0.06442501,0.75484284,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Kurtosis,17,52,3.50093433,3.81227137,3.63843778,4.0783794,-0.51034032,0.03369845,0.10607033,-0.51034032,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Maximum,17,52,62.85946274,60.01074028,61.93882572,61.04112684,0.05751139,0.89475201,0.9241954,0.05751139,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Mean,17,52,-2.64285772,-2.04574335,-2.87883412,-2.13764931,-0.54950204,0.03035412,0.1020838,-0.54950204,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,17,52,12.08193689,9.85001613,11.57368162,9.46698424,0.77219606,0.00501578,0.06442501,0.77219606,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Median,17,52,-2.21556592,-1.52948546,-2.0860523,-1.62770273,-0.43456577,0.07132987,0.17040751,-0.43456577,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Minimum,17,52,-72.12586975,-78.57204819,-77.92433301,-81.05144677,0.10797324,0.82910656,0.87152597,0.10797324,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
STATE_A,log-sigma-1-0-mm-3D_firstorder_Range,17,52,138.50124741,142.45456314,139.86315873,142.09257361,-0.05606007,0.81826799,0.86334531,-0.05606007,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
