model,group_count,patient_count,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,q_value,permdisp_comparison_status,permdisp_not_estimable_reason,permdisp_permdisp_f,permdisp_permdisp_p_value,permdisp_permutations,permdisp_negative_eigenvalue_count,permdisp_negative_eigenvalue_sum,permdisp_negative_eigenvalue_fraction,permdisp_limitations,permdisp_q_value
six_core,6,69,estimable,,69,6,0.074768,1.018211,0.001,999,0.001,estimable,,15364.951724,1.0,999,0,0.0,0.0,[],1.0
four_macro_state,4,69,estimable,,69,4,0.045148,1.024458,0.001,999,0.001,estimable,,5257.357286,1.0,999,0,0.0,0.0,[],1.0
