state_id,clinical_variable,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,effect_size,direction,p_value,q_value,available_n,missing_n,level,set_count,set_total,rest_count,rest_total,set_fraction,rest_fraction,frequency_difference,odds_ratio,ci_low,ci_high
STATE_A,age,17,52,56.0,58.0,58.29411765,58.03846154,0.02238727,0.02238727,higher_in_core,1.0,1.0,69,0,,,,,,,,,,,
STATE_A,gender,,,,,,,,,,0.12168962,0.34768463,69,0,FEMALE,2,17,18,52,0.11764705882352941,0.34615384615384615,-0.22850678733031674,0.30078466,0.07053107,1.28271717
STATE_A,gender,,,,,,,,,,0.12168962,0.34768463,69,0,MALE,15,17,34,52,0.8823529411764706,0.6538461538461539,0.2285067873303167,3.32463768,0.77959508,14.17814959
STATE_A,stage_group,,,,,,,,,,0.00065153,0.0065153,69,0,I,15,17,21,52,0.8823529411764706,0.40384615384615385,0.4785067873303167,9.08372093,2.14360613,38.49307245
STATE_A,stage_group,,,,,,,,,,0.67238904,0.96055577,69,0,II,1,17,6,52,0.058823529411764705,0.11538461538461539,-0.056561085972850686,0.65034965,0.10102641,4.18657526
STATE_A,stage_group,,,,,,,,,,0.01508774,0.0754387,69,0,III,0,17,14,52,0.0,0.2692307692307692,-0.2692307692307692,0.07586207,0.00427849,1.34511179
STATE_A,stage_group,,,,,,,,,,0.26894223,0.48898587,69,0,IV,1,17,11,52,0.058823529411764705,0.21153846153846154,-0.15271493212669685,0.32806324,0.05452329,1.97393607
STATE_A,t_stage,,,,,,,,,,1.0,1.0,69,0,T1,0,17,1,52,0.0,0.019230769230769232,-0.019230769230769232,0.98095238,0.03817713,25.20534002
STATE_A,t_stage,,,,,,,,,,9.136e-05,0.0018272,69,0,T1A,12,17,9,52,0.7058823529411765,0.17307692307692307,0.5328054298642535,10.40669856,3.05971105,35.39529493
STATE_A,t_stage,,,,,,,,,,0.7432679,0.99102387,69,0,T1B,3,17,13,52,0.17647058823529413,0.25,-0.07352941176470587,0.70625798,0.1885267,2.64578083
STATE_A,t_stage,,,,,,,,,,0.43466877,0.66872118,69,0,T2,1,17,8,52,0.058823529411764705,0.15384615384615385,-0.09502262443438915,0.47593583,0.07669674,2.95338368
STATE_A,t_stage,,,,,,,,,,1.0,1.0,69,0,T2B,0,17,1,52,0.0,0.019230769230769232,-0.019230769230769232,0.98095238,0.03817713,25.20534002
STATE_A,t_stage,,,,,,,,,,0.0302708,0.1210832,69,0,T3A,1,17,17,52,0.058823529411764705,0.3269230769230769,-0.2680995475113122,0.18441558,0.03151236,1.07923088
STATE_A,t_stage,,,,,,,,,,1.0,1.0,69,0,T3B,0,17,2,52,0.0,0.038461538461538464,-0.038461538461538464,0.57714286,0.02640044,12.61698364
STATE_A,t_stage,,,,,,,,,,1.0,1.0,69,0,T4,0,17,1,52,0.0,0.019230769230769232,-0.019230769230769232,0.98095238,0.03817713,25.20534002
STATE_A,m_stage,,,,,,,,,,0.26271493,0.48898587,65,4,M0,16,17,38,48,0.9411764705882353,0.7916666666666666,0.14950980392156865,3.0,0.49321645,18.2475667
STATE_A,m_stage,,,,,,,,,,0.26271493,0.48898587,65,4,M1,1,17,10,48,0.058823529411764705,0.20833333333333334,-0.14950980392156865,0.33333333,0.05480183,2.02750741
STATE_A,grade,,,,,,,,,,0.25083728,0.48898587,69,0,G2,8,17,16,52,0.47058823529411764,0.3076923076923077,0.16289592760180993,1.97926635,0.66354253,5.90390988
STATE_A,grade,,,,,,,,,,0.40822473,0.66872118,69,0,G3,9,17,21,52,0.5294117647058824,0.40384615384615385,0.1255656108597285,1.6374829,0.55852074,4.80080698
STATE_A,grade,,,,,,,,,,0.01461097,0.0754387,69,0,G4,0,17,15,52,0.0,0.28846153846153844,-0.28846153846153844,0.06912442,0.0039083,1.22257308
STATE_B,age,14,55,58.5,57.0,57.64285714,58.21818182,-0.05038822,-0.05038822,lower_in_core,0.92861733,1.0,69,0,,,,,,,,,,,
STATE_B,gender,,,,,,,,,,0.20821278,0.66081278,69,0,FEMALE,6,14,14,55,0.42857142857142855,0.2545454545454545,0.17402597402597403,2.18864097,0.67022899,7.14703386
STATE_B,gender,,,,,,,,,,0.20821278,0.66081278,69,0,MALE,8,14,41,55,0.5714285714285714,0.7454545454545455,-0.17402597402597408,0.45690454,0.13991818,1.49202737
STATE_B,stage_group,,,,,,,,,,0.37762839,0.68659707,69,0,I,9,14,27,55,0.6428571428571429,0.4909090909090909,0.151948051948052,1.79008264,0.55358545,5.78843953
STATE_B,stage_group,,,,,,,,,,0.33040639,0.66081278,69,0,II,0,14,7,55,0.0,0.12727272727272726,-0.12727272727272726,0.22298851,0.01199953,4.14381731
STATE_B,stage_group,,,,,,,,,,1.0,1.0,69,0,III,3,14,11,55,0.21428571428571427,0.2,0.014285714285714263,1.17769376,0.30199769,4.59262645
STATE_B,stage_group,,,,,,,,,,1.0,1.0,69,0,IV,2,14,10,55,0.14285714285714285,0.18181818181818182,-0.038961038961038974,0.86666667,0.19056077,3.94158306
STATE_B,t_stage,,,,,,,,,,1.0,1.0,69,0,T1,0,14,1,55,0.0,0.01818181818181818,-0.01818181818181818,1.25287356,0.04845091,32.39757954
STATE_B,t_stage,,,,,,,,,,1.0,1.0,69,0,T1A,4,14,17,55,0.2857142857142857,0.3090909090909091,-0.023376623376623384,0.94285714,0.2727097,3.25980182
STATE_B,t_stage,,,,,,,,,,0.28728656,0.66081278,69,0,T1B,5,14,11,55,0.35714285714285715,0.2,0.15714285714285714,2.2402746,0.65207586,7.696697
STATE_B,t_stage,,,,,,,,,,0.18717298,0.66081278,69,0,T2,0,14,9,55,0.0,0.16363636363636364,-0.16363636363636364,0.16878403,0.00924692,3.08081614
STATE_B,t_stage,,,,,,,,,,1.0,1.0,69,0,T2B,0,14,1,55,0.0,0.01818181818181818,-0.01818181818181818,1.25287356,0.04845091,32.39757954
STATE_B,t_stage,,,,,,,,,,0.32712071,0.66081278,69,0,T3A,2,14,16,55,0.14285714285714285,0.2909090909090909,-0.14805194805194805,0.47878788,0.10959507,2.09168024
STATE_B,t_stage,,,,,,,,,,0.03878943,0.66081278,69,0,T3B,2,14,0,55,0.14285714285714285,0.0,0.14285714285714285,22.2,1.00229149,491.71324298
STATE_B,t_stage,,,,,,,,,,0.20289855,0.66081278,69,0,T4,1,14,0,55,0.07142857142857142,0.0,0.07142857142857142,12.33333333,0.47560926,319.82369769
STATE_B,m_stage,,,,,,,,,,0.67322464,1.0,65,4,M0,11,12,43,53,0.9166666666666666,0.8113207547169812,0.10534591194968546,1.85057471,0.296825,11.53752801
STATE_B,m_stage,,,,,,,,,,0.67322464,1.0,65,4,M1,1,12,10,53,0.08333333333333333,0.18867924528301888,-0.10534591194968555,0.54037267,0.08667368,3.36898845
STATE_B,grade,,,,,,,,,,0.21656237,0.66081278,69,0,G2,7,14,17,55,0.5,0.3090909090909091,0.19090909090909092,2.2,0.69022636,7.01219231
STATE_B,grade,,,,,,,,,,0.24232495,0.66081278,69,0,G3,4,14,26,55,0.2857142857142857,0.4727272727272727,-0.18701298701298702,0.47708895,0.14048563,1.62019327
STATE_B,grade,,,,,,,,,,1.0,1.0,69,0,G4,3,14,12,55,0.21428571428571427,0.21818181818181817,-0.0038961038961038974,1.05913043,0.27408261,4.09277072
STATE_C,age,14,55,58.0,57.0,59.71428571,57.69090909,0.17763937,0.17763937,higher_in_core,0.60126882,1.0,69,0,,,,,,,,,,,
STATE_C,gender,,,,,,,,,,0.52762694,1.0,69,0,FEMALE,5,14,15,55,0.35714285714285715,0.2727272727272727,0.08441558441558444,1.51273345,0.45457493,5.034071
STATE_C,gender,,,,,,,,,,0.52762694,1.0,69,0,MALE,9,14,40,55,0.6428571428571429,0.7272727272727273,-0.08441558441558439,0.66105499,0.19864638,2.19985734
STATE_C,stage_group,,,,,,,,,,0.01531521,0.3063042,69,0,I,3,14,33,55,0.21428571428571427,0.6,-0.3857142857142857,0.20441272,0.05513435,0.75786797
STATE_C,stage_group,,,,,,,,,,0.62382382,1.0,69,0,II,2,14,5,55,0.14285714285714285,0.09090909090909091,0.05194805194805194,1.83636364,0.36407537,9.26245407
