state_id,STATE_A,STATE_B,STATE_C,STATE_D
STATE_A,,0.96887079,0.96776377,0.97054657
STATE_B,0.96887079,,0.97076975,0.96911656
STATE_C,0.96776377,0.97076975,,0.96522882
STATE_D,0.97054657,0.96911656,0.96522882,
