model,group_count,patient_count,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,q_value,permdisp_comparison_status,permdisp_not_estimable_reason,permdisp_permdisp_f,permdisp_permdisp_p_value,permdisp_permutations,permdisp_negative_eigenvalue_count,permdisp_negative_eigenvalue_sum,permdisp_negative_eigenvalue_fraction,permdisp_limitations,permdisp_q_value
seven_core,7,77,estimable,,77,7,0.080264,1.018129,0.001,999,0.001,estimable,,16355.71601,1.0,999,0,0.0,0.0,[],1.0
four_macro_state,4,77,estimable,,77,4,0.040383,1.024018,0.001,999,0.0012,estimable,,10621.616066,1.0,999,0,0.0,0.0,[],1.0
