model,covariate,status,hazard_ratio,ci_low,ci_high,p_value,reference_state,adjustment
state_plus_stage,stage_number,estimable,1.58829511,1.09510866,2.30359002,0.0147323,STATE_A,"stage_group ordinal I=1, II=2, III=3, IV=4"
state_plus_stage,state_STATE_B,estimable,1.51701502,0.41528999,5.54151223,0.52837898,STATE_A,"stage_group ordinal I=1, II=2, III=3, IV=4"
state_plus_stage,state_STATE_C,estimable,1.45855616,0.46079191,4.61680426,0.52085382,STATE_A,"stage_group ordinal I=1, II=2, III=3, IV=4"
state_plus_stage,state_STATE_D,estimable,1.66797473,0.63632405,4.37220581,0.29808268,STATE_A,"stage_group ordinal I=1, II=2, III=3, IV=4"
