state_id,STATE_A,STATE_B,STATE_C,STATE_D
STATE_A,,0.97695925,0.96558441,0.97613306
STATE_B,0.97695925,,0.97248876,0.97697508
STATE_C,0.96558441,0.97248876,,0.96953335
STATE_D,0.97613306,0.97697508,0.96953335,
