state_id,STATE_A,STATE_B,STATE_C,STATE_D
STATE_A,,0.98357622,0.97581167,0.98158075
STATE_B,0.98357622,,0.97524337,0.97802355
STATE_C,0.97581167,0.97524337,,0.97434374
STATE_D,0.98158075,0.97802355,0.97434374,
