state_id,STATE_A,STATE_B,STATE_C,STATE_D
STATE_A,,0.99107576,0.99107004,0.9909426
STATE_B,0.99107576,,0.99096694,0.99101476
STATE_C,0.99107004,0.99096694,,0.99091489
STATE_D,0.9909426,0.99101476,0.99091489,
