core_a,core_b,feature,fisher_p,q_value,odds_ratio,ci_low,ci_high,core_a_frequency,core_b_frequency,frequency_difference
STATE_A,STATE_D,mutation::BAP1,0.50243902,1.0,0.25714286,0.0115839,5.70813464,0.0,0.08333333333333333,-0.08333333333333333
STATE_A,STATE_D,mutation::CDKN2A,1.0,1.0,1.4,0.02648339,74.00864446,0.0,0.0,0.0
STATE_A,STATE_D,mutation::DST,0.38224548,1.0,0.41414141,0.05843402,2.93515838,0.058823529411764705,0.16666666666666666,-0.10784313725490195
STATE_A,STATE_D,mutation::ELOC,1.0,1.0,1.4,0.02648339,74.00864446,0.0,0.0,0.0
STATE_A,STATE_D,mutation::FLG,0.50243902,1.0,0.25714286,0.0115839,5.70813464,0.0,0.08333333333333333,-0.08333333333333333
STATE_A,STATE_D,mutation::KDM5C,0.2895823,1.0,3.7816092,0.50082307,28.55413228,0.17647058823529413,0.041666666666666664,0.13480392156862747
STATE_A,STATE_D,mutation::KMT2C,1.0,1.0,0.44761905,0.01718428,11.65965919,0.0,0.041666666666666664,-0.041666666666666664
STATE_A,STATE_D,mutation::LYST,1.0,1.0,1.42424242,0.1359465,14.92106399,0.058823529411764705,0.041666666666666664,0.01715686274509804
STATE_A,STATE_D,mutation::MTOR,0.25365854,1.0,0.1755102,0.00848255,3.63143615,0.0,0.125,-0.125
STATE_A,STATE_D,mutation::MUC16,0.21180645,1.0,3.0,0.55527759,16.20810947,0.23529411764705882,0.08333333333333333,0.1519607843137255
STATE_A,STATE_D,mutation::PBRM1,0.50724363,1.0,0.62162162,0.16723833,2.31055545,0.6470588235294118,0.75,-0.1029411764705882
STATE_A,STATE_D,mutation::PIK3CA,0.25365854,1.0,0.1755102,0.00848255,3.63143615,0.0,0.125,-0.125
STATE_A,STATE_D,mutation::PTEN,0.38224548,1.0,0.41414141,0.05843402,2.93515838,0.058823529411764705,0.16666666666666666,-0.10784313725490195
STATE_A,STATE_D,mutation::SETD2,1.0,1.0,0.81818182,0.09804879,6.82743231,0.058823529411764705,0.08333333333333333,-0.024509803921568624
STATE_A,STATE_D,mutation::SPTA1,1.0,1.0,0.44761905,0.01718428,11.65965919,0.0,0.041666666666666664,-0.041666666666666664
STATE_A,STATE_D,mutation::TP53,1.0,1.0,1.4,0.02648339,74.00864446,0.0,0.0,0.0
STATE_A,STATE_D,mutation::TSC1,1.0,1.0,0.44761905,0.01718428,11.65965919,0.0,0.041666666666666664,-0.041666666666666664
STATE_A,STATE_D,mutation::TSC2,1.0,1.0,1.4,0.02648339,74.00864446,0.0,0.0,0.0
STATE_A,STATE_D,mutation::TTN,1.0,1.0,1.42424242,0.1359465,14.92106399,0.058823529411764705,0.041666666666666664,0.01715686274509804
STATE_A,STATE_D,mutation::VHL,0.74170971,1.0,0.75824176,0.20931379,2.74674006,0.6470588235294118,0.7083333333333334,-0.06127450980392157
STATE_B,STATE_C,mutation::ARID1A,1.0,1.0,0.31034483,0.011615,8.29220337,0.0,0.07142857142857142,-0.07142857142857142
STATE_B,STATE_C,mutation::ATM,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
STATE_B,STATE_C,mutation::BAP1,0.00015256,0.00335632,0.01477833,0.00071558,0.30520434,0.0,0.7142857142857143,-0.7142857142857143
STATE_B,STATE_C,mutation::CDKN2A,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
STATE_B,STATE_C,mutation::DST,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
STATE_B,STATE_C,mutation::ELOC,1.0,1.0,3.22222222,0.12059521,86.09559299,0.07142857142857142,0.0,0.07142857142857142
STATE_B,STATE_C,mutation::FLG,1.0,1.0,0.31034483,0.011615,8.29220337,0.0,0.07142857142857142,-0.07142857142857142
STATE_B,STATE_C,mutation::KDM5C,1.0,1.0,0.31034483,0.011615,8.29220337,0.0,0.07142857142857142,-0.07142857142857142
STATE_B,STATE_C,mutation::KMT2C,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
STATE_B,STATE_C,mutation::LYST,1.0,1.0,0.31034483,0.011615,8.29220337,0.0,0.07142857142857142,-0.07142857142857142
STATE_B,STATE_C,mutation::MTOR,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
STATE_B,STATE_C,mutation::MUC16,0.48148148,1.0,5.8,0.25375751,132.56750642,0.14285714285714285,0.0,0.14285714285714285
STATE_B,STATE_C,mutation::PBRM1,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
STATE_B,STATE_C,mutation::PIK3CA,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
STATE_B,STATE_C,mutation::PTEN,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
STATE_B,STATE_C,mutation::SETD2,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
