core_a,core_b,K,valid_repeat_count,not_estimable_repeat_count,same_parent_run_count,conditional_same_parent_fraction,unconditional_same_parent_fraction
STATE_A,STATE_B,2,3,0,0,0.0,0.0
STATE_A,STATE_B,3,0,3,0,,0.0
STATE_A,STATE_B,4,3,0,0,0.0,0.0
STATE_A,STATE_B,5,2,1,0,0.0,0.0
STATE_A,STATE_B,6,3,0,0,0.0,0.0
STATE_A,STATE_B,7,2,1,0,0.0,0.0
STATE_A,STATE_B,8,3,0,0,0.0,0.0
STATE_A,STATE_C,2,3,0,0,0.0,0.0
STATE_A,STATE_C,3,3,0,0,0.0,0.0
STATE_A,STATE_C,4,3,0,0,0.0,0.0
STATE_A,STATE_C,5,2,1,0,0.0,0.0
STATE_A,STATE_C,6,3,0,0,0.0,0.0
STATE_A,STATE_C,7,3,0,0,0.0,0.0
STATE_A,STATE_C,8,3,0,0,0.0,0.0
STATE_A,STATE_D,2,3,0,0,0.0,0.0
STATE_A,STATE_D,3,3,0,0,0.0,0.0
STATE_A,STATE_D,4,3,0,0,0.0,0.0
STATE_A,STATE_D,5,2,1,0,0.0,0.0
STATE_A,STATE_D,6,0,3,0,,0.0
STATE_A,STATE_D,7,0,3,0,,0.0
STATE_A,STATE_D,8,0,3,0,,0.0
STATE_B,STATE_C,2,3,0,3,1.0,1.0
STATE_B,STATE_C,3,0,3,0,,0.0
STATE_B,STATE_C,4,3,0,0,0.0,0.0
STATE_B,STATE_C,5,2,1,0,0.0,0.0
STATE_B,STATE_C,6,3,0,0,0.0,0.0
STATE_B,STATE_C,7,2,1,0,0.0,0.0
STATE_B,STATE_C,8,3,0,0,0.0,0.0
STATE_B,STATE_D,2,3,0,3,1.0,1.0
STATE_B,STATE_D,3,0,3,0,,0.0
STATE_B,STATE_D,4,3,0,0,0.0,0.0
STATE_B,STATE_D,5,2,1,0,0.0,0.0
STATE_B,STATE_D,6,0,3,0,,0.0
STATE_B,STATE_D,7,0,3,0,,0.0
STATE_B,STATE_D,8,0,3,0,,0.0
STATE_C,STATE_D,2,3,0,3,1.0,1.0
STATE_C,STATE_D,3,3,0,3,1.0,1.0
STATE_C,STATE_D,4,3,0,0,0.0,0.0
STATE_C,STATE_D,5,3,0,0,0.0,0.0
STATE_C,STATE_D,6,0,3,0,,0.0
STATE_C,STATE_D,7,0,3,0,,0.0
STATE_C,STATE_D,8,0,3,0,,0.0
