state_id,STATE_A,STATE_B,STATE_C,STATE_D
STATE_A,,0.97939081,0.98095144,0.93541358
STATE_B,0.97939081,,0.96756377,0.98147097
STATE_C,0.98095144,0.96756377,,0.97910051
STATE_D,0.93541358,0.98147097,0.97910051,
