state_id,pathway,state_n,rest_n,tss_level_n,unadjusted_beta,unadjusted_smd,tss_adjusted_beta,tss_adjusted_ci_low,tss_adjusted_ci_high,tss_adjusted_p_value,effect_attenuation,tss_levels,tss_adjusted_q_value
STATE_A,HALLMARK_PANCREAS_BETA_CELLS,17,52,6,0.09086484,1.00497601,0.10439918,0.04938875,0.15940961,0.00033931,-0.1489503,B0;B8;BP;CJ;CZ;G6,0.00565517
STATE_A,HALLMARK_PEROXISOME,17,52,6,0.01150607,0.33612419,0.02352756,0.00400158,0.04305353,0.01899798,-1.04479544,B0;B8;BP;CJ;CZ;G6,0.07915825
STATE_A,HALLMARK_PI3K_AKT_MTOR_SIGNALING,17,52,6,-0.01045379,-0.52223032,-0.00590701,-0.01778005,0.00596603,0.32383677,0.43494079,B0;B8;BP;CJ;CZ;G6,0.52231737
STATE_A,HALLMARK_PROTEIN_SECRETION,17,52,6,0.01552107,0.34463258,0.03242498,0.00884158,0.05600837,0.00783364,-1.08909463,B0;B8;BP;CJ;CZ;G6,0.06845472
STATE_A,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,17,52,6,-0.01169034,-0.43609807,-0.00636932,-0.02280575,0.01006711,0.44150502,0.45516408,B0;B8;BP;CJ;CZ;G6,0.62144845
STATE_A,HALLMARK_SPERMATOGENESIS,17,52,6,-0.00450562,-0.12091187,0.00451925,-0.01816179,0.02720029,0.69177773,-0.00302436,B0;B8;BP;CJ;CZ;G6,0.79366061
STATE_A,HALLMARK_TGF_BETA_SIGNALING,17,52,6,0.04480103,0.85253587,0.031558,0.00125612,0.06185987,0.0414919,0.29559664,B0;B8;BP;CJ;CZ;G6,0.12966219
STATE_A,HALLMARK_TNFA_SIGNALING_VIA_NFKB,17,52,6,-0.00389674,-0.04913748,-0.02650749,-0.07135157,0.01833658,0.24187715,-5.80247795,B0;B8;BP;CJ;CZ;G6,0.44104617
STATE_A,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,17,52,6,-0.01622968,-0.55323438,-0.01450951,-0.03078956,0.00177053,0.07971646,0.10598897,B0;B8;BP;CJ;CZ;G6,0.20978016
STATE_A,HALLMARK_UV_RESPONSE_DN,17,52,6,0.04963705,0.97867208,0.0399299,0.01041828,0.06944151,0.00881568,0.19556261,B0;B8;BP;CJ;CZ;G6,0.06845472
STATE_A,HALLMARK_UV_RESPONSE_UP,17,52,6,-0.00250483,-0.13001037,-0.0035321,-0.0146572,0.00759301,0.52799076,-0.41011455,B0;B8;BP;CJ;CZ;G6,0.65998845
STATE_A,HALLMARK_WNT_BETA_CATENIN_SIGNALING,17,52,6,0.03544738,0.54834564,0.01232025,-0.02444322,0.04908372,0.50540919,0.65243548,B0;B8;BP;CJ;CZ;G6,0.6479605
STATE_A,HALLMARK_XENOBIOTIC_METABOLISM,17,52,6,0.00708005,0.17219375,0.01447031,-0.01071548,0.0396561,0.25517631,-1.04381502,B0;B8;BP;CJ;CZ;G6,0.44104617
STATE_B,HALLMARK_ADIPOGENESIS,14,55,6,-0.00394211,-0.12066063,-0.01616042,-0.03639178,0.00407093,0.11540846,-3.09943158,B0;B8;BP;CJ;CZ;G6,0.28852115
STATE_B,HALLMARK_ALLOGRAFT_REJECTION,14,55,6,-0.05145763,-0.48898529,-0.04381187,-0.11165347,0.02402972,0.20152116,0.14858351,B0;B8;BP;CJ;CZ;G6,0.41983575
STATE_B,HALLMARK_ANDROGEN_RESPONSE,14,55,6,-0.0069458,-0.15680991,-0.01371515,-0.04116331,0.01373301,0.32175688,-0.97459645,B0;B8;BP;CJ;CZ;G6,0.51896271
STATE_B,HALLMARK_ANGIOGENESIS,14,55,6,-0.04977442,-0.56774783,-0.02644974,-0.07849354,0.02559407,0.31361631,0.46860783,B0;B8;BP;CJ;CZ;G6,0.51896271
STATE_B,HALLMARK_APICAL_JUNCTION,14,55,6,-0.02622934,-0.61856473,-0.02333865,-0.05007764,0.00340035,0.08598072,0.11020826,B0;B8;BP;CJ;CZ;G6,0.22626505
STATE_B,HALLMARK_APICAL_SURFACE,14,55,6,-0.00217975,-0.04373864,0.01320764,-0.01799553,0.04441081,0.40073835,-5.05923298,B0;B8;BP;CJ;CZ;G6,0.54502875
STATE_B,HALLMARK_APOPTOSIS,14,55,6,-0.01286154,-0.35463104,-0.00608856,-0.02846491,0.01628778,0.58844956,0.52660699,B0;B8;BP;CJ;CZ;G6,0.71762141
STATE_B,HALLMARK_BILE_ACID_METABOLISM,14,55,6,-0.01245543,-0.23531684,-0.03591182,-0.06785815,-0.0039655,0.02820254,-1.8832261,B0;B8;BP;CJ;CZ;G6,0.12819336
STATE_B,HALLMARK_CHOLESTEROL_HOMEOSTASIS,14,55,6,-0.00300659,-0.10236722,0.00167829,-0.01634824,0.01970483,0.85296848,0.4417952,B0;B8;BP;CJ;CZ;G6,0.88850883
STATE_B,HALLMARK_COAGULATION,14,55,6,-0.03628218,-0.70042266,-0.0375319,-0.07027724,-0.00478657,0.02536435,-0.03444444,B0;B8;BP;CJ;CZ;G6,0.12819336
STATE_B,HALLMARK_COMPLEMENT,14,55,6,-0.03438614,-0.6733554,-0.03690183,-0.06902015,-0.00478352,0.0250276,-0.07316026,B0;B8;BP;CJ;CZ;G6,0.12819336
STATE_B,HALLMARK_DNA_REPAIR,14,55,6,0.00535229,0.2237349,0.00895452,-0.00652257,0.02443162,0.25189815,-0.67302654,B0;B8;BP;CJ;CZ;G6,0.46647806
STATE_B,HALLMARK_E2F_TARGETS,14,55,6,0.00779517,0.16429866,0.00298491,-0.02692988,0.0328997,0.84255709,0.6170819,B0;B8;BP;CJ;CZ;G6,0.88850883
STATE_B,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,14,55,6,-0.03751988,-0.37925868,-0.01538731,-0.07587376,0.04509913,0.6128908,0.58988907,B0;B8;BP;CJ;CZ;G6,0.7296319
STATE_B,HALLMARK_ESTROGEN_RESPONSE_EARLY,14,55,6,-0.02152557,-0.68723082,-0.02729603,-0.04705816,-0.0075339,0.00756924,-0.26807468,B0;B8;BP;CJ;CZ;G6,0.0756924
STATE_B,HALLMARK_ESTROGEN_RESPONSE_LATE,14,55,6,-0.00560865,-0.21192814,-0.01041703,-0.02747092,0.00663686,0.2266971,-0.85731381,B0;B8;BP;CJ;CZ;G6,0.4533942
STATE_B,HALLMARK_FATTY_ACID_METABOLISM,14,55,6,0.00019163,0.00377251,-0.01647562,-0.04797508,0.01502385,0.29982777,-84.9751561,B0;B8;BP;CJ;CZ;G6,0.51694443
STATE_B,HALLMARK_G2M_CHECKPOINT,14,55,6,0.01700283,0.36423277,0.01733107,-0.01226794,0.04693008,0.24629713,-0.01930537,B0;B8;BP;CJ;CZ;G6,0.46647806
STATE_B,HALLMARK_GLYCOLYSIS,14,55,6,-0.03670072,-1.01346731,-0.04385722,-0.0660083,-0.02170613,0.00019737,-0.19499601,B0;B8;BP;CJ;CZ;G6,0.003672
STATE_B,HALLMARK_HEDGEHOG_SIGNALING,14,55,6,-0.02205291,-0.47523258,-0.02324149,-0.05299003,0.00650705,0.12344273,-0.05389706,B0;B8;BP;CJ;CZ;G6,0.29391126
STATE_B,HALLMARK_HEME_METABOLISM,14,55,6,-0.00031242,-0.01214091,-0.00864441,-0.02485575,0.00756693,0.29059483,-26.66930766,B0;B8;BP;CJ;CZ;G6,0.51694443
STATE_B,HALLMARK_HYPOXIA,14,55,6,-0.04925065,-1.15296397,-0.04751761,-0.07297295,-0.02206226,0.00041533,0.03518818,B0;B8;BP;CJ;CZ;G6,0.00519163
STATE_B,HALLMARK_IL2_STAT5_SIGNALING,14,55,6,-0.02595768,-0.61522251,-0.01802336,-0.04399969,0.00795297,0.17041976,0.30566389,B0;B8;BP;CJ;CZ;G6,0.37047774
STATE_B,HALLMARK_IL6_JAK_STAT3_SIGNALING,14,55,6,-0.05239046,-0.63103274,-0.05235315,-0.10526351,0.00055721,0.05238647,0.00071212,B0;B8;BP;CJ;CZ;G6,0.16370772
STATE_B,HALLMARK_INFLAMMATORY_RESPONSE,14,55,6,-0.05496128,-0.65125491,-0.05431162,-0.10789003,-0.00073322,0.04703882,0.0118203,B0;B8;BP;CJ;CZ;G6,0.15679607
STATE_B,HALLMARK_INTERFERON_ALPHA_RESPONSE,14,55,6,-0.04539348,-0.57829038,-0.05524782,-0.10405295,-0.0064427,0.02715755,-0.21708708,B0;B8;BP;CJ;CZ;G6,0.12819336
STATE_B,HALLMARK_INTERFERON_GAMMA_RESPONSE,14,55,6,-0.05218496,-0.64451145,-0.05753446,-0.10833229,-0.00673662,0.02707838,-0.10251034,B0;B8;BP;CJ;CZ;G6,0.12819336
STATE_B,HALLMARK_KRAS_SIGNALING_DN,14,55,6,-0.0069849,-0.25320391,-0.00677747,-0.02385753,0.01030258,0.43068382,0.02969631,B0;B8;BP;CJ;CZ;G6,0.55215874
STATE_B,HALLMARK_KRAS_SIGNALING_UP,14,55,6,-0.0229269,-0.41905793,-0.01494704,-0.04851827,0.0186242,0.37690159,0.34805691,B0;B8;BP;CJ;CZ;G6,0.53843084
